person_id,person_name,target_age,birth_year,death_year,category,priority
P115F76F,岩崎良美,0,1961,,音楽,CRITICAL
PD018AB4,中村憲剛,0,1960,,スポーツ,CRITICAL
P6ADB75A,黒岩祐治,0,1950,,政治・社会,CRITICAL
P5580115,ヨハネス・ファン・デル・ワールス,0,1857,,科学・技術,CRITICAL
P1D58175,須崎優衣,0,1959,,スポーツ,CRITICAL
PB9C9997,デイビッド・ギルモア,0,1935,,音楽,CRITICAL
P85D6023,加藤陽子,0,1876,,学術・研究,CRITICAL
P88BB57D,城戸淳二,0,1935,,科学・技術,CRITICAL
P297EDE1,佐伯泰英,0,1943,,文学,CRITICAL
PAE981E9,小柳ルミ子,0,1943,,音楽,CRITICAL
PC7CD943,フィリップ・グラス,0,1941,,音楽,CRITICAL
PFCA3A3C,ガビ,0,2004,,スポーツ,CRITICAL
P81F556E,手塚治虫,0,1928,,芸術・文化,CRITICAL
P2B2244F,佐藤功一,0,1926,,芸術・文化,CRITICAL
P559E659,平山雄,0,1964,,科学・技術,CRITICAL
P46E4F84,ジョーン・ディディオン,0,1924,,文学,CRITICAL
P1C577E6,松本麻佑,0,1995,,スポーツ,CRITICAL
PE06A182,トウカイテイオー,0,1915,,競走馬,CRITICAL
PC1BAB1C,アルフレッド・ウォーレス,0,1823,,探検・冒険,CRITICAL
P2767983,野沢雅子,0,1938,,エンターテイメント,CRITICAL
P5310295,久米宏,0,1947,,エンターテイメント,CRITICAL
PC04F0A9,ニコラ・サルコジ,0,1942,,政治・社会,CRITICAL
PFF08AEB,三笘薫,0,1997,,スポーツ,CRITICAL
PF6B141B,マルコーニ,0,1851,,科学・技術,CRITICAL
P1A4473A,平原綾香,0,1984,,音楽,CRITICAL
P1A04DED,ホセ・カンセコ,0,1904,,スポーツ,CRITICAL
P04BB217,橋本環奈,0,1999,,俳優・女優,CRITICAL
PDB708B3,レブロン・ジェームズ,0,1986,,スポーツ,CRITICAL
PF42D6A7,平岡祐太,0,1970,,俳優・女優,CRITICAL
PDB8672B,安室奈美恵,0,1971,,音楽,CRITICAL
PB7EA2C2,原田眞人,0,1928,,映画・演劇,CRITICAL
P912569D,小野寺秀俊,0,1945,,科学・技術,CRITICAL
P251D7FF,ロブ・ウォルトン,0,1947,,ビジネス,CRITICAL
P24DC17B,草野心平,0,1936,,芸術・文化,CRITICAL
P8E7761B,マルチナ・ナブラチロワ,0,1949,,スポーツ,CRITICAL
PEF1ED3A,大泉洋,0,1973,,俳優・女優,CRITICAL
P573F6D8,リチャード・ギア,0,1949,,映画・演劇,CRITICAL
P5326A12,イヴ・クライン,0,1922,,芸術・文化,CRITICAL
P783A8BB,浅野拓磨,0,1960,,スポーツ,CRITICAL
P8029BC3,デニス・ロッドマン,0,1961,,スポーツ,CRITICAL
PAF8B7A0,ストッカード・チャニング,0,1891,,映画・演劇,CRITICAL
P6893B96,古在由秀,0,1931,,学術・研究,CRITICAL
P4C91A44,ゲオルク・ヘーゲル,0,1770,,哲学者,CRITICAL
P6884DD2,川崎正六,0,1837,,ビジネス,CRITICAL
P6ADE3A8,藤嶋昭,0,1943,,学術・研究,CRITICAL
PD6B485B,松尾豊,0,1935,,科学・技術,CRITICAL
PE8DD01C,張富士夫,0,1937,,ビジネス,CRITICAL
P1755E16,ケビン・デュラント,0,1987,,スポーツ,CRITICAL
P6464BDE,ジョン・メンデル・ケインズ,0,1891,,学術・研究,CRITICAL
P007BC49,長岡健,0,1954,,音楽,CRITICAL
P46110E2,木村栄,0,1862,,学術・研究,CRITICAL
P4B290FE,水樹奈々,0,1980,,エンターテイメント,CRITICAL
PE0E806C,ジャック・ジョンソン,0,1975,,音楽,CRITICAL
PF2FB970,リッキー・マーティン,0,1971,,音楽,CRITICAL
P65E5830,扇千景,0,1935,,政治・社会,CRITICAL
PB8E6166,堀江信宏,0,1997,,ビジネス,CRITICAL
P012DF64,セシル・テイラー,0,1929,,音楽,CRITICAL
P13F2958,平田満,0,1895,,映画・演劇,CRITICAL
PC3A80E9,エリザベス・キューブラー＝ロス,0,1885,,学術・研究,CRITICAL
PA42966B,石田えり,0,1923,,映画・演劇,CRITICAL
P34EA398,北野武,0,1949,,映画・演劇,CRITICAL
P8B8E316,市村正親,0,1958,,映画・演劇,CRITICAL
PDE4AFB1,藤岡市助,0,1929,,科学・技術,CRITICAL
PFA09391,リチャード・ドーキンス,0,1946,,科学・技術,CRITICAL
PB432716,清水聡,0,1944,,スポーツ,CRITICAL
PDBF66C6,北村薫,0,1924,,文学,CRITICAL
