person_id,person_name,target_age,birth_year,death_year,category,priority
P028DE85,苅谷剛彦,7,1956,,学術・研究,MEDIUM
P6E625E1,ジュンパ・ラヒリ,7,1963,,文学,MEDIUM
P1B0CCFA,吉田夕梨花,7,1956,,スポーツ,MEDIUM
PF773EB3,湯島聖堂,7,1918,,学術・研究,MEDIUM
P0157E09,藤田誠,7,1942,,科学・技術,MEDIUM
P7F524A2,山本由伸,7,1996,,スポーツ,MEDIUM
P401D0BC,清水義範,7,1936,,文学,MEDIUM
PA87B2E4,デイヴィッド・ホックニー,7,1936,,芸術・文化,MEDIUM
PF21F32E,遠藤実,7,1952,,音楽,MEDIUM
PE2AF8BE,サニブラウン,7,1994,,スポーツ,MEDIUM
P0C038C1,前田旺志郎,7,1881,,映画・演劇,MEDIUM
P6690158,安田靖彦,7,1959,,学術・研究,MEDIUM
PF9E2D24,錦戸亮,7,1981,,エンターテイメント,MEDIUM
P5A05149,ロバート・パティンソン,7,1856,,映画・演劇,MEDIUM
P7880A2E,宮間あや,7,1985,,スポーツ,MEDIUM
P581FD92,ダニエル・エルズバーグ,7,1933,,政治・社会,MEDIUM
P649A25A,ダグラス・エンゲルバート,7,1923,,科学・技術,MEDIUM
P00156E2,田中信行,7,1937,,芸術・文化,MEDIUM
PF6D29A8,香川真司,7,1989,,スポーツ,MEDIUM
P52F3AC8,棚橋弘至,7,1977,,スポーツ,MEDIUM
P1B3F08F,ロイ・リキテンスタイン,7,1899,,芸術・文化,MEDIUM
P7102757,遠藤幸雄,7,1928,,スポーツ,MEDIUM
P345B678,古賀淳也,7,1987,,スポーツ,MEDIUM
P4910941,村井純,7,1955,,学術・研究,MEDIUM
P2FC64B8,田沼意次,7,1902,,歴史,MEDIUM
P01D4B5B,高峰秀子,7,1925,,科学・技術,MEDIUM
P78870BB,マイヤ・プリセツカヤ,7,1940,,文学,MEDIUM
P3869020,大山加奈,7,1984,,スポーツ,MEDIUM
PFC6E41A,木村惠司,7,1953,,ビジネス,MEDIUM
PBBA5489,橋本聖子,7,1940,,スポーツ,MEDIUM
P8D3BE73,千賀滉大,7,1994,,スポーツ,MEDIUM
P59A6F39,中嶋尚,7,1921,,学術・研究,MEDIUM
P7A98607,スティーブ・カレル,7,1962,,エンターテイメント,MEDIUM
P18A1019,ロバート・オハラ・バーク,7,1821,,探検・冒険,MEDIUM
PD146CE2,フィリップ・ジマーマン,7,1947,,科学・技術,MEDIUM
P0C1793C,塚本高史,7,1980,,俳優・女優,MEDIUM
PFE46928,阿川佐和子,7,1954,,政治・社会,MEDIUM
PCEE1B26,ポール・クルーグマン,8,1953,,政治・社会,MEDIUM
P3CE8882,赤井英和,8,1917,,芸術・文化,MEDIUM
P5272DB6,小野不由美,8,1922,,芸術・文化,MEDIUM
PBB0D31F,濱田庄司,8,1894,,芸術・文化,MEDIUM
P341B169,セルヒオ・アグエロ,8,1988,,スポーツ,MEDIUM
P22E43D4,里見浩太朗,8,1905,,映画・演劇,MEDIUM
P6C618B3,田中雅人,8,1950,,スポーツ,MEDIUM
P569B26A,本田武史,8,1942,,スポーツ,MEDIUM
P7EBDDC8,林家たい平,8,1933,,芸術・文化,MEDIUM
P2FC9276,ジェニファー・ローレンス,8,1989,,俳優・女優,MEDIUM
P283EBFB,工藤めぐみ,8,1956,,スポーツ,MEDIUM
P171F5F3,ル・コルビュジエ,8,1939,,芸術・文化,MEDIUM
P0F9492A,カラヤン,8,1908,,音楽,MEDIUM
P69EEC09,シューベルト,8,1797,,音楽,MEDIUM
P199D4EF,鬼龍院翔,8,1984,,音楽,MEDIUM
PE4285E9,鈴木杏,8,1987,,俳優・女優,MEDIUM
P6EB00B9,有村架純,8,1993,,ビジネス,MEDIUM
P2EE8050,イーディス・ウォートン,8,1863,,文学,MEDIUM
P496C00C,苅部直,8,1964,,学術・研究,MEDIUM
P35CF8B1,ジンバブエ・ムガベ,8,1910,,政治・社会,MEDIUM
P9545ABB,ジョーン・サザーランド,8,1923,,音楽,MEDIUM
P023411B,新田次郎,8,1891,,文学,MEDIUM
P2D4955A,笹川良一,8,1899,1995.0,探検・冒険,MEDIUM
P4C91A44,ゲオルク・ヘーゲル,8,1770,,哲学者,MEDIUM
PBE123B6,水上颯,8,1995,,スポーツ,MEDIUM
PDD2D891,リック・ウェイクマン,8,1889,,音楽,MEDIUM
P7126BDD,スラッシュ,8,1965,,音楽,MEDIUM
PF81356C,田尻智,8,1965,,アニメ・漫画・ゲーム,MEDIUM
PEEDB495,チャールズ・コーク,8,1935,,ビジネス,MEDIUM
P00156E2,田中信行,8,1937,,芸術・文化,MEDIUM
P90B0B63,ビルギット・ニルソン,8,1880,,音楽,MEDIUM
P9CE8D70,松田丈志,8,1968,,スポーツ,MEDIUM
P60D5D71,中西寛,8,1944,,学術・研究,MEDIUM
PABF4A05,北川景子,8,1986,,映画・演劇,MEDIUM
P01854E2,ボニー・タイラー,8,1931,,音楽,MEDIUM
P26D797F,風吹ジュン,8,1912,,芸術・文化,MEDIUM
P32FF357,小林麻央,8,1948,,アナウンサー・キャスター,MEDIUM
P97C0F15,奥田碩,8,1932,,ビジネス,MEDIUM
P6F47B28,キャメロン・ディアス,8,1973,,映画・演劇,MEDIUM
P023411B,新田次郎,9,1891,,文学,HIGH
P6AF85D7,隈研吾,9,1955,,芸術・文化,HIGH
P194098D,レナード・バーンスタイン,9,1918,,音楽,HIGH
PF79B6B4,細野晴臣,9,1896,,芸術・文化,HIGH
P0127810,岡田有希子,9,1948,,アイドル,HIGH
P7C8FA30,ジェーン・マーセット,9,1915,,科学・技術,HIGH
P3DA6DB5,ウィラ・キャザー,9,1868,,文学,HIGH
PA7EF463,ジョン・トラボルタ,9,1927,,映画・演劇,HIGH
PF22C321,ベン・ホーガン,9,1866,,ゴルファー,HIGH
PE327B33,ノーラン・ライアン,9,1948,,スポーツ,HIGH
P0B126FB,カリム・ベンゼマ,9,1938,,スポーツ,HIGH
P635A73B,アラン・ケイ,9,1940,,科学・技術,HIGH
PF9F1128,ビワハヤヒデ,9,1953,,競走馬,HIGH
P581FD92,ダニエル・エルズバーグ,9,1933,,政治・社会,HIGH
P74D8716,内田真礼,9,1989,,エンターテイメント,HIGH
P5578985,南部陽一郎,9,1921,2008.0,学術・研究,HIGH
P617680D,秋元順子,9,1947,,音楽,HIGH
P00156E2,田中信行,9,1937,,芸術・文化,HIGH
PDD2D891,リック・ウェイクマン,9,1889,,音楽,HIGH
P50C4270,ロナルド・リベスト,9,1903,,科学・技術,HIGH
P196B212,片山さつき,9,1953,,政治・社会,HIGH
