person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status
ミハイル・ゴルバチョフ,政治・社会,,REAL,ソ連最後の指導者・ペレストロイカ,1931,2022,S+,80s_celebrities,,active
ジョー・バイデン,政治・社会,,REAL,アメリカ第46代大統領,1942,,S+,80s_celebrities,,active
ビル・クリントン,政治・社会,,REAL,アメリカ第42代大統領,1946,,S,80s_celebrities,,active
ジョージ・W・ブッシュ,政治・社会,,REAL,アメリカ第43代大統領,1946,,S,80s_celebrities,,active
アンゲラ・メルケル,政治・社会,,REAL,ドイツ首相・科学者出身,1954,,S+,80s_celebrities,,active
ヒラリー・クリントン,政治・社会,,REAL,元国務長官・大統領候補,1947,,S,80s_celebrities,,active
ポール・マッカートニー,音楽,,REAL,ビートルズ・ベーシスト,1942,,S+,80s_celebrities,,active
リンゴ・スター,音楽,,REAL,ビートルズ・ドラマー,1940,,S,80s_celebrities,,active
ボブ・ディラン,音楽,,REAL,ノーベル文学賞・シンガーソングライター,1941,,S+,80s_celebrities,,active
エリック・クラプトン,音楽,,REAL,ギターの神様,1945,,S,80s_celebrities,,active
エルトン・ジョン,音楽,,REAL,ロック界のレジェンド,1947,,S+,80s_celebrities,,active
スティービー・ワンダー,音楽,,REAL,ソウル界の巨匠,1950,,S+,80s_celebrities,,active
ロバート・デ・ニーロ,映画・演劇,,REAL,ゴッドファーザーPart2・タクシードライバー,1943,,S+,80s_celebrities,,active
アル・パチーノ,映画・演劇,,REAL,ゴッドファーザー・スカーフェイス,1940,,S+,80s_celebrities,,active
ダスティン・ホフマン,映画・演劇,,REAL,卒業・レインマン,1937,,S,80s_celebrities,,active
ジャック・ニコルソン,映画・演劇,,REAL,シャイニング・カッコーの巣の上で,1937,,S+,80s_celebrities,,active
メリル・ストリープ,映画・演劇,,REAL,アカデミー賞最多ノミネート女優,1949,,S+,80s_celebrities,,active
ハリソン・フォード,映画・演劇,,REAL,スター・ウォーズ・インディ・ジョーンズ,1942,,S+,80s_celebrities,,active
ウォーレン・バフェット,ビジネス,,REAL,投資の神様・バークシャー,1930,,S+,80s_celebrities,,active
ビル・ゲイツ,ビジネス,,REAL,マイクロソフト創業者,1955,,S+,80s_celebrities,,active
ジョージ・ソロス,ビジネス,,REAL,投資家・慈善家,1930,,S,80s_celebrities,,active
ルパート・マードック,ビジネス,,REAL,メディア王・ニューズコーポ,1931,,S,80s_celebrities,,active
ジェームズ・ワトソン,科学・技術,,REAL,DNA二重らせん発見,1928,,S+,80s_celebrities,,active
スティーブン・ホーキング,科学・技術,,REAL,車椅子の物理学者・ブラックホール,1942,2018,S+,80s_celebrities,,active
ジェーン・グドール,科学・技術,,REAL,チンパンジー研究の第一人者,1934,,S,80s_celebrities,,active
ペレ,スポーツ,,REAL,サッカーの王様・ブラジル,1940,2022,S+,80s_celebrities,,active
ディエゴ・マラドーナ,スポーツ,,REAL,神の手・アルゼンチン,1960,2020,S+,80s_celebrities,,active
マイク・タイソン,スポーツ,,REAL,史上最年少ヘビー級王者,1966,,S+,80s_celebrities,,active
マジック・ジョンソン,スポーツ,,REAL,NBA レイカーズ・レジェンド,1959,,S,80s_celebrities,,active
明石家さんま,エンターテイメント,,REAL,お笑い界のBIG3,1955,,S+,80s_celebrities,,active
タモリ,エンターテイメント,,REAL,笑っていいとも・お笑い界のBIG3,1945,,S+,80s_celebrities,,active
ビートたけし,エンターテイメント,,REAL,北野武・世界の映画監督,1947,,S+,80s_celebrities,,active
志村けん,エンターテイメント,,REAL,ドリフターズ・バカ殿様,1950,2020,S+,80s_celebrities,,active
坂本龍一,音楽,,REAL,YMO・世界的音楽家,1952,2023,S+,80s_celebrities,,active
松任谷由実,音楽,,REAL,ユーミン・J-POPの女王,1954,,S+,80s_celebrities,,active
細野晴臣,音楽,,REAL,YMO・日本ポップスの父,1947,,S,80s_celebrities,,active
高畑勲,アニメ・漫画・ゲーム,,REAL,火垂るの墓・かぐや姫の物語,1935,2018,S+,80s_celebrities,,active
大友克洋,アニメ・漫画・ゲーム,,REAL,AKIRA・漫画家,1954,,S,80s_celebrities,,active
村上春樹,文学,,REAL,ノルウェイの森・ノーベル賞候補,1949,,S+,80s_celebrities,,active
