person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status
馬場雄大,スポーツ,バスケットボール,REAL,プロバスケットボール選手・NBAプレー経験,1995,,A,bulk_addition,,active
上白石萌歌,エンターテインメント,女優・歌手,REAL,女優・上白石萌音の妹,2000,,A,bulk_addition,,active
髙橋海人,エンターテインメント,アイドル・俳優,REAL,King & Princeメンバー,1999,,S,bulk_addition,,active
神宮寺勇太,エンターテインメント,アイドル・俳優,REAL,King & Princeメンバー,1997,,S,bulk_addition,,active
阿部亮平,エンターテインメント,アイドル,REAL,Snow Manメンバー・気象予報士,1993,,A,bulk_addition,,active
深澤辰哉,エンターテインメント,アイドル,REAL,Snow Manメンバー,1992,,A,bulk_addition,,active
岩本照,エンターテインメント,アイドル,REAL,Snow Manメンバー・リーダー,1993,,A,bulk_addition,,active
道枝駿佑,エンターテインメント,アイドル・俳優,REAL,なにわ男子メンバー,2002,,S,bulk_addition,,active
大西流星,エンターテインメント,アイドル,REAL,なにわ男子メンバー,2001,,A,bulk_addition,,active
長尾謙杜,エンターテインメント,アイドル,REAL,なにわ男子メンバー,2002,,A,bulk_addition,,active
高橋恭平,エンターテインメント,アイドル,REAL,なにわ男子メンバー,2000,,A,bulk_addition,,active
大悟,エンターテインメント,お笑い芸人,REAL,千鳥のボケ担当,1980,,S,bulk_addition,,active
ノブ,エンターテインメント,お笑い芸人,REAL,千鳥のツッコミ担当,1979,,S,bulk_addition,,active
水田信二,エンターテインメント,お笑い芸人,REAL,和牛のツッコミ担当,1980,,A,bulk_addition,,active
川西賢志郎,エンターテインメント,お笑い芸人,REAL,和牛のボケ担当,1984,,A,bulk_addition,,active
亜生,エンターテインメント,お笑い芸人,REAL,ミキのツッコミ担当,1988,,A,bulk_addition,,active
昴生,エンターテインメント,お笑い芸人,REAL,ミキのボケ担当,1986,,A,bulk_addition,,active
粗品,エンターテインメント,お笑い芸人,REAL,霜降り明星のツッコミ担当,1993,,S,bulk_addition,,active
ヒカキン,エンターテインメント,YouTuber,REAL,日本を代表するYouTuber,1989,,S+,bulk_addition,,active
てつや,エンターテインメント,YouTuber,REAL,東海オンエアリーダー,1993,,S,bulk_addition,,active
下野紘,エンターテインメント,声優,REAL,人気声優・ラジオパーソナリティ,1980,,A,bulk_addition,,active
松岡禎丞,エンターテインメント,声優,REAL,人気声優・ソードアート・オンライン,1986,,A,bulk_addition,,active
内田雄馬,エンターテインメント,声優・歌手,REAL,人気声優・内田真礼の弟,1992,,A,bulk_addition,,active
常田大希,音楽,ロック・ポップス,REAL,King Gnu・millennium parade,1992,,S+,bulk_addition,,active
井口理,音楽,ロック・ポップス,REAL,King Gnuボーカル,1993,,S+,bulk_addition,,active
藤原聡,音楽,ロック・ポップス,REAL,Official髭男dismボーカル,1991,,S+,bulk_addition,,active
清水依与吏,音楽,ロック・ポップス,REAL,back numberボーカル,1984,,S+,bulk_addition,,active
