person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status
ディープインパクト,競走馬,サラブレッド,FICTIONAL,三冠馬・無敗の三冠・世界的名馬,2002,2019,S+,bulk_addition_phase5,,active
オグリキャップ,競走馬,サラブレッド,FICTIONAL,芦毛の怪物・地方競馬から中央へ・国民的人気,1985,2010,S+,bulk_addition_phase5,,active
ハイセイコー,競走馬,サラブレッド,FICTIONAL,社会現象・競馬ブームの火付け役,1970,2000,S,bulk_addition_phase5,,active
テイエムオペラオー,競走馬,サラブレッド,FICTIONAL,年度代表馬・GI7勝,1996,2018,S,bulk_addition_phase5,,active
ウオッカ,競走馬,サラブレッド,FICTIONAL,牝馬三冠・日本ダービー優勝牝馬,2004,2024,S,bulk_addition_phase5,,active
大谷翔平,スポーツ,野球,REAL,MLB二刀流・MVPスーパースター,1994,,S+,bulk_addition_phase5,,active
イチロー,スポーツ,野球,REAL,MLB通算3000安打・日米で活躍,1973,,S+,bulk_addition_phase5,,active
三苫薫,スポーツ,サッカー,REAL,日本代表・ブライトン所属,1997,,A,bulk_addition_phase5,,active
久保建英,スポーツ,サッカー,REAL,日本代表・レアル・ソシエダ所属,2001,,S,bulk_addition_phase5,,active
羽生結弦,スポーツ,フィギュアスケート,REAL,オリンピック2連覇・国民栄誉賞,1994,,S+,bulk_addition_phase5,,active
桐生祥秀,スポーツ,陸上,REAL,日本人初の9秒台・100m,1995,,A,bulk_addition_phase5,,active
孫正義,ビジネス,実業家・経営者,REAL,ソフトバンクグループ創業者,1957,,S+,bulk_addition_phase5,,active
前澤友作,ビジネス,実業家・経営者,REAL,ZOZO創業者・民間宇宙旅行,1975,,S,bulk_addition_phase5,,active
柳井正,ビジネス,実業家・経営者,REAL,ユニクロ創業者・ファーストリテイリング,1949,,S+,bulk_addition_phase5,,active
三木谷浩史,ビジネス,実業家・経営者,REAL,楽天グループ創業者,1965,,S,bulk_addition_phase5,,active
大坂なおみ,スポーツ,テニス,REAL,1997年大阪生まれ・全米オープン2018年優勝・全豪オープン2019年優勝・世界ランキング1位・BLM運動での発信・日本人初のグランドスラムシングルス優勝,1997,,S+,bulk_addition_phase5,,active
八村塁,スポーツ,バスケットボール,REAL,1998年富山生まれ・NBA選手・ワシントン・ウィザーズ→レイカーズ・日本人初のNBAドラフト1巡目指名・2019年ドラフト9位・日本バスケットボール界のパイオニア,1998,,S+,bulk_addition_phase5,,active
安藤百福,歴史人物,実業家・発明家,REAL,日清食品創業者・インスタントラーメン発明・朝ドラ「まんぷく」モデル,1910,2007,S+,bulk_addition_phase5,,active
宮崎駿,芸術・文化,アニメーション監督,REAL,スタジオジブリ・千と千尋の神隠し・アカデミー賞,1941,,S+,bulk_addition_phase5,,active
村上春樹,文学,小説家,REAL,ノルウェイの森・世界的作家,1949,,S+,bulk_addition_phase5,,active
草間彌生,芸術・文化,現代美術家,REAL,水玉モチーフ・世界的アーティスト,1929,,S+,bulk_addition_phase5,,active
