person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
マスター・ロシ,ドラゴンボール,アニメ,FICTIONAL,亀仙流の創始者。武天老師。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/亀仙人,active,90
ネテロ,HUNTER×HUNTER,アニメ,FICTIONAL,ハンター協会会長。最強の念能力者。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/HUNTER×HUNTER,active,120
山本元柳斎重國,BLEACH,アニメ,FICTIONAL,護廷十三隊の総隊長。最古の死神。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/BLEACH,active,1000
ジラフ・ザ・グレート,ワンピース,アニメ,FICTIONAL,元海軍大将。正義の巨人。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/ONE_PIECE,active,91
センゴク,ワンピース,アニメ,FICTIONAL,元海軍元帥。仏のセンゴク。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ONE_PIECE,active,79
オオロンブス,ワンピース,アニメ,FICTIONAL,大艦隊の船長。開拓冒険家。,,,C,fictional_characters,https://ja.wikipedia.org/wiki/ONE_PIECE,active,92
サカズキ,ワンピース,アニメ,FICTIONAL,現海軍元帥。赤犬の異名。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ONE_PIECE,active,93
クロコダイル,ワンピース,アニメ,FICTIONAL,元王下七武海。砂の能力者。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ONE_PIECE,active,94
大魔導師ビビ,ファイナルファンタジー,ゲーム,FICTIONAL,黒魔道士の少年。FFIXの仲間。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/ファイナルファンタジーIX,active,90
オーディン,北欧神話,神話,FICTIONAL,北欧神話の主神。知恵と戦争の神。,,,A,mythology,https://ja.wikipedia.org/wiki/オーディン,active,91
ゼウス,ギリシャ神話,神話,FICTIONAL,ギリシャ神話の最高神。雷の神。,,,A,mythology,https://ja.wikipedia.org/wiki/ゼウス,active,92
ポセイドン,ギリシャ神話,神話,FICTIONAL,ギリシャ神話の海神。海と地震の神。,,,A,mythology,https://ja.wikipedia.org/wiki/ポセイドン,active,93
ハデス,ギリシャ神話,神話,FICTIONAL,ギリシャ神話の冥府の神。死者の王。,,,A,mythology,https://ja.wikipedia.org/wiki/ハーデース,active,94
クロノス,ギリシャ神話,神話,FICTIONAL,ギリシャ神話のティターン神。時間の神。,,,B,mythology,https://ja.wikipedia.org/wiki/クロノス,active,90
ラオ子,北斗の拳,アニメ,FICTIONAL,北斗神拳の伝承者候補。ラオウの弟子。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/北斗の拳,active,91
ケンシロウ,北斗の拳,アニメ,FICTIONAL,北斗神拳の正統伝承者。世紀末救世主。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/北斗の拳,active,92
トキ,北斗の拳,アニメ,FICTIONAL,北斗神拳の使い手。柔の拳。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/北斗の拳,active,93
ラオウ,北斗の拳,アニメ,FICTIONAL,拳王。北斗神拳の使い手。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/北斗の拳,active,94
ジャギ,北斗の拳,アニメ,FICTIONAL,北斗神拳の使い手。ケンシロウの兄。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/北斗の拳,active,90
シン,北斗の拳,アニメ,FICTIONAL,南斗聖拳の使い手。元ユリアの恋人。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/北斗の拳,active,91
