person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
ジョセフ・ジョースター,ジョジョの奇妙な冒険,アニメ,FICTIONAL,第2部主人公。波紋使い。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ジョジョの奇妙な冒険,active,67
空条ホリィ,ジョジョの奇妙な冒険,アニメ,FICTIONAL,承太郎の母。ジョセフの娘。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/ジョジョの奇妙な冒険,active,45
モハメド・アヴドゥル,ジョジョの奇妙な冒険,アニメ,FICTIONAL,占い師。マジシャンズレッド。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/ジョジョの奇妙な冒険,active,66
ジャン=ピエール・ポルナレフ,ジョジョの奇妙な冒険,アニメ,FICTIONAL,フランス人剣士。シルバーチャリオッツ。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/ジョジョの奇妙な冒険,active,68
花京院典明,ジョジョの奇妙な冒険,アニメ,FICTIONAL,高校生。ハイエロファントグリーン。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ジョジョの奇妙な冒険,active,17
イギー,ジョジョの奇妙な冒険,アニメ,FICTIONAL,ボストンテリア。ザ・フール。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/ジョジョの奇妙な冒険,active,7
ホル・ホース,ジョジョの奇妙な冒険,アニメ,FICTIONAL,殺し屋。エンペラー。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/ジョジョの奇妙な冒険,active,65
エンヤ婆,ジョジョの奇妙な冒険,アニメ,FICTIONAL,DIOの部下。ジャスティス。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/ジョジョの奇妙な冒険,active,69
ンドゥール,ジョジョの奇妙な冒険,アニメ,FICTIONAL,盲目の暗殺者。ゲブ神。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/ジョジョの奇妙な冒険,active,65
銀魂坂田銀時,銀魂,アニメ,FICTIONAL,万事屋の主人。白夜叉の異名。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/銀魂,active,27
松平片栗虎,銀魂,アニメ,FICTIONAL,警察庁長官。将軍の友人。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/銀魂,active,66
服部全蔵,銀魂,アニメ,FICTIONAL,御庭番衆の頭領。忍者。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/銀魂,active,67
朧,銀魂,アニメ,FICTIONAL,天照院奈落の首魁。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/銀魂,active,68
虚,銀魂,アニメ,FICTIONAL,銀時の師匠。吉田松陽の別人格。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/銀魂,active,69
寺門通,銀魂,アニメ,FICTIONAL,アイドル。新八のファン対象。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/銀魂,active,16
柳生九兵衛,銀魂,アニメ,FICTIONAL,柳生家の跡取り。剣の達人。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/銀魂,active,17
月詠,銀魂,アニメ,FICTIONAL,吉原の番人。くノ一。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/銀魂,active,63
さっちゃん,銀魂,アニメ,FICTIONAL,くノ一。銀時のストーカー。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/銀魂,active,64
お登勢,銀魂,アニメ,FICTIONAL,スナックお登勢の女将。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/銀魂,active,65
