person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
ネコバス,となりのトトロ,ジブリ,FICTIONAL,トトロの乗り物。猫型のバス。,,,B,ghibli,https://ja.wikipedia.org/wiki/となりのトトロ,active,95
トトロ,となりのトトロ,ジブリ,FICTIONAL,森の精霊。子供にしか見えない。,,,A,ghibli,https://ja.wikipedia.org/wiki/となりのトトロ,active,96
カルシファー,ハウルの動く城,ジブリ,FICTIONAL,火の悪魔。城を動かす動力源。,,,A,ghibli,https://ja.wikipedia.org/wiki/ハウルの動く城,active,97
モロの君,もののけ姫,ジブリ,FICTIONAL,犬神。サンの育ての親。,,,A,ghibli,https://ja.wikipedia.org/wiki/もののけ姫,active,98
乙事主,もののけ姫,ジブリ,FICTIONAL,猪神の長老。500歳。,,,A,ghibli,https://ja.wikipedia.org/wiki/もののけ姫,active,99
シシ神,もののけ姫,ジブリ,FICTIONAL,生と死を司る森の神。,,,A,ghibli,https://ja.wikipedia.org/wiki/もののけ姫,active,100
エボシ御前,もののけ姫,ジブリ,FICTIONAL,タタラ場の長。製鉄の町を率いる。,,,A,ghibli,https://ja.wikipedia.org/wiki/もののけ姫,active,95
ジコ坊,もののけ姫,ジブリ,FICTIONAL,師匠連の僧。シシ神を狙う。,,,B,ghibli,https://ja.wikipedia.org/wiki/もののけ姫,active,96
ヒイさま,もののけ姫,ジブリ,FICTIONAL,エミシの村の巫女。アシタカに祝福を与える。,,,B,ghibli,https://ja.wikipedia.org/wiki/もののけ姫,active,97
王蟲,風の谷のナウシカ,ジブリ,FICTIONAL,腐海の主。古代からの生き物。,,,A,ghibli,https://ja.wikipedia.org/wiki/風の谷のナウシカ,active,98
大ババ,風の谷のナウシカ,ジブリ,FICTIONAL,風の谷の長老。ナウシカを導く。,,,B,ghibli,https://ja.wikipedia.org/wiki/風の谷のナウシカ,active,99
ユパ,風の谷のナウシカ,ジブリ,FICTIONAL,剣の達人。腐海を研究する旅人。,,,A,ghibli,https://ja.wikipedia.org/wiki/風の谷のナウシカ,active,100
バッドばつ丸,サンリオ,キャラクター,FICTIONAL,サンリオの悪戯好きなペンギン。,,,B,sanrio,https://ja.wikipedia.org/wiki/バッドばつ丸,active,95
キティ,サンリオ,キャラクター,FICTIONAL,サンリオの代表的キャラクター。ハローキティ。,,,A,sanrio,https://ja.wikipedia.org/wiki/ハローキティ,active,96
マイメロディ,サンリオ,キャラクター,FICTIONAL,サンリオのウサギのキャラクター。,,,A,sanrio,https://ja.wikipedia.org/wiki/マイメロディ,active,97
シナモロール,サンリオ,キャラクター,FICTIONAL,サンリオの白い子犬のキャラクター。,,,A,sanrio,https://ja.wikipedia.org/wiki/シナモロール,active,98
ぐでたま,サンリオ,キャラクター,FICTIONAL,サンリオのやる気のない卵のキャラクター。,,,A,sanrio,https://ja.wikipedia.org/wiki/ぐでたま,active,99
ポムポムプリン,サンリオ,キャラクター,FICTIONAL,サンリオのゴールデンレトリバーのキャラクター。,,,B,sanrio,https://ja.wikipedia.org/wiki/ポムポムプリン,active,100
けろけろけろっぴ,サンリオ,キャラクター,FICTIONAL,サンリオのカエルのキャラクター。,,,B,sanrio,https://ja.wikipedia.org/wiki/けろけろけろっぴ,active,95
タキシードサム,サンリオ,キャラクター,FICTIONAL,サンリオのペンギンのキャラクター。,,,B,sanrio,https://ja.wikipedia.org/wiki/タキシードサム,active,96
