person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
ダグザ,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の大地の神。万能の大釜を持つ。,,,A,mythology,https://ja.wikipedia.org/wiki/ダグザ,active,95
ルー,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の光の神。万能の戦士。,,,A,mythology,https://ja.wikipedia.org/wiki/ルー,active,96
ブリギッド,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の女神。詩と鍛冶の守護者。,,,A,mythology,https://ja.wikipedia.org/wiki/ブリギッド,active,97
モリガン,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の戦いの女神。運命を予言する。,,,A,mythology,https://ja.wikipedia.org/wiki/モリガン,active,98
ヌアザ,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の王。銀の腕を持つ。,,,B,mythology,https://ja.wikipedia.org/wiki/ヌアザ,active,99
ディアン・ケヒト,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の医療の神。,,,B,mythology,https://ja.wikipedia.org/wiki/ディアン・ケヒト,active,100
オグマ,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の知恵と雄弁の神。オガム文字を創った。,,,B,mythology,https://ja.wikipedia.org/wiki/オグマ,active,95
マナナン・マクリル,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の海の神。異界への案内者。,,,B,mythology,https://ja.wikipedia.org/wiki/マナナン・マクリル,active,96
クー・フーリン,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の英雄。アルスターの猛犬。,,,A,mythology,https://ja.wikipedia.org/wiki/クー・フーリン,active,97
フィン・マックール,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の英雄。フィアナ騎士団の長。,,,A,mythology,https://ja.wikipedia.org/wiki/フィン・マックール,active,98
オシアン,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の詩人。フィンの息子。,,,B,mythology,https://ja.wikipedia.org/wiki/オシアン,active,99
ケルヌンノス,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の角を持つ神。森と動物の主。,,,B,mythology,https://ja.wikipedia.org/wiki/ケルヌンノス,active,100
エポナ,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の馬の女神。騎兵の守護者。,,,B,mythology,https://ja.wikipedia.org/wiki/エポナ,active,95
ベレヌス,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の太陽と治癒の神。,,,B,mythology,https://ja.wikipedia.org/wiki/ベレヌス,active,96
タラニス,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の雷と天空の神。,,,B,mythology,https://ja.wikipedia.org/wiki/タラニス,active,97
エスス,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の木こりの神。,,,B,mythology,https://ja.wikipedia.org/wiki/エスス,active,98
アヌ,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の大地母神。豊穣の象徴。,,,B,mythology,https://ja.wikipedia.org/wiki/アヌ,active,99
ダヌ,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の母なる女神。トゥアハ・デ・ダナーンの祖。,,,A,mythology,https://ja.wikipedia.org/wiki/ダヌ,active,100
バロール,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の巨人。邪眼を持つフォモール族の王。,,,B,mythology,https://ja.wikipedia.org/wiki/バロール,active,95
ディルムッド,ケルト神話,神話,MYTHOLOGICAL,ケルト神話の英雄。愛の斑点を持つ美青年。,,,B,mythology,https://ja.wikipedia.org/wiki/ディルムッド,active,96
