person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
ラー,エジプト神話,神話,MYTHOLOGICAL,エジプト神話の太陽神。神々の王。,,,A,mythology,https://ja.wikipedia.org/wiki/ラー,active,95
オシリス,エジプト神話,神話,MYTHOLOGICAL,エジプト神話の冥界の神。復活の象徴。,,,A,mythology,https://ja.wikipedia.org/wiki/オシリス,active,96
イシス,エジプト神話,神話,MYTHOLOGICAL,エジプト神話の魔法の女神。オシリスの妻。,,,A,mythology,https://ja.wikipedia.org/wiki/イシス,active,97
ホルス,エジプト神話,神話,MYTHOLOGICAL,エジプト神話の天空神。ファラオの守護者。,,,A,mythology,https://ja.wikipedia.org/wiki/ホルス,active,98
セト,エジプト神話,神話,MYTHOLOGICAL,エジプト神話の砂漠と嵐の神。,,,A,mythology,https://ja.wikipedia.org/wiki/セト,active,99
アヌビス,エジプト神話,神話,MYTHOLOGICAL,エジプト神話の死者の神。ジャッカルの頭。,,,A,mythology,https://ja.wikipedia.org/wiki/アヌビス,active,100
トート,エジプト神話,神話,MYTHOLOGICAL,エジプト神話の知恵の神。書記の守護者。,,,A,mythology,https://ja.wikipedia.org/wiki/トート,active,95
バステト,エジプト神話,神話,MYTHOLOGICAL,エジプト神話の猫の女神。家庭の守護者。,,,B,mythology,https://ja.wikipedia.org/wiki/バステト,active,96
セクメト,エジプト神話,神話,MYTHOLOGICAL,エジプト神話の戦争の女神。ライオンの頭。,,,B,mythology,https://ja.wikipedia.org/wiki/セクメト,active,97
ハトホル,エジプト神話,神話,MYTHOLOGICAL,エジプト神話の愛と喜びの女神。,,,B,mythology,https://ja.wikipedia.org/wiki/ハトホル,active,98
マアト,エジプト神話,神話,MYTHOLOGICAL,エジプト神話の真理と秩序の女神。,,,B,mythology,https://ja.wikipedia.org/wiki/マアト,active,99
ネフティス,エジプト神話,神話,MYTHOLOGICAL,エジプト神話の死と喪の女神。,,,B,mythology,https://ja.wikipedia.org/wiki/ネフティス,active,100
プタハ,エジプト神話,神話,MYTHOLOGICAL,エジプト神話の創造神。職人の守護者。,,,B,mythology,https://ja.wikipedia.org/wiki/プタハ,active,95
アメン,エジプト神話,神話,MYTHOLOGICAL,エジプト神話の隠された神。テーベの主神。,,,B,mythology,https://ja.wikipedia.org/wiki/アメン,active,96
アトゥム,エジプト神話,神話,MYTHOLOGICAL,エジプト神話の創造神。原初の神。,,,B,mythology,https://ja.wikipedia.org/wiki/アトゥム,active,97
ヌト,エジプト神話,神話,MYTHOLOGICAL,エジプト神話の天空の女神。星を纏う。,,,B,mythology,https://ja.wikipedia.org/wiki/ヌト,active,98
ゲブ,エジプト神話,神話,MYTHOLOGICAL,エジプト神話の大地の神。ヌトの夫。,,,B,mythology,https://ja.wikipedia.org/wiki/ゲブ,active,99
シュー,エジプト神話,神話,MYTHOLOGICAL,エジプト神話の大気の神。,,,B,mythology,https://ja.wikipedia.org/wiki/シュー,active,100
テフヌト,エジプト神話,神話,MYTHOLOGICAL,エジプト神話の湿気の女神。シューの妻。,,,B,mythology,https://ja.wikipedia.org/wiki/テフヌト,active,95
ソベク,エジプト神話,神話,MYTHOLOGICAL,エジプト神話のワニの神。ナイルの守護者。,,,B,mythology,https://ja.wikipedia.org/wiki/ソベク,active,96
