person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
シンデレラの魔法使い,童話,ファンタジー,FICTIONAL,シンデレラに魔法をかけた妖精。,,,B,fairy_tales,https://ja.wikipedia.org/wiki/シンデレラ,active,95
白雪姫の女王,童話,ファンタジー,FICTIONAL,白雪姫の継母。魔法の鏡を持つ。,,,A,fairy_tales,https://ja.wikipedia.org/wiki/白雪姫,active,96
眠れる森の美女の魔女,童話,ファンタジー,FICTIONAL,オーロラ姫に呪いをかけた魔女。,,,A,fairy_tales,https://ja.wikipedia.org/wiki/眠れる森の美女,active,97
ラプンツェルの魔女,童話,ファンタジー,FICTIONAL,ラプンツェルを塔に閉じ込めた魔女。,,,B,fairy_tales,https://ja.wikipedia.org/wiki/ラプンツェル,active,98
ルンペルシュティルツキン,童話,ファンタジー,FICTIONAL,藁を金に変える小人。名前を当てると消える。,,,B,fairy_tales,https://ja.wikipedia.org/wiki/ルンペルシュティルツキン,active,99
ヘンゼルとグレーテルの魔女,童話,ファンタジー,FICTIONAL,お菓子の家に住む魔女。子供を食べる。,,,B,fairy_tales,https://ja.wikipedia.org/wiki/ヘンゼルとグレーテル,active,100
赤ずきんのおばあさん,童話,ファンタジー,FICTIONAL,赤ずきんの祖母。森に住む。,,,C,fairy_tales,https://ja.wikipedia.org/wiki/赤ずきん,active,95
ブレーメンの音楽隊ロバ,童話,ファンタジー,FICTIONAL,ブレーメンを目指した老ロバ。,,,B,fairy_tales,https://ja.wikipedia.org/wiki/ブレーメンの音楽隊,active,96
桃太郎のおじいさん,童話,民話,FICTIONAL,桃太郎を育てたおじいさん。,,,B,folk_tales,https://ja.wikipedia.org/wiki/桃太郎,active,97
桃太郎のおばあさん,童話,民話,FICTIONAL,桃太郎を育てたおばあさん。桃を拾った。,,,B,folk_tales,https://ja.wikipedia.org/wiki/桃太郎,active,98
浦島太郎の乙姫,童話,民話,FICTIONAL,龍宮城の姫。玉手箱を渡した。,,,A,folk_tales,https://ja.wikipedia.org/wiki/浦島太郎,active,99
かぐや姫,童話,民話,FICTIONAL,竹から生まれた月の姫。,,,A,folk_tales,https://ja.wikipedia.org/wiki/竹取物語,active,100
一寸法師のおじいさん,童話,民話,FICTIONAL,一寸法師を育てた老夫婦の夫。,,,C,folk_tales,https://ja.wikipedia.org/wiki/一寸法師,active,95
一寸法師のおばあさん,童話,民話,FICTIONAL,一寸法師を育てた老夫婦の妻。,,,C,folk_tales,https://ja.wikipedia.org/wiki/一寸法師,active,96
金太郎の山姥,童話,民話,FICTIONAL,金太郎を育てた山姥。,,,B,folk_tales,https://ja.wikipedia.org/wiki/金太郎,active,97
花咲か爺さん,童話,民話,FICTIONAL,枯れ木に花を咲かせた老人。,,,B,folk_tales,https://ja.wikipedia.org/wiki/花咲か爺さん,active,98
舌切り雀のおじいさん,童話,民話,FICTIONAL,雀を助けた優しいおじいさん。,,,B,folk_tales,https://ja.wikipedia.org/wiki/舌切り雀,active,99
舌切り雀のおばあさん,童話,民話,FICTIONAL,雀の舌を切った意地悪なおばあさん。,,,B,folk_tales,https://ja.wikipedia.org/wiki/舌切り雀,active,100
笠地蔵のおじいさん,童話,民話,FICTIONAL,地蔵に笠をかぶせた老人。,,,B,folk_tales,https://ja.wikipedia.org/wiki/笠地蔵,active,95
こぶとりじいさん,童話,民話,FICTIONAL,鬼にこぶを取ってもらった老人。,,,B,folk_tales,https://ja.wikipedia.org/wiki/こぶとり爺さん,active,96
