person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
サルマン,指輪物語,ファンタジー,FICTIONAL,白の魔法使い。イスタリの長。,,,A,fantasy,https://ja.wikipedia.org/wiki/サルマン,active,95
サウロン,指輪物語,ファンタジー,FICTIONAL,冥王。一つの指輪の創造者。,,,A,fantasy,https://ja.wikipedia.org/wiki/サウロン,active,96
エルロンド,指輪物語,ファンタジー,FICTIONAL,裂け谷の領主。半エルフの賢者。,,,A,fantasy,https://ja.wikipedia.org/wiki/エルロンド,active,97
ガラドリエル,指輪物語,ファンタジー,FICTIONAL,ロスロリアンの奥方。最古のエルフの一人。,,,A,fantasy,https://ja.wikipedia.org/wiki/ガラドリエル,active,98
スランドゥイル,指輪物語,ファンタジー,FICTIONAL,闇の森のエルフ王。レゴラスの父。,,,B,fantasy,https://ja.wikipedia.org/wiki/スランドゥイル,active,99
トム・ボンバディル,指輪物語,ファンタジー,FICTIONAL,古森の主。最古の存在。,,,B,fantasy,https://ja.wikipedia.org/wiki/トム・ボンバディル,active,100
グリンデルバルド,ハリー・ポッター,ファンタジー,FICTIONAL,闇の魔法使い。ダンブルドアの旧友。,,,A,fantasy,https://ja.wikipedia.org/wiki/グリンデルバルド,active,95
ニコラス・フラメル,ハリー・ポッター,ファンタジー,FICTIONAL,錬金術師。賢者の石の創造者。665歳。,,,A,fantasy,https://ja.wikipedia.org/wiki/ニコラス・フラメル,active,96
アバーフォース・ダンブルドア,ハリー・ポッター,ファンタジー,FICTIONAL,アルバスの弟。豚の頭亭の主人。,,,B,fantasy,https://ja.wikipedia.org/wiki/ダンブルドア家,active,97
マクゴナガル,ハリー・ポッター,ファンタジー,FICTIONAL,グリフィンドール寮監。変身術の教授。,,,A,fantasy,https://ja.wikipedia.org/wiki/ミネルバ・マクゴナガル,active,98
フリットウィック,ハリー・ポッター,ファンタジー,FICTIONAL,レイブンクロー寮監。呪文学の教授。,,,B,fantasy,https://ja.wikipedia.org/wiki/フィリウス・フリットウィック,active,99
スラグホーン,ハリー・ポッター,ファンタジー,FICTIONAL,スリザリン元寮監。魔法薬学の教授。,,,B,fantasy,https://ja.wikipedia.org/wiki/ホラス・スラグホーン,active,100
リンスウィンド,ディスクワールド,ファンタジー,FICTIONAL,史上最悪の魔法使い。逃げの達人。,,,A,fantasy,https://ja.wikipedia.org/wiki/リンスウィンド,active,95
グラニー・ウェザーワックス,ディスクワールド,ファンタジー,FICTIONAL,ランクル地方の魔女。最強の頭脳派。,,,A,fantasy,https://ja.wikipedia.org/wiki/ディスクワールド,active,96
死神,ディスクワールド,ファンタジー,FICTIONAL,ディスクワールドの死神。大文字で話す。,,,A,fantasy,https://ja.wikipedia.org/wiki/ディスクワールド,active,97
コーエン・ザ・バーバリアン,ディスクワールド,ファンタジー,FICTIONAL,伝説の英雄。87歳の現役蛮族。,,,B,fantasy,https://ja.wikipedia.org/wiki/ディスクワールド,active,98
大図書館司書,ディスクワールド,ファンタジー,FICTIONAL,魔法事故でオランウータンになった司書。,,,B,fantasy,https://ja.wikipedia.org/wiki/ディスクワールド,active,99
リドリー,ディスクワールド,ファンタジー,FICTIONAL,見えざる大学の総長。魔法使いの長。,,,B,fantasy,https://ja.wikipedia.org/wiki/ディスクワールド,active,100
メルリン,アーサー王伝説,ファンタジー,FICTIONAL,伝説の魔法使い。アーサー王の相談役。,,,A,fantasy,https://ja.wikipedia.org/wiki/マーリン,active,95
モルガン・ル・フェイ,アーサー王伝説,ファンタジー,FICTIONAL,アーサーの異父姉。魔女。,,,A,fantasy,https://ja.wikipedia.org/wiki/モルガン・ル・フェイ,active,96
