person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
テルス,ファイナルファンタジー,ゲーム,FICTIONAL,FF6の魔導士。帝国に捕らえられた。,,,A,game,https://ja.wikipedia.org/wiki/ファイナルファンタジーVI,active,95
ストラゴス,ファイナルファンタジー,ゲーム,FICTIONAL,FF6の青魔道士。高齢の魔法使い。,,,B,game,https://ja.wikipedia.org/wiki/ファイナルファンタジーVI,active,96
フースーヤ,ファイナルファンタジー,ゲーム,FICTIONAL,FF4の月の民。セシルの叔父。,,,B,game,https://ja.wikipedia.org/wiki/ファイナルファンタジーIV,active,97
ゼムス,ファイナルファンタジー,ゲーム,FICTIONAL,FF4の月の民。ゼロムスの元となった。,,,B,game,https://ja.wikipedia.org/wiki/ファイナルファンタジーIV,active,98
バハムート,ファイナルファンタジー,ゲーム,FICTIONAL,FFシリーズの竜王。召喚獣の王。,,,A,game,https://ja.wikipedia.org/wiki/バハムート,active,99
オーディン,ファイナルファンタジー,ゲーム,FICTIONAL,FFシリーズの召喚獣。斬鉄剣を振るう。,,,A,game,https://ja.wikipedia.org/wiki/召喚獣,active,100
シド,ファイナルファンタジー,ゲーム,FICTIONAL,FFシリーズの名物キャラクター。技術者。,,,A,game,https://ja.wikipedia.org/wiki/シド,active,95
インパ,ゼルダの伝説,ゲーム,FICTIONAL,ゼルダの伝説の賢者。シーカー族の長老。,,,A,game,https://ja.wikipedia.org/wiki/ゼルダの伝説,active,96
大妖精,ゼルダの伝説,ゲーム,FICTIONAL,ゼルダの伝説の妖精。リンクを助ける。,,,B,game,https://ja.wikipedia.org/wiki/ゼルダの伝説,active,97
デクの樹,ゼルダの伝説,ゲーム,FICTIONAL,ゼルダの伝説の神木。コキリの森の守護者。,,,A,game,https://ja.wikipedia.org/wiki/ゼルダの伝説_時のオカリナ,active,98
ガノンドロフ,ゼルダの伝説,ゲーム,FICTIONAL,ゼルダの伝説の魔王。トライフォースを狙う。,,,A,game,https://ja.wikipedia.org/wiki/ガノンドロフ,active,99
ゼルダ姫,ゼルダの伝説,ゲーム,FICTIONAL,ゼルダの伝説のハイラル王国の姫。,,,A,game,https://ja.wikipedia.org/wiki/ゼルダ姫,active,100
マリオ,任天堂,ゲーム,FICTIONAL,任天堂の看板キャラクター。配管工。,,,A,game,https://ja.wikipedia.org/wiki/マリオ,active,95
ルイージ,任天堂,ゲーム,FICTIONAL,マリオの弟。緑の帽子が特徴。,,,A,game,https://ja.wikipedia.org/wiki/ルイージ,active,96
ピーチ姫,任天堂,ゲーム,FICTIONAL,キノコ王国の姫。よく攫われる。,,,A,game,https://ja.wikipedia.org/wiki/ピーチ姫,active,97
クッパ,任天堂,ゲーム,FICTIONAL,マリオシリーズの大魔王。カメ族の王。,,,A,game,https://ja.wikipedia.org/wiki/クッパ,active,98
ドンキーコング,任天堂,ゲーム,FICTIONAL,任天堂のゴリラキャラクター。,,,A,game,https://ja.wikipedia.org/wiki/ドンキーコング,active,99
キャプテン・ファルコン,任天堂,ゲーム,FICTIONAL,F-ZEROの主人公。バウンティハンター。,,,B,game,https://ja.wikipedia.org/wiki/F-ZERO,active,100
フォックス・マクラウド,任天堂,ゲーム,FICTIONAL,スターフォックスの主人公。宇宙戦闘機パイロット。,,,B,game,https://ja.wikipedia.org/wiki/スターフォックス,active,95
サムス・アラン,任天堂,ゲーム,FICTIONAL,メトロイドの主人公。バウンティハンター。,,,A,game,https://ja.wikipedia.org/wiki/サムス・アラン,active,96
