person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
天照大神,日本神話,神話,MYTHOLOGICAL,日本神話の太陽女神。皇室の祖神。,,,A,mythology,https://ja.wikipedia.org/wiki/天照大神,active,95
須佐之男命,日本神話,神話,MYTHOLOGICAL,日本神話の嵐の神。八岐大蛇を退治。,,,A,mythology,https://ja.wikipedia.org/wiki/須佐之男命,active,96
月読命,日本神話,神話,MYTHOLOGICAL,日本神話の月の神。夜を司る。,,,B,mythology,https://ja.wikipedia.org/wiki/月読命,active,97
伊邪那岐命,日本神話,神話,MYTHOLOGICAL,日本神話の創造神。国生みの神。,,,A,mythology,https://ja.wikipedia.org/wiki/伊邪那岐命,active,98
伊邪那美命,日本神話,神話,MYTHOLOGICAL,日本神話の創造女神。黄泉の国の主。,,,A,mythology,https://ja.wikipedia.org/wiki/伊邪那美命,active,99
大国主命,日本神話,神話,MYTHOLOGICAL,日本神話の国造りの神。縁結びの神。,,,A,mythology,https://ja.wikipedia.org/wiki/大国主命,active,100
天之御中主神,日本神話,神話,MYTHOLOGICAL,日本神話の最初の神。宇宙の中心。,,,A,mythology,https://ja.wikipedia.org/wiki/天之御中主神,active,95
高御産巣日神,日本神話,神話,MYTHOLOGICAL,日本神話の創造神。生成の神。,,,B,mythology,https://ja.wikipedia.org/wiki/高御産巣日神,active,96
神産巣日神,日本神話,神話,MYTHOLOGICAL,日本神話の創造神。復活の力を持つ。,,,B,mythology,https://ja.wikipedia.org/wiki/神産巣日神,active,97
建御雷神,日本神話,神話,MYTHOLOGICAL,日本神話の雷神。国譲りの使者。,,,B,mythology,https://ja.wikipedia.org/wiki/建御雷神,active,98
経津主神,日本神話,神話,MYTHOLOGICAL,日本神話の剣の神。武道の守護者。,,,B,mythology,https://ja.wikipedia.org/wiki/経津主神,active,99
天之常立神,日本神話,神話,MYTHOLOGICAL,日本神話の神。天の永遠性を象徴。,,,B,mythology,https://ja.wikipedia.org/wiki/天之常立神,active,100
国之常立神,日本神話,神話,MYTHOLOGICAL,日本神話の神。国土の永遠性を象徴。,,,B,mythology,https://ja.wikipedia.org/wiki/国之常立神,active,95
宇迦之御魂神,日本神話,神話,MYTHOLOGICAL,日本神話の穀物の神。稲荷神。,,,A,mythology,https://ja.wikipedia.org/wiki/宇迦之御魂神,active,96
猿田彦神,日本神話,神話,MYTHOLOGICAL,日本神話の道案内の神。天孫を導いた。,,,B,mythology,https://ja.wikipedia.org/wiki/猿田彦神,active,97
天宇受売命,日本神話,神話,MYTHOLOGICAL,日本神話の芸能の女神。天岩戸で舞った。,,,B,mythology,https://ja.wikipedia.org/wiki/天宇受売命,active,98
思金神,日本神話,神話,MYTHOLOGICAL,日本神話の知恵の神。神々の参謀。,,,B,mythology,https://ja.wikipedia.org/wiki/思金神,active,99
手力男神,日本神話,神話,MYTHOLOGICAL,日本神話の力の神。天岩戸を開いた。,,,B,mythology,https://ja.wikipedia.org/wiki/手力男神,active,100
日本武尊,日本神話,神話,MYTHOLOGICAL,日本神話の英雄。草薙剣を持つ。,,,A,mythology,https://ja.wikipedia.org/wiki/日本武尊,active,95
神功皇后,日本神話,神話,MYTHOLOGICAL,日本神話の女帝。三韓征伐の伝説。,,,A,mythology,https://ja.wikipedia.org/wiki/神功皇后,active,96
