person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
トール,北欧神話,神話,MYTHOLOGICAL,北欧神話の雷神。ミョルニルを振るう。,,,A,mythology,https://ja.wikipedia.org/wiki/トール,active,95
フレイヤ,北欧神話,神話,MYTHOLOGICAL,北欧神話の愛と豊穣の女神。,,,A,mythology,https://ja.wikipedia.org/wiki/フレイヤ,active,96
フレイ,北欧神話,神話,MYTHOLOGICAL,北欧神話の豊穣神。フレイヤの双子。,,,B,mythology,https://ja.wikipedia.org/wiki/フレイ,active,97
ロキ,北欧神話,神話,MYTHOLOGICAL,北欧神話のいたずらの神。変身能力を持つ。,,,A,mythology,https://ja.wikipedia.org/wiki/ロキ,active,98
バルドル,北欧神話,神話,MYTHOLOGICAL,北欧神話の光の神。オーディンの息子。,,,B,mythology,https://ja.wikipedia.org/wiki/バルドル,active,99
ヘイムダル,北欧神話,神話,MYTHOLOGICAL,北欧神話の神。ビフレストの番人。,,,B,mythology,https://ja.wikipedia.org/wiki/ヘイムダル,active,100
テュール,北欧神話,神話,MYTHOLOGICAL,北欧神話の軍神。片腕を失った勇者。,,,B,mythology,https://ja.wikipedia.org/wiki/テュール,active,95
イズン,北欧神話,神話,MYTHOLOGICAL,北欧神話の女神。若返りのリンゴを守る。,,,B,mythology,https://ja.wikipedia.org/wiki/イズン,active,96
ヘル,北欧神話,神話,MYTHOLOGICAL,北欧神話の冥界の女王。ロキの娘。,,,B,mythology,https://ja.wikipedia.org/wiki/ヘル,active,97
フリッグ,北欧神話,神話,MYTHOLOGICAL,北欧神話の女神。オーディンの妻。,,,B,mythology,https://ja.wikipedia.org/wiki/フリッグ,active,98
シフ,北欧神話,神話,MYTHOLOGICAL,北欧神話の女神。トールの妻。,,,B,mythology,https://ja.wikipedia.org/wiki/シフ,active,99
ニョルズ,北欧神話,神話,MYTHOLOGICAL,北欧神話の海と風の神。,,,B,mythology,https://ja.wikipedia.org/wiki/ニョルズ,active,100
フェンリル,北欧神話,神話,MYTHOLOGICAL,北欧神話の巨狼。ラグナロクで解放される。,,,B,mythology,https://ja.wikipedia.org/wiki/フェンリル,active,95
ヨルムンガンド,北欧神話,神話,MYTHOLOGICAL,北欧神話の世界蛇。ミッドガルドを囲む。,,,B,mythology,https://ja.wikipedia.org/wiki/ヨルムンガンド,active,96
スレイプニル,北欧神話,神話,MYTHOLOGICAL,北欧神話の八本足の馬。オーディンの愛馬。,,,B,mythology,https://ja.wikipedia.org/wiki/スレイプニル,active,97
ヴァルキリー,北欧神話,神話,MYTHOLOGICAL,北欧神話の戦乙女。戦死者を選ぶ。,,,B,mythology,https://ja.wikipedia.org/wiki/ワルキューレ,active,98
エインヘリャル,北欧神話,神話,MYTHOLOGICAL,北欧神話のヴァルハラの戦士。,,,C,mythology,https://ja.wikipedia.org/wiki/エインヘリャル,active,99
ミーミル,北欧神話,神話,MYTHOLOGICAL,北欧神話の知恵の巨人。オーディンの相談役。,,,B,mythology,https://ja.wikipedia.org/wiki/ミーミル,active,100
ノルン,北欧神話,神話,MYTHOLOGICAL,北欧神話の運命の女神たち。,,,B,mythology,https://ja.wikipedia.org/wiki/ノルン,active,95
シグルズ,北欧神話,神話,MYTHOLOGICAL,北欧神話の英雄。ファフニールを倒した。,,,A,mythology,https://ja.wikipedia.org/wiki/シグルズ,active,96
