person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
波平,サザエさん,アニメ,FICTIONAL,磯野家の父。サザエの父。,,,A,anime,https://ja.wikipedia.org/wiki/サザエさん,active,54
マスオ,サザエさん,アニメ,FICTIONAL,サザエの夫。フグ田マスオ。,,,B,anime,https://ja.wikipedia.org/wiki/サザエさん,active,28
カツオ,サザエさん,アニメ,FICTIONAL,サザエの弟。小学5年生。,,,B,anime,https://ja.wikipedia.org/wiki/サザエさん,active,11
ワカメ,サザエさん,アニメ,FICTIONAL,サザエの妹。小学3年生。,,,B,anime,https://ja.wikipedia.org/wiki/サザエさん,active,9
両津勘吉,こちら葛飾区亀有公園前派出所,アニメ,FICTIONAL,派出所の巡査長。破天荒な警官。,,,A,anime,https://ja.wikipedia.org/wiki/こちら葛飾区亀有公園前派出所,active,35
中川圭一,こちら葛飾区亀有公園前派出所,アニメ,FICTIONAL,両津の同僚。超金持ちの御曹司。,,,B,anime,https://ja.wikipedia.org/wiki/こちら葛飾区亀有公園前派出所,active,25
秋本麗子,こちら葛飾区亀有公園前派出所,アニメ,FICTIONAL,両津の同僚。スタイル抜群の婦警。,,,B,anime,https://ja.wikipedia.org/wiki/こちら葛飾区亀有公園前派出所,active,26
大原大次郎,こちら葛飾区亀有公園前派出所,アニメ,FICTIONAL,派出所の部長。両津に手を焼く。,,,B,anime,https://ja.wikipedia.org/wiki/こちら葛飾区亀有公園前派出所,active,95
マダオ,銀魂,アニメ,FICTIONAL,ホームレスの元エリート。長谷川泰三。,,,B,anime,https://ja.wikipedia.org/wiki/銀魂,active,63
山崎退,銀魂,アニメ,FICTIONAL,真選組の監察。地味な存在。,,,C,anime,https://ja.wikipedia.org/wiki/銀魂,active,64
源外,銀魂,アニメ,FICTIONAL,からくり技師。機械仕掛けの天才。,,,B,anime,https://ja.wikipedia.org/wiki/銀魂,active,96
長老,各種アニメ,アニメ,FICTIONAL,村の長老。知恵袋的存在。,,,C,anime,general,active,97
翁,伝説,ファンタジー,FICTIONAL,伝説に登場する老人。,,,C,fantasy,general,active,98
老師,武侠,ファンタジー,FICTIONAL,武術の達人。弟子を導く。,,,B,fantasy,general,active,99
仙人,伝説,ファンタジー,FICTIONAL,山に住む不老不死の存在。,,,B,fantasy,general,active,100
鶴仙人,ドラゴンボール,アニメ,FICTIONAL,亀仙人のライバル。鶴仙流の師。,,,B,anime,https://ja.wikipedia.org/wiki/ドラゴンボール,active,95
桃白白,ドラゴンボール,アニメ,FICTIONAL,世界一の殺し屋。鶴仙人の弟。,,,B,anime,https://ja.wikipedia.org/wiki/ドラゴンボール,active,96
占いババ,ドラゴンボール,アニメ,FICTIONAL,亀仙人の姉。500歳の占い師。,,,B,anime,https://ja.wikipedia.org/wiki/ドラゴンボール,active,97
カリン様,ドラゴンボール,アニメ,FICTIONAL,カリン塔に住む仙猫。800歳。,,,B,anime,https://ja.wikipedia.org/wiki/ドラゴンボール,active,98
神様,ドラゴンボール,アニメ,FICTIONAL,地球の神。ナメック星人。,,,A,anime,https://ja.wikipedia.org/wiki/ドラゴンボール,active,99
