person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
江戸川コナン,名探偵コナン,アニメ,FICTIONAL,高校生探偵が小学生に変身。,,,A,anime,https://ja.wikipedia.org/wiki/名探偵コナン,active,17
毛利蘭,名探偵コナン,アニメ,FICTIONAL,コナンの幼馴染。空手の達人。,,,A,anime,https://ja.wikipedia.org/wiki/名探偵コナン,active,17
服部平次,名探偵コナン,アニメ,FICTIONAL,西の高校生探偵。関西弁。,,,A,anime,https://ja.wikipedia.org/wiki/名探偵コナン,active,17
遠山和葉,名探偵コナン,アニメ,FICTIONAL,平次の幼馴染。合気道の達人。,,,B,anime,https://ja.wikipedia.org/wiki/名探偵コナン,active,17
灰原哀,名探偵コナン,アニメ,FICTIONAL,元黒の組織の科学者。,,,A,anime,https://ja.wikipedia.org/wiki/名探偵コナン,active,17
竈門炭治郎,鬼滅の刃,アニメ,FICTIONAL,鬼殺隊の剣士。水の呼吸。,,,A,anime,https://ja.wikipedia.org/wiki/鬼滅の刃,active,16
竈門禰豆子,鬼滅の刃,アニメ,FICTIONAL,炭治郎の妹。鬼になった。,,,A,anime,https://ja.wikipedia.org/wiki/鬼滅の刃,active,14
我妻善逸,鬼滅の刃,アニメ,FICTIONAL,鬼殺隊の剣士。雷の呼吸。,,,A,anime,https://ja.wikipedia.org/wiki/鬼滅の刃,active,16
嘴平伊之助,鬼滅の刃,アニメ,FICTIONAL,鬼殺隊の剣士。獣の呼吸。,,,A,anime,https://ja.wikipedia.org/wiki/鬼滅の刃,active,16
煉獄杏寿郎,鬼滅の刃,アニメ,FICTIONAL,炎柱。炎の呼吸の使い手。,,,A,anime,https://ja.wikipedia.org/wiki/鬼滅の刃,active,20
冨岡義勇,鬼滅の刃,アニメ,FICTIONAL,水柱。水の呼吸の使い手。,,,A,anime,https://ja.wikipedia.org/wiki/鬼滅の刃,active,21
胡蝶しのぶ,鬼滅の刃,アニメ,FICTIONAL,蟲柱。毒使い。,,,A,anime,https://ja.wikipedia.org/wiki/鬼滅の刃,active,18
甘露寺蜜璃,鬼滅の刃,アニメ,FICTIONAL,恋柱。筋力が異常に強い。,,,A,anime,https://ja.wikipedia.org/wiki/鬼滅の刃,active,19
時透無一郎,鬼滅の刃,アニメ,FICTIONAL,霞柱。天才剣士。,,,A,anime,https://ja.wikipedia.org/wiki/鬼滅の刃,active,14
伊黒小芭内,鬼滅の刃,アニメ,FICTIONAL,蛇柱。蛇の呼吸の使い手。,,,B,anime,https://ja.wikipedia.org/wiki/鬼滅の刃,active,21
不死川実弥,鬼滅の刃,アニメ,FICTIONAL,風柱。風の呼吸の使い手。,,,B,anime,https://ja.wikipedia.org/wiki/鬼滅の刃,active,21
悲鳴嶼行冥,鬼滅の刃,アニメ,FICTIONAL,岩柱。最強の柱。,,,A,anime,https://ja.wikipedia.org/wiki/鬼滅の刃,active,27
宇髄天元,鬼滅の刃,アニメ,FICTIONAL,音柱。派手好き。,,,A,anime,https://ja.wikipedia.org/wiki/鬼滅の刃,active,23
デク,僕のヒーローアカデミア,アニメ,FICTIONAL,緑谷出久。ワン・フォー・オールの継承者。,,,A,anime,https://ja.wikipedia.org/wiki/僕のヒーローアカデミア,active,16
爆豪勝己,僕のヒーローアカデミア,アニメ,FICTIONAL,デクの幼馴染。爆破の個性。,,,A,anime,https://ja.wikipedia.org/wiki/僕のヒーローアカデミア,active,16
