person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
クレヨンしんちゃんひろし,クレヨンしんちゃん,アニメ,FICTIONAL,野原ひろし。しんのすけの父。,,,A,anime,https://ja.wikipedia.org/wiki/クレヨンしんちゃん,active,35
野原みさえ,クレヨンしんちゃん,アニメ,FICTIONAL,しんのすけの母。専業主婦。,,,A,anime,https://ja.wikipedia.org/wiki/クレヨンしんちゃん,active,29
野原しんのすけ,クレヨンしんちゃん,アニメ,FICTIONAL,主人公。5歳の幼稚園児。,,,A,anime,https://ja.wikipedia.org/wiki/クレヨンしんちゃん,active,5
野原ひまわり,クレヨンしんちゃん,アニメ,FICTIONAL,しんのすけの妹。赤ちゃん。,,,B,anime,https://ja.wikipedia.org/wiki/クレヨンしんちゃん,active,1
野原銀の介,クレヨンしんちゃん,アニメ,FICTIONAL,ひろしの父。秋田に住む。,,,B,anime,https://ja.wikipedia.org/wiki/クレヨンしんちゃん,active,61
野原つる,クレヨンしんちゃん,アニメ,FICTIONAL,ひろしの母。秋田に住む。,,,B,anime,https://ja.wikipedia.org/wiki/クレヨンしんちゃん,active,62
小山よしなが,クレヨンしんちゃん,アニメ,FICTIONAL,みさえの父。熊本に住む。,,,B,anime,https://ja.wikipedia.org/wiki/クレヨンしんちゃん,active,63
小山ひさえ,クレヨンしんちゃん,アニメ,FICTIONAL,みさえの母。熊本に住む。,,,B,anime,https://ja.wikipedia.org/wiki/クレヨンしんちゃん,active,64
園長先生,クレヨンしんちゃん,アニメ,FICTIONAL,ふたば幼稚園の園長。,,,C,anime,https://ja.wikipedia.org/wiki/クレヨンしんちゃん,active,66
組長,アウトローもの,ドラマ,FICTIONAL,組の長。,,,C,drama,general,active,67
理事長,学園もの,ドラマ,FICTIONAL,学園の理事長。,,,C,drama,general,active,68
会長,会社もの,ドラマ,FICTIONAL,会社の会長。,,,C,drama,general,active,69
スネ夫のパパ,ドラえもん,アニメ,FICTIONAL,骨川家の父。社長。,,,B,anime,https://ja.wikipedia.org/wiki/ドラえもん,active,40
ジャイアンのパパ,ドラえもん,アニメ,FICTIONAL,剛田家の父。酒屋経営。,,,B,anime,https://ja.wikipedia.org/wiki/ドラえもん,active,42
しずかちゃんのパパ,ドラえもん,アニメ,FICTIONAL,源家の父。,,,B,anime,https://ja.wikipedia.org/wiki/ドラえもん,active,41
のび太のおばあちゃん,ドラえもん,アニメ,FICTIONAL,のび太の祖母。優しい。,,,A,anime,https://ja.wikipedia.org/wiki/ドラえもん,active,93
のび太のおじいちゃん,ドラえもん,アニメ,FICTIONAL,のび太の祖父。,,,B,anime,https://ja.wikipedia.org/wiki/ドラえもん,active,94
ドラえもん,ドラえもん,アニメ,FICTIONAL,22世紀から来たネコ型ロボット。,,,A,anime,https://ja.wikipedia.org/wiki/ドラえもん,active,95
ドラミ,ドラえもん,アニメ,FICTIONAL,ドラえもんの妹。優秀なロボット。,,,A,anime,https://ja.wikipedia.org/wiki/ドラえもん,active,96
先生,ドラえもん,アニメ,FICTIONAL,のび太の担任教師。,,,B,anime,https://ja.wikipedia.org/wiki/ドラえもん,active,35
