person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
桜木花道,スラムダンク,スポーツ,FICTIONAL,湘北高校バスケ部。天才的な身体能力。,,,A,sports_anime,https://ja.wikipedia.org/wiki/SLAM_DUNK,active,16
流川楓,スラムダンク,スポーツ,FICTIONAL,湘北高校のエース。無口なシューター。,,,A,sports_anime,https://ja.wikipedia.org/wiki/SLAM_DUNK,active,17
赤木剛憲,スラムダンク,スポーツ,FICTIONAL,湘北高校のキャプテン。ゴリラ。,,,A,sports_anime,https://ja.wikipedia.org/wiki/SLAM_DUNK,active,17
宮城リョータ,スラムダンク,スポーツ,FICTIONAL,湘北高校のポイントガード。,,,B,sports_anime,https://ja.wikipedia.org/wiki/SLAM_DUNK,active,16
三井寿,スラムダンク,スポーツ,FICTIONAL,湘北高校のシューター。元不良。,,,A,sports_anime,https://ja.wikipedia.org/wiki/SLAM_DUNK,active,17
仙道彰,スラムダンク,スポーツ,FICTIONAL,陵南高校のエース。天才的なプレイヤー。,,,A,sports_anime,https://ja.wikipedia.org/wiki/SLAM_DUNK,active,17
牧紳一,スラムダンク,スポーツ,FICTIONAL,海南大附属のキャプテン。帝王。,,,A,sports_anime,https://ja.wikipedia.org/wiki/SLAM_DUNK,active,17
藤真健司,スラムダンク,スポーツ,FICTIONAL,翔陽高校の監督兼プレイヤー。,,,B,sports_anime,https://ja.wikipedia.org/wiki/SLAM_DUNK,active,17
日向翔陽,ハイキュー!!,スポーツ,FICTIONAL,烏野高校バレー部。小さな巨人を目指す。,,,A,sports_anime,https://ja.wikipedia.org/wiki/ハイキュー!!,active,16
影山飛雄,ハイキュー!!,スポーツ,FICTIONAL,烏野高校バレー部。天才セッター。,,,A,sports_anime,https://ja.wikipedia.org/wiki/ハイキュー!!,active,16
澤村大地,ハイキュー!!,スポーツ,FICTIONAL,烏野高校バレー部キャプテン。,,,B,sports_anime,https://ja.wikipedia.org/wiki/ハイキュー!!,active,17
月島蛍,ハイキュー!!,スポーツ,FICTIONAL,烏野高校バレー部。長身のブロッカー。,,,B,sports_anime,https://ja.wikipedia.org/wiki/ハイキュー!!,active,16
及川徹,ハイキュー!!,スポーツ,FICTIONAL,青葉城西高校のセッター。大王様。,,,A,sports_anime,https://ja.wikipedia.org/wiki/ハイキュー!!,active,17
牛島若利,ハイキュー!!,スポーツ,FICTIONAL,白鳥沢学園のエース。日本一のスパイカー。,,,A,sports_anime,https://ja.wikipedia.org/wiki/ハイキュー!!,active,17
木兎光太郎,ハイキュー!!,スポーツ,FICTIONAL,梟谷学園のエース。全国5本指。,,,A,sports_anime,https://ja.wikipedia.org/wiki/ハイキュー!!,active,17
赤葦京治,ハイキュー!!,スポーツ,FICTIONAL,梟谷学園のセッター。冷静な参謀。,,,B,sports_anime,https://ja.wikipedia.org/wiki/ハイキュー!!,active,16
北信介,ハイキュー!!,スポーツ,FICTIONAL,稲荷崎高校のキャプテン。,,,B,sports_anime,https://ja.wikipedia.org/wiki/ハイキュー!!,active,17
宮侑,ハイキュー!!,スポーツ,FICTIONAL,稲荷崎高校のセッター。双子の弟。,,,A,sports_anime,https://ja.wikipedia.org/wiki/ハイキュー!!,active,16
宮治,ハイキュー!!,スポーツ,FICTIONAL,稲荷崎高校のスパイカー。双子の兄。,,,B,sports_anime,https://ja.wikipedia.org/wiki/ハイキュー!!,active,16
佐久早聖臣,ハイキュー!!,スポーツ,FICTIONAL,井闘学園のエース。潔癖症。,,,A,sports_anime,https://ja.wikipedia.org/wiki/ハイキュー!!,active,17
