person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
中曽根康弘,政治家,総理大臣,REAL,第71-73代内閣総理大臣。国鉄民営化を実現。,1918,2019,A,politics,https://ja.wikipedia.org/wiki/中曽根康弘,active,101
宮澤喜一,政治家,総理大臣,REAL,第78代内閣総理大臣。大蔵大臣も歴任。,1919,2007,A,politics,https://ja.wikipedia.org/wiki/宮澤喜一,active,87
福田赳夫,政治家,総理大臣,REAL,第67代内閣総理大臣。福田ドクトリン。,1905,1995,A,politics,https://ja.wikipedia.org/wiki/福田赳夫,active,90
鈴木善幸,政治家,総理大臣,REAL,第70代内閣総理大臣。,1911,2004,B,politics,https://ja.wikipedia.org/wiki/鈴木善幸,active,93
村山富市,政治家,総理大臣,REAL,第81代内閣総理大臣。社会党出身。,1924,2024,A,politics,https://ja.wikipedia.org/wiki/村山富市,active,100
海部俊樹,政治家,総理大臣,REAL,第76-77代内閣総理大臣。,1931,2022,B,politics,https://ja.wikipedia.org/wiki/海部俊樹,active,91
瀬戸内寂聴,作家,僧侶,REAL,小説家・天台宗の尼僧。源氏物語現代語訳。,1922,2021,A,literature,https://ja.wikipedia.org/wiki/瀬戸内寂聴,active,99
水木しげる,漫画家,妖怪,REAL,ゲゲゲの鬼太郎の作者。妖怪研究家。,1922,2015,A,manga,https://ja.wikipedia.org/wiki/水木しげる,active,93
森繁久彌,俳優,映画,REAL,国民的俳優。文化勲章受章。,1913,2009,A,entertainment,https://ja.wikipedia.org/wiki/森繁久彌,active,96
森光子,女優,舞台,REAL,放浪記で2017回主演。国民栄誉賞。,1920,2012,A,entertainment,https://ja.wikipedia.org/wiki/森光子,active,92
津川雅彦,俳優,映画,REAL,俳優・映画監督。時代劇で活躍。,1940,2018,A,entertainment,https://ja.wikipedia.org/wiki/津川雅彦,active,78
加山雄三,歌手,俳優,REAL,若大将シリーズ。歌手・俳優。,1937,,A,entertainment,https://ja.wikipedia.org/wiki/加山雄三,active,87
黒柳徹子,タレント,司会,REAL,徹子の部屋司会。窓ぎわのトットちゃん著者。,1933,,A,entertainment,https://ja.wikipedia.org/wiki/黒柳徹子,active,91
草笛光子,女優,舞台,REAL,女優。舞台・映画で活躍。,1933,,A,entertainment,https://ja.wikipedia.org/wiki/草笛光子,active,91
八千草薫,女優,映画,REAL,清楚な演技で知られる女優。,1931,2019,A,entertainment,https://ja.wikipedia.org/wiki/八千草薫,active,88
高峰秀子,女優,映画,REAL,日本映画を代表する女優。二十四の瞳。,1924,2010,A,entertainment,https://ja.wikipedia.org/wiki/高峰秀子,active,86
岸惠子,女優,国際,REAL,女優・作家。フランスでも活躍。,1932,,A,entertainment,https://ja.wikipedia.org/wiki/岸惠子,active,92
司馬遼太郎,作家,歴史,REAL,歴史小説の大家。坂の上の雲など。,1923,1996,A,literature,https://ja.wikipedia.org/wiki/司馬遼太郎,active,72
松本清張,作家,推理,REAL,社会派推理小説の巨匠。点と線など。,1909,1992,A,literature,https://ja.wikipedia.org/wiki/松本清張,active,82
遠藤周作,作家,純文学,REAL,カトリック作家。沈黙など。,1923,1996,A,literature,https://ja.wikipedia.org/wiki/遠藤周作,active,73
