person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
東山魁夷,画家,日本画,REAL,日本画家。文化勲章受章。風景画の巨匠。,1908,1999,A,art,https://ja.wikipedia.org/wiki/東山魁夷,active,90
平山郁夫,画家,日本画,REAL,日本画家。シルクロードを描いた。,1930,2009,A,art,https://ja.wikipedia.org/wiki/平山郁夫,active,79
千住博,画家,現代美術,REAL,日本画家。滝の絵で知られる。,1958,,A,art,https://ja.wikipedia.org/wiki/千住博,active,66
日野原重明,医師,聖路加,REAL,聖路加国際病院名誉院長。105歳まで現役。,1911,2017,A,medicine,https://ja.wikipedia.org/wiki/日野原重明,active,105
塩川正十郎,政治家,財務,REAL,財務大臣。塩爺の愛称。,1921,2015,B,politics,https://ja.wikipedia.org/wiki/塩川正十郎,active,93
奥野誠亮,政治家,法務,REAL,法務大臣・文部大臣。,1913,2016,B,politics,https://ja.wikipedia.org/wiki/奥野誠亮,active,103
三笠宮崇仁親王,皇室,宮家,REAL,昭和天皇の弟。オリエント史学者。,1915,2016,A,royalty,https://ja.wikipedia.org/wiki/三笠宮崇仁親王,active,100
上皇明仁,皇室,天皇,REAL,第125代天皇。生前退位。,1933,,A,royalty,https://ja.wikipedia.org/wiki/明仁,active,91
上皇后美智子,皇室,皇后,REAL,民間出身初の皇后。,1934,,A,royalty,https://ja.wikipedia.org/wiki/上皇后美智子,active,90
田部井淳子,登山家,エベレスト,REAL,女性初のエベレスト登頂者。,1939,2016,A,sports,https://ja.wikipedia.org/wiki/田部井淳子,active,77
三浦雄一郎,登山家,エベレスト,REAL,80歳でエベレスト登頂。スキーヤー。,1932,,A,sports,https://ja.wikipedia.org/wiki/三浦雄一郎,active,92
長嶋茂雄,野球,巨人,REAL,ミスタージャイアンツ。国民栄誉賞。,1936,,A,sports,https://ja.wikipedia.org/wiki/長嶋茂雄,active,88
王貞治,野球,ホームラン,REAL,世界のホームラン王。国民栄誉賞第1号。,1940,,A,sports,https://ja.wikipedia.org/wiki/王貞治,active,84
野村克也,野球,監督,REAL,名捕手・名監督。野村再生工場。,1935,2020,A,sports,https://ja.wikipedia.org/wiki/野村克也,active,84
落合博満,野球,三冠王,REAL,三冠王3回。中日監督で4度優勝。,1953,,A,sports,https://ja.wikipedia.org/wiki/落合博満,active,71
古賀稔彦,柔道,金メダル,REAL,バルセロナ五輪柔道金メダル。平成の三四郎。,1967,2021,A,sports,https://ja.wikipedia.org/wiki/古賀稔彦,active,53
吉田沙保里,レスリング,金メダル,REAL,五輪3連覇。霊長類最強女子。,1982,,A,sports,https://ja.wikipedia.org/wiki/吉田沙保里,active,42
伊調馨,レスリング,金メダル,REAL,五輪4連覇。国民栄誉賞。,1984,,A,sports,https://ja.wikipedia.org/wiki/伊調馨,active,40
北島康介,水泳,金メダル,REAL,五輪平泳ぎ2大会連続2冠。超気持ちいい。,1982,,A,sports,https://ja.wikipedia.org/wiki/北島康介,active,42
内村航平,体操,金メダル,REAL,体操個人総合五輪2連覇。キング内村。,1989,,A,sports,https://ja.wikipedia.org/wiki/内村航平,active,35
