person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
エリザベス2世,王室,イギリス,REAL,イギリス女王。在位70年。,1926,2022,A,royalty,https://ja.wikipedia.org/wiki/エリザベス2世,active,96
ネルソン・マンデラ,政治家,南アフリカ,REAL,南アフリカ大統領。反アパルトヘイト指導者。,1918,2013,A,politics,https://ja.wikipedia.org/wiki/ネルソン・マンデラ,active,95
ジミー・カーター,政治家,アメリカ,REAL,第39代アメリカ大統領。ノーベル平和賞。,1924,2024,A,politics,https://ja.wikipedia.org/wiki/ジミー・カーター,active,100
ジョージ・H・W・ブッシュ,政治家,アメリカ,REAL,第41代アメリカ大統領。,1924,2018,A,politics,https://ja.wikipedia.org/wiki/ジョージ・H・W・ブッシュ,active,94
ヘンリー・キッシンジャー,政治家,アメリカ,REAL,国務長官。ノーベル平和賞。,1923,2023,A,politics,https://ja.wikipedia.org/wiki/ヘンリー・キッシンジャー,active,100
教皇ベネディクト16世,宗教,カトリック,REAL,第265代ローマ教皇。生前退位。,1927,2022,A,religion,https://ja.wikipedia.org/wiki/ベネディクト16世,active,95
ダライ・ラマ14世,宗教,チベット仏教,REAL,チベット仏教の最高指導者。ノーベル平和賞。,1935,,A,religion,https://ja.wikipedia.org/wiki/ダライ・ラマ14世,active,89
カーク・ダグラス,俳優,ハリウッド,REAL,ハリウッド黄金期のスター。スパルタカス。,1916,2020,A,entertainment,https://ja.wikipedia.org/wiki/カーク・ダグラス,active,103
オリヴィア・デ・ハヴィランド,女優,ハリウッド,REAL,風と共に去りぬ出演。アカデミー賞受賞。,1916,2020,A,entertainment,https://ja.wikipedia.org/wiki/オリヴィア・デ・ハヴィランド,active,104
シドニー・ポワチエ,俳優,ハリウッド,REAL,黒人初のアカデミー主演男優賞。,1927,2022,A,entertainment,https://ja.wikipedia.org/wiki/シドニー・ポワチエ,active,94
クリント・イーストウッド,俳優,監督,REAL,俳優・映画監督。許されざる者など。,1930,,A,entertainment,https://ja.wikipedia.org/wiki/クリント・イーストウッド,active,94
メル・ブルックス,監督,コメディ,REAL,コメディ映画監督。プロデューサーズ。,1926,,A,entertainment,https://ja.wikipedia.org/wiki/メル・ブルックス,active,98
ディック・ヴァン・ダイク,俳優,コメディ,REAL,メリー・ポピンズ出演。コメディアン。,1925,,A,entertainment,https://ja.wikipedia.org/wiki/ディック・ヴァン・ダイク,active,99
ベティ・ホワイト,女優,コメディ,REAL,ゴールデンガールズ出演。最長寿タレント。,1922,2021,A,entertainment,https://ja.wikipedia.org/wiki/ベティ・ホワイト,active,99
アンジェラ・ランズベリー,女優,舞台,REAL,ジェシカおばさんの事件簿主演。,1925,2022,A,entertainment,https://ja.wikipedia.org/wiki/アンジェラ・ランズベリー,active,96
トニー・ベネット,歌手,ジャズ,REAL,ジャズ・ポップス歌手。グラミー賞19回。,1926,2023,A,music,https://ja.wikipedia.org/wiki/トニー・ベネット,active,96
ウィリー・ネルソン,歌手,カントリー,REAL,カントリー・ミュージック歌手。,1933,,A,music,https://ja.wikipedia.org/wiki/ウィリー・ネルソン,active,91
ポール・マッカートニー,音楽,ビートルズ,REAL,ビートルズのメンバー。ソロでも活躍。,1942,,A,music,https://ja.wikipedia.org/wiki/ポール・マッカートニー,active,82
リンゴ・スター,音楽,ビートルズ,REAL,ビートルズのドラマー。,1940,,A,music,https://ja.wikipedia.org/wiki/リンゴ・スター,active,84
ボブ・ディラン,音楽,フォーク,REAL,シンガーソングライター。ノーベル文学賞。,1941,,A,music,https://ja.wikipedia.org/wiki/ボブ・ディラン,active,83
