person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
ガンダルフ,指輪物語,ファンタジー,FICTIONAL,中つ国の魔法使い。灰色のガンダルフとして知られる。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ガンダルフ,active,95
ダンブルドア,ハリー・ポッター,ファンタジー,FICTIONAL,ホグワーツ魔法魔術学校の校長。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/アルバス・ダンブルドア,active,115
ヨーダ,スター・ウォーズ,SF,FICTIONAL,ジェダイ・マスター。900歳を超える。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ヨーダ,active,900
亀仙人,ドラゴンボール,少年漫画,FICTIONAL,武天老師。300歳を超える武術の達人。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/亀仙人,active,300
荒木飛呂彦,ジョジョの奇妙な冒険,漫画家,REAL,漫画家。ジョジョの奇妙な冒険の作者。,1960,,A,real_persons,https://ja.wikipedia.org/wiki/荒木飛呂彦,active,
日野原重明,医学,医師,REAL,医師。105歳まで現役で活動。,1911,2017,A,real_persons,https://ja.wikipedia.org/wiki/日野原重明,active,
きんさんぎんさん,双子,長寿者,REAL,100歳を超えた双子姉妹。,1892,2000,B,real_persons,https://ja.wikipedia.org/wiki/きんさんぎんさん,active,
ジャンヌ・カルマン,長寿,世界記録,REAL,世界最長寿記録保持者。122歳。,1875,1997,A,real_persons,https://ja.wikipedia.org/wiki/ジャンヌ・カルマン,active,
泉重千代,長寿,長寿者,REAL,当時世界最長寿とされた日本人男性。,1865,1986,B,real_persons,https://ja.wikipedia.org/wiki/泉重千代,active,
ジョージ・バーンズ,コメディアン,俳優,REAL,アメリカのコメディアン。100歳まで活動。,1896,1996,B,real_persons,https://ja.wikipedia.org/wiki/ジョージ・バーンズ,active,
ボブ・ホープ,コメディアン,俳優,REAL,アメリカのコメディアン。100歳で死去。,1903,2003,A,real_persons,https://ja.wikipedia.org/wiki/ボブ・ホープ,active,
カーク・ダグラス,俳優,映画,REAL,アメリカの俳優。103歳で死去。,1916,2020,A,real_persons,https://ja.wikipedia.org/wiki/カーク・ダグラス,active,
オリヴィア・デ・ハヴィランド,女優,映画,REAL,アメリカの女優。104歳で死去。,1916,2020,A,real_persons,https://ja.wikipedia.org/wiki/オリヴィア・デ・ハヴィランド,active,
周有光,言語学者,学者,REAL,中国の言語学者。111歳で死去。,1906,2017,B,real_persons,https://ja.wikipedia.org/wiki/周有光,active,
エマニュエル・リヴァ,女優,映画,REAL,フランスの女優。89歳で死去。,1927,2017,B,real_persons,https://ja.wikipedia.org/wiki/エマニュエル・リヴァ,active,
湯婆婆,千と千尋の神隠し,ジブリ,FICTIONAL,油屋の経営者。魔法使いの老婆。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/千と千尋の神隠し,active,98
銭婆婆,千と千尋の神隠し,ジブリ,FICTIONAL,湯婆婆の双子の姉。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/千と千尋の神隠し,active,98
ソフィー・ハッター,ハウルの動く城,ジブリ,FICTIONAL,魔女に老婆にされた少女。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ハウルの動く城,active,90
荒地の魔女,ハウルの動く城,ジブリ,FICTIONAL,ハウルを追う魔女。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/ハウルの動く城,active,95
ドーラ,天空の城ラピュタ,ジブリ,FICTIONAL,空賊の女頭目。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/天空の城ラピュタ,active,60
老ソフィー,ハウルの動く城,ジブリ,FICTIONAL,魔法で老婆の姿になったソフィー。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ハウルの動く城,active,90
メルキオール,クロノ・トリガー,ゲーム,FICTIONAL,時の賢者の一人。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/クロノ・トリガー,active,92
ガスパール,クロノ・トリガー,ゲーム,FICTIONAL,時の賢者の一人。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/クロノ・トリガー,active,93
バルサザール,クロノ・トリガー,ゲーム,FICTIONAL,時の賢者の一人。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/クロノ・トリガー,active,94
テルー,ゲド戦記,ジブリ,FICTIONAL,ゲド戦記の少女。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/ゲド戦記,active,17
シータ,天空の城ラピュタ,ジブリ,FICTIONAL,ラピュタの王位継承者。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/天空の城ラピュタ,active,13
パズー,天空の城ラピュタ,ジブリ,FICTIONAL,シータを助ける少年。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/天空の城ラピュタ,active,13
サツキ,となりのトトロ,ジブリ,FICTIONAL,メイの姉。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/となりのトトロ,active,12
メイ,となりのトトロ,ジブリ,FICTIONAL,サツキの妹。トトロと出会う。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/となりのトトロ,active,4
キキ,魔女の宅急便,ジブリ,FICTIONAL,魔女の少女。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/魔女の宅急便,active,13
