person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
モンキー・D・ルフィ,ONE PIECE,少年漫画,FICTIONAL,海賊王を目指す少年。麦わらの一味船長。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ONE_PIECE,active,17
ロロノア・ゾロ,ONE PIECE,少年漫画,FICTIONAL,三刀流の剣士。麦わらの一味戦闘員。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ONE_PIECE,active,19
ナミ,ONE PIECE,少年漫画,FICTIONAL,航海士。麦わらの一味。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ONE_PIECE,active,18
ウソップ,ONE PIECE,少年漫画,FICTIONAL,狙撃手。麦わらの一味。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ONE_PIECE,active,17
サンジ,ONE PIECE,少年漫画,FICTIONAL,コック。麦わらの一味。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ONE_PIECE,active,19
トニートニー・チョッパー,ONE PIECE,少年漫画,FICTIONAL,船医。人間の能力を得たトナカイ。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ONE_PIECE,active,15
ニコ・ロビン,ONE PIECE,少年漫画,FICTIONAL,考古学者。麦わらの一味。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ONE_PIECE,active,28
フランキー,ONE PIECE,少年漫画,FICTIONAL,船大工。麦わらの一味。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ONE_PIECE,active,34
ブルック,ONE PIECE,少年漫画,FICTIONAL,音楽家。骸骨の姿。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ONE_PIECE,active,88
トラファルガー・ロー,ONE PIECE,少年漫画,FICTIONAL,ハートの海賊団船長。外科医。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ONE_PIECE,active,26
うずまきナルト,NARUTO,少年漫画,FICTIONAL,木ノ葉隠れの里の忍者。火影を目指す。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/NARUTO,active,12
うちはサスケ,NARUTO,少年漫画,FICTIONAL,うちは一族の末裔。ナルトのライバル。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/NARUTO,active,12
春野サクラ,NARUTO,少年漫画,FICTIONAL,医療忍術を習得した女性忍者。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/NARUTO,active,12
はたけカカシ,NARUTO,少年漫画,FICTIONAL,第七班の指導教官。写輪眼の使い手。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/NARUTO,active,26
日向ヒナタ,NARUTO,少年漫画,FICTIONAL,白眼を持つ日向一族の忍者。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/NARUTO,active,12
