person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
ハチ公,歴史上の動物,犬,ANIMAL,渋谷駅で主人を待ち続けた忠犬。,1923,1935,A,historical_animals,https://ja.wikipedia.org/wiki/忠犬ハチ公,active,8
タロ,歴史上の動物,犬,ANIMAL,南極観測隊の樺太犬。1年間南極で生き抜いた。,1955,1970,A,historical_animals,https://ja.wikipedia.org/wiki/タロとジロ,active,3
ジロ,歴史上の動物,犬,ANIMAL,南極観測隊の樺太犬。兄タロと共に生還。,1955,1960,A,historical_animals,https://ja.wikipedia.org/wiki/タロとジロ,active,3
バロン西,歴史上の動物,馬,ANIMAL,西竹一の愛馬。ロサンゼルス五輪金メダル。,1920,1932,A,historical_animals,https://ja.wikipedia.org/wiki/ウラヌス_(競走馬),active,12
風雲,歴史上の動物,犬,ANIMAL,陸軍軍用犬。戦地で活躍した名犬。,1931,1944,B,historical_animals,https://ja.wikipedia.org/wiki/軍用犬,active,5
シロ,歴史上の動物,猫,ANIMAL,夏目漱石の愛猫。「吾輩は猫である」のモデル。,1904,1908,A,historical_animals,https://ja.wikipedia.org/wiki/吾輩は猫である,active,2
アレクサンドル,歴史上の動物,馬,ANIMAL,ナポレオンの愛馬。数々の戦場を共に駆けた。,1793,1826,A,historical_animals,https://ja.wikipedia.org/wiki/ナポレオン・ボナパルト,active,15
ブケファロス,歴史上の動物,馬,FICTIONAL,アレクサンドロス大王の愛馬。東方遠征を共にした。,,,A,historical_animals,https://ja.wikipedia.org/wiki/ブケファロス,active,20
コンスウェロ,歴史上の動物,犬,ANIMAL,南方熊楠の愛犬。研究生活の伴侶。,1896,1910,B,historical_animals,https://ja.wikipedia.org/wiki/南方熊楠,active,5
ライカ,歴史上の動物,犬,ANIMAL,世界初の宇宙に行った犬。スプートニク2号。,1954,1957,A,historical_animals,https://ja.wikipedia.org/wiki/ライカ_(犬),active,3
バルト,歴史上の動物,犬,ANIMAL,血清輸送で子供たちを救った英雄犬。,1919,1933,A,historical_animals,https://ja.wikipedia.org/wiki/バルト_(犬),active,6
ラッシー,歴史上の動物,犬,FICTIONAL,勇敢で賢いコリー犬。映画・テレビの主役。,,,A,historical_animals,https://ja.wikipedia.org/wiki/名犬ラッシー,active,5
リンリン,歴史上の動物,パンダ,ANIMAL,上野動物園の人気者。日中友好の象徴。,1985,2008,A,historical_animals,https://ja.wikipedia.org/wiki/リンリン_(ジャイアントパンダ),active,10
チンパンジーのハム,歴史上の動物,チンパンジー,ANIMAL,アメリカ初の宇宙飛行士チンパンジー。,1957,1983,A,historical_animals,https://ja.wikipedia.org/wiki/ハム_(チンパンジー),active,4
マナティ,歴史上の動物,馬,ANIMAL,昭和天皇の愛馬。競走馬として活躍。,1942,1962,B,historical_animals,https://ja.wikipedia.org/wiki/競走馬,active,8
