person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
桃太郎,日本の伝説,昔話,FICTIONAL,鬼退治に向かった勇敢な少年。犬・猿・雉を従える。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/桃太郎,active,15
浦島太郎,日本の伝説,昔話,FICTIONAL,竜宮城を訪れた漁師。玉手箱を開けて老人に。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/浦島太郎,active,25
かぐや姫,日本の伝説,昔話,FICTIONAL,竹から生まれた美しい姫。月に帰る。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/竹取物語,active,18
金太郎,日本の伝説,昔話,FICTIONAL,熊と相撲をとる怪力少年。後の坂田金時。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/金太郎,active,10
一寸法師,日本の伝説,昔話,FICTIONAL,指ほどの大きさの少年。打ち出の小槌で大きくなる。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/一寸法師,active,15
かちかち山の狸,日本の伝説,昔話,FICTIONAL,悪戯好きな狸。兎に懲らしめられる。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/かちかち山,active,30
因幡の白兎,日本の伝説,神話,FICTIONAL,鰐を騙して海を渡った兎。大国主命に助けられる。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/因幡の白兎,active,5
天照大神,日本の伝説,神話,FICTIONAL,太陽の女神。天岩戸に隠れた最高神。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/天照大神,active,3000
スサノオ,日本の伝説,神話,FICTIONAL,荒ぶる神。八岐大蛇を退治した英雄。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/スサノオ,active,2500
ヤマトタケル,日本の伝説,神話,FICTIONAL,日本古代の伝説的英雄。各地を征伐。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ヤマトタケル,active,30
弁慶,日本の伝説,歴史伝説,FICTIONAL,源義経の忠臣。千本の刀を集めた僧兵。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/武蔵坊弁慶,active,35
安倍晴明,日本の伝説,歴史伝説,FICTIONAL,平安時代の陰陽師。式神を操る。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/安倍晴明,active,40
瓜子姫,日本の伝説,昔話,FICTIONAL,瓜から生まれた美しい姫。天邪鬼に襲われる。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/瓜子姫,active,16
鶴の恩返しの鶴,日本の伝説,昔話,FICTIONAL,恩返しに美しい布を織る鶴。正体を見られて去る。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/鶴の恩返し,active,20
花咲か爺さん,日本の伝説,昔話,FICTIONAL,枯れ木に花を咲かせる優しい老人。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/花咲爺,active,70
舌切り雀の雀,日本の伝説,昔話,FICTIONAL,恩返しに宝物をくれる雀。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/舌切り雀,active,3
かぐや姫の翁,日本の伝説,昔話,FICTIONAL,竹取の翁。かぐや姫を育てた老人。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/竹取物語,active,65
八岐大蛇,日本の伝説,神話,FICTIONAL,八つの頭を持つ大蛇。スサノオに退治される。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ヤマタノオロチ,active,1000
大国主命,日本の伝説,神話,FICTIONAL,出雲の国を作った神。因幡の白兎を救う。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/大国主,active,2000
ももんじい,日本の伝説,昔話,FICTIONAL,桃太郎を育てた老夫婦。川で桃を拾う。,,,B,fictional_characters,https://ja.wikipedia.org/wiki/桃太郎,active,70
