person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status
ナリタブライアン,競走馬,クラシック三冠,REAL,1990年代最強馬・無敗の三冠馬,1991,1998,S+,manual_list,,active
オグリキャップ,競走馬,地方競馬出身,REAL,芦毛の怪物・第二次競馬ブーム,1985,2010,S+,manual_list,,active
ディープインパクト,競走馬,三冠馬,REAL,2000年代最強馬・凱旋門賞出走,2002,2019,S+,manual_list,,active
桜井和寿,音楽,J-POP,REAL,Mr.Childrenボーカル・シンガーソングライター,1970,,S,manual_list,,active
草野マサムネ,音楽,J-POP,REAL,スピッツボーカル・シンガーソングライター,1967,,S,manual_list,,active
YOASOBI,音楽,J-POP,REAL,小説を音楽化するユニット,,,S,manual_list,,active
Ayase,音楽,J-POP,REAL,YOASOBI・作曲家・ボカロP,1994,,A,manual_list,,active
幾田りら,音楽,J-POP,REAL,YOASOBI・シンガーソングライター,2000,,A,manual_list,,active
米津玄師,音楽,J-POP,REAL,シンガーソングライター・元ボカロP,1991,,S+,manual_list,,active
あいみょん,音楽,J-POP,REAL,シンガーソングライター・マリーゴールド,1995,,S,manual_list,,active
