person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status
ハチ公,動物,犬,REAL,忠犬として知られる秋田犬・主人の帰りを渋谷駅で待ち続けた,1923.0,1935.0,S+,named_animals,https://ja.wikipedia.org/wiki/ハチ公,active
タマ,動物,猫,REAL,和歌山電鐵貴志駅の駅長猫・観光客誘致に貢献,1999.0,2015.0,S,named_animals,https://ja.wikipedia.org/wiki/たま_(猫の駅長),active
タロ,動物,犬,REAL,南極物語の樺太犬・兄弟で越冬を生き抜いた,1955.0,1970.0,A,named_animals,https://ja.wikipedia.org/wiki/樺太犬,active
ジロ,動物,犬,REAL,南極物語の樺太犬・兄弟で越冬を生き抜いた,1955.0,1960.0,A,named_animals,https://ja.wikipedia.org/wiki/樺太犬,active
リンリン,動物,パンダ,REAL,上野動物園のジャイアントパンダ・日中友好の象徴,1985.0,2008.0,S,named_animals,https://ja.wikipedia.org/wiki/リンリン_(パンダ),active
シンシン,動物,パンダ,REAL,上野動物園のジャイアントパンダ・シャンシャンの母,2005.0,,S,named_animals,https://ja.wikipedia.org/wiki/シンシン_(パンダ),active
シャンシャン,動物,パンダ,REAL,上野動物園で生まれたジャイアントパンダ・日本中で人気,2017.0,,A,named_animals,https://ja.wikipedia.org/wiki/シャンシャン_(パンダ),active
スヌーピー,架空の存在,漫画動物キャラ,FICTIONAL,世界的人気キャラクター・ビーグル犬・チャーリーブラウンの相棒,,,S+,named_animals,https://ja.wikipedia.org/wiki/スヌーピー,active
トトロ,架空の存在,アニメ動物キャラ,FICTIONAL,となりのトトロの森の主・スタジオジブリの象徴的キャラクター,,,S+,named_animals,https://ja.wikipedia.org/wiki/となりのトトロ,active
ジジ,架空の存在,アニメ動物キャラ,FICTIONAL,魔女の宅急便の黒猫・キキの相棒,,,A,named_animals,https://ja.wikipedia.org/wiki/魔女の宅急便,active
ミッキーマウス,架空の存在,アニメ動物キャラ,FICTIONAL,ディズニーの象徴的キャラクター・世界で最も有名なネズミ,,,S+,named_animals,https://ja.wikipedia.org/wiki/ミッキーマウス,active
くまのプーさん,架空の存在,文学動物キャラ,FICTIONAL,A.A.ミルンの児童文学作品・世界中で愛されるクマ,,,S+,named_animals,https://ja.wikipedia.org/wiki/くまのプーさん,active
