person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status
広岡浅子,ビジネス,女性実業家,REAL,朝ドラ「あさが来た」モデル・女子教育の先駆者,1849,1919,A,nhk_asadora,,active
安藤百福,ビジネス,食品産業,REAL,朝ドラ「まんぷく」モデル・日清食品創業者・インスタントラーメン発明,1910,2007,S,nhk_asadora,,active
古関裕而,音楽,昭和歌謡,REAL,朝ドラ「エール」モデル・国民的作曲家・六甲おろし,1909,1989,S,nhk_asadora,,active
牧野富太郎,科学・技術,植物分類学,REAL,朝ドラ「らんまん」モデル・日本植物学の父,1862,1957,A,nhk_asadora,,active
笠置シヅ子,音楽,ジャズ歌手,REAL,朝ドラ「ブギウギ」モデル・東京ブギウギ・ブギの女王,1914,1985,A,nhk_asadora,,active
三淵嘉子,政治・社会,女性法曹,REAL,朝ドラ「虎に翼」モデル・日本初の女性弁護士・裁判官,1914,1984,B,nhk_asadora,,active
武良布枝,その他,エッセイスト,REAL,朝ドラ「ゲゲゲの女房」モデル・水木しげるの妻,1932,2024,B,nhk_asadora,,active
村岡花子,文学,児童文学翻訳,REAL,朝ドラ「花子とアン」モデル・赤毛のアン翻訳者,1893,1968,A,nhk_asadora,,active
竹鶴政孝,ビジネス,ウイスキー製造,REAL,朝ドラ「マッサン」モデル・ニッカウヰスキー創業者,1894,1979,A,nhk_asadora,,active
竹鶴リタ,その他,国際結婚,REAL,朝ドラ「マッサン」モデル・竹鶴政孝の妻・スコットランド出身,1896,1961,B,nhk_asadora,,active
大橋鎭子,ビジネス,生活雑誌編集,REAL,朝ドラ「とと姉ちゃん」モデル・暮しの手帖創刊者,1920,2013,A,nhk_asadora,,active
吉本せい,ビジネス,興行,REAL,朝ドラ「わろてんか」モデル・吉本興業創業者,1889,1950,A,nhk_asadora,,active
神山清子,芸術・文化,陶芸,REAL,朝ドラ「スカーレット」モデル・信楽焼女性陶芸家,1936,,B,nhk_asadora,,active
田辺聖子,文学,小説家,REAL,朝ドラ「芋たこなんきん」モデル・直木賞作家,1928,2019,A,nhk_asadora,,active
磯村春子,政治・社会,女性ジャーナリスト,REAL,朝ドラ「はね駒」モデル・明治時代の女性記者,1877,1918,B,nhk_asadora,,active
水木しげる,アニメ・漫画・ゲーム,妖怪漫画,REAL,朝ドラ「ゲゲゲの女房」関連・ゲゲゲの鬼太郎作者,1922,2015,S+,nhk_asadora,,active
安藤仁子,その他,実業家の妻,REAL,朝ドラ「まんぷく」関連・安藤百福の妻,1917,2016,B,nhk_asadora,,active
古関金子,その他,作曲家の妻,REAL,朝ドラ「エール」関連・古関裕而の妻,1912,1980,B,nhk_asadora,,active
小篠綾子,建築・デザイン,ファッションデザイナー,REAL,朝ドラ「カーネーション」モデル・コシノ3姉妹の母,1913,2006,A,nhk_asadora,,active
