person_name,drama_title,role_description,birth_year,death_year,category,tier,source_url
広岡浅子,あさが来た,女性実業家・女子教育の先駆者,1849,1919,ビジネス,A,https://www2.nhk.or.jp/archives/asadora/
安藤百福,まんぷく,日清食品創業者・インスタントラーメン発明,1910,2007,ビジネス,S,https://www2.nhk.or.jp/archives/asadora/
古関裕而,エール,国民的作曲家・六甲おろし,1909,1989,音楽,S,https://www2.nhk.or.jp/archives/asadora/
牧野富太郎,らんまん,日本植物学の父,1862,1957,科学・技術,A,https://www2.nhk.or.jp/archives/asadora/
笠置シヅ子,ブギウギ,東京ブギウギ・ブギの女王,1914,1985,音楽,A,https://www2.nhk.or.jp/archives/asadora/
三淵嘉子,虎に翼,日本初の女性弁護士・裁判官,1914,1984,政治・社会,B,https://www2.nhk.or.jp/archives/asadora/
武良布枝,ゲゲゲの女房,水木しげるの妻・エッセイスト,1932,2024,その他,B,https://www2.nhk.or.jp/archives/asadora/
村岡花子,花子とアン,赤毛のアン翻訳者,1893,1968,文学,A,https://www2.nhk.or.jp/archives/asadora/
竹鶴政孝,マッサン,ニッカウヰスキー創業者,1894,1979,ビジネス,A,https://www2.nhk.or.jp/archives/asadora/
竹鶴リタ,マッサン,竹鶴政孝の妻・スコットランド出身,1896,1961,その他,B,https://www2.nhk.or.jp/archives/asadora/
大橋鎭子,とと姉ちゃん,暮しの手帖創刊者,1920,2013,ビジネス,A,https://www2.nhk.or.jp/archives/asadora/
吉本せい,わろてんか,吉本興業創業者,1889,1950,ビジネス,A,https://www2.nhk.or.jp/archives/asadora/
神山清子,スカーレット,信楽焼女性陶芸家,1936,,芸術・文化,B,https://www2.nhk.or.jp/archives/asadora/
田辺聖子,芋たこなんきん,直木賞作家,1928,2019,文学,A,https://www2.nhk.or.jp/archives/asadora/
磯村春子,はね駒,明治時代の女性記者,1877,1918,政治・社会,B,https://www2.nhk.or.jp/archives/asadora/
小篠綾子,カーネーション,コシノ3姉妹の母・ファッションデザイナー,1913,2006,建築・デザイン,A,https://www2.nhk.or.jp/archives/asadora/
