person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
ピーター・パーカー,マーベル,映画・コミック,FICTIONAL,高校生から蜘蛛の力を持つヒーローへ。スパイダーマン。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/スパイダーマン,active,17
ソー,マーベル,映画,FICTIONAL,アスガルドの雷神。アベンジャーズメンバー。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ソー_(マーベル・コミック),active,1500
ナターシャ・ロマノフ,マーベル,映画,FICTIONAL,元KGBスパイ。ブラック・ウィドウ。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ブラック・ウィドウ_(マーベル・コミック),active,32
ダエネリス・タルガリエン,Game of Thrones,ドラマ,FICTIONAL,ドラゴンの母。鉄の玉座を目指す女王。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ゲーム・オブ・スローンズ,active,22
シャーロック・ホームズ,シャーロック,小説・ドラマ,FICTIONAL,天才的な観察力を持つ私立探偵。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/シャーロック・ホームズ,active,35
ワトソン,シャーロック,小説・ドラマ,FICTIONAL,ホームズの相棒。医師。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ジョン・H・ワトソン,active,38
ジャスミン,アラジン,アニメ,FICTIONAL,アグラバー王国の王女。自由を求める。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/アラジン_(1992年の映画),active,16
ムーラン,ムーラン,アニメ,FICTIONAL,父の代わりに男装して従軍。中国の英雄。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ムーラン,active,16
ラプンツェル,塔の上のラプンツェル,アニメ,FICTIONAL,長い魔法の髪を持つ王女。塔に閉じ込められていた。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/塔の上のラプンツェル,active,18
メリダ,メリダとおそろしの森,アニメ,FICTIONAL,スコットランドの王女。弓の名手。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/メリダとおそろしの森,active,16
ティンカー・ベル,ピーター・パン,アニメ,FICTIONAL,妖精。ピーター・パンの相棒。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ティンカー・ベル,active,20
バズ・ライトイヤー,トイ・ストーリー,アニメ,FICTIONAL,スペースレンジャーのおもちゃ。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/トイ・ストーリー,active,30
ウッディ,トイ・ストーリー,アニメ,FICTIONAL,カウボーイ人形。アンディのお気に入り。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/トイ・ストーリー,active,30
ニモ,ファインディング・ニモ,アニメ,FICTIONAL,カクレクマノミ。父マーリンと離れ離れになるが再会を果たす。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ファインディング・ニモ,active,6
ドリー,ファインディング・ニモ,アニメ,FICTIONAL,ナンヨウハギ。短期記憶障害を持つが明るく前向き。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ファインディング・ニモ,active,8
サリー,モンスターズ・インク,アニメ,FICTIONAL,毛むくじゃらの大きな青いモンスター。会社のトップスケアラー。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/モンスターズ・インク,active,30
マイク,モンスターズ・インク,アニメ,FICTIONAL,一つ目の小さなモンスター。サリーの親友。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/モンスターズ・インク,active,28
マーリン,ファインディング・ニモ,アニメ,FICTIONAL,カクレクマノミ。息子ニモを探す旅に出る。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ファインディング・ニモ,active,35
イーヨー,くまのプーさん,アニメ,FICTIONAL,悲観的なロバ。プーさんの友達。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/くまのプーさん,active,25
ティガー,くまのプーさん,アニメ,FICTIONAL,元気なトラ。跳ねることが大好き。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/くまのプーさん,active,20
ピグレット,くまのプーさん,アニメ,FICTIONAL,小さくて臆病なブタ。プーさんの親友。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/くまのプーさん,active,18
リロ,リロ&スティッチ,アニメ,FICTIONAL,ハワイの少女。スティッチを家族として迎える。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/リロ&スティッチ,active,6
スティッチ,リロ&スティッチ,アニメ,FICTIONAL,遺伝子実験で生まれた青いエイリアン。リロの家族となる。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/リロ&スティッチ,active,5
バンビ,バンビ,アニメ,FICTIONAL,森の王子。母を失うも強く成長する子鹿。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/バンビ,active,3
ダンボ,ダンボ,アニメ,FICTIONAL,大きな耳を持つ象。空を飛ぶことができる。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/ダンボ,active,2
レックス,トイ・ストーリー,アニメ,FICTIONAL,臆病なティラノサウルスのおもちゃ。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/トイ・ストーリー,active,30
ハム,トイ・ストーリー,アニメ,FICTIONAL,ブタの貯金箱のおもちゃ。皮肉屋。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/トイ・ストーリー,active,30
ジェシー,トイ・ストーリー,アニメ,FICTIONAL,カウガール人形。元気で明るい性格。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/トイ・ストーリー,active,25
アーロ,アーロと少年,アニメ,FICTIONAL,臆病な恐竜。人間の少年と友情を築く。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/アーロと少年,active,5
カールじいさん,カールじいさんの空飛ぶ家,アニメ,FICTIONAL,亡き妻との約束を果たすため家ごと冒険に出る老人。,,,A,fictional_characters,https://ja.wikipedia.org/wiki/カールじいさんの空飛ぶ家,active,78
