person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status
ナリタブライアン,競走馬,クラシック三冠,REAL,1990年代最強馬・無敗の三冠馬,1991,1998,S+,racehorses,,active
オグリキャップ,競走馬,地方競馬出身,REAL,芦毛の怪物・第二次競馬ブーム,1985,2010,S+,racehorses,,active
ディープインパクト,競走馬,クラシック三冠,REAL,2000年代最強馬・凱旋門賞出走,2002,2019,S+,racehorses,,active
シンボリルドルフ,競走馬,クラシック三冠,REAL,無敗の三冠馬・ジャパンカップ優勝,1981,2011,S+,racehorses,,active
ミスターシービー,競走馬,クラシック三冠,REAL,戦後初の三冠馬・父子三冠,1980,2000,S,racehorses,,active
トウカイテイオー,競走馬,皇帝,REAL,奇跡の復活劇・有馬記念,1988,2012,S+,racehorses,,active
メジロマックイーン,競走馬,天皇賞春連覇,REAL,天皇賞春3連覇・ステイヤー,1987,2006,S,racehorses,,active
ライスシャワー,競走馬,春の淀の刺客,REAL,ミホノブルボン・メジロマックイーン撃破,1989,1995,A,racehorses,,active
サイレンススズカ,競走馬,天才逃げ馬,REAL,逃げ切り戦法・天皇賞秋,1994,1998,S+,racehorses,,active
テンポイント,競走馬,TTG時代,REAL,トウショウボーイ・グリーングラスとの名勝負,1973,1978,S,racehorses,,active
トウショウボーイ,競走馬,TTG時代,REAL,天皇賞・有馬記念優勝,1973,2000,S,racehorses,,active
グリーングラス,競走馬,TTG時代,REAL,菊花賞優勝・TTG三強,1973,1985,A,racehorses,,active
サクラローレル,競走馬,有馬記念,REAL,有馬記念優勝・天皇賞秋,1991,2007,A,racehorses,,active
タイキシャトル,競走馬,短距離王,REAL,マイルCS・安田記念優勝,1994,2022,S,racehorses,,active
エルコンドルパサー,競走馬,海外挑戦,REAL,凱旋門賞2着・ジャパンカップ優勝,1995,2002,S,racehorses,,active
グラスワンダー,競走馬,有馬記念,REAL,有馬記念・朝日杯優勝,1995,2022,S,racehorses,,active
スペシャルウィーク,競走馬,ダービー馬,REAL,日本ダービー・ジャパンカップ優勝,1995,2018,S,racehorses,,active
テイエムオペラオー,競走馬,古馬GI7勝,REAL,古馬GI7勝・年度代表馬,1996,2018,S+,racehorses,,active
キングカメハメハ,競走馬,種牡馬,REAL,日本ダービー優勝・名種牡馬,2001,2019,S,racehorses,,active
ゼンノロブロイ,競走馬,有馬記念,REAL,有馬記念・ジャパンカップ優勝,2000,2017,A,racehorses,,active
ダイワスカーレット,競走馬,牝馬,REAL,秋華賞・有馬記念・牝馬三冠級,2004,2023,S,racehorses,,active
ウオッカ,競走馬,牝馬,REAL,日本ダービー優勝牝馬・天皇賞秋,2004,2019,S+,racehorses,,active
ブエナビスタ,競走馬,牝馬三冠,REAL,牝馬三冠・ジャパンカップ優勝,2006,2020,S,racehorses,,active
オルフェーヴル,競走馬,クラシック三冠,REAL,三冠馬・凱旋門賞2着,2008,2020,S+,racehorses,,active
ジェンティルドンナ,競走馬,牝馬三冠,REAL,牝馬三冠・ジャパンカップ連覇,2009,,S+,racehorses,,active
ゴールドシップ,競走馬,個性派,REAL,天皇賞春・宝塚記念優勝,2009,,S,racehorses,,active
キタサンブラック,競走馬,年度代表馬,REAL,有馬記念連覇・天皇賞春連覇,2012,,S+,racehorses,,active
アーモンドアイ,競走馬,牝馬三冠,REAL,牝馬三冠・ジャパンカップ・ドバイターフ優勝,2015,,S+,racehorses,,active
コントレイル,競走馬,クラシック三冠,REAL,無敗の三冠馬・ジャパンカップ優勝,2017,,S+,racehorses,,active
アパパネ,競走馬,牝馬三冠,REAL,牝馬三冠達成,2007,2022,A,racehorses,,active
メイショウドトウ,競走馬,天皇賞,REAL,天皇賞春連覇・宝塚記念優勝,1996,2015,A,racehorses,,active
スティルインラブ,競走馬,牝馬,REAL,ヴィクトリアマイル・エリザベス女王杯優勝,2017,,A,racehorses,,active
クロノジェネシス,競走馬,牝馬,REAL,宝塚記念・有馬記念優勝,2016,,S,racehorses,,active
コントレイル,競走馬,クラシック三冠,REAL,無敗の三冠馬・ジャパンカップ優勝,2017,,S+,racehorses,,active
エフフォーリア,競走馬,ダービー馬,REAL,日本ダービー・天皇賞秋優勝,2018,,S,racehorses,,active
イクイノックス,競走馬,年度代表馬,REAL,天皇賞秋・ジャパンカップ・有馬記念優勝,2019,,S+,racehorses,,active
タイトルホルダー,競走馬,ステイヤー,REAL,菊花賞・天皇賞春優勝,2019,,A,racehorses,,active
ソダシ,競走馬,白毛,REAL,桜花賞優勝・史上初の白毛GI馬,2018,,A,racehorses,,active
デアリングタクト,競走馬,牝馬三冠,REAL,無敗の牝馬三冠,2017,,S,racehorses,,active
ラヴズオンリーユー,競走馬,牝馬,REAL,有馬記念優勝,2018,,A,racehorses,,active
ハイセイコー,競走馬,地方競馬出身,REAL,第一次競馬ブーム・国民的人気馬,1970,2000,S+,racehorses,,active
マルゼンスキー,競走馬,最強外国産馬,REAL,朝日杯・阪神3歳S優勝・無敗,1974,1997,S,racehorses,,active
シンザン,競走馬,クラシック三冠,REAL,戦後初の三冠馬・五冠馬,1961,1996,S+,racehorses,,active
メジロラモーヌ,競走馬,天皇賞,REAL,天皇賞優勝・桜花賞,1975,1992,B,racehorses,,active
ニッポーテイオー,競走馬,天皇賞,REAL,天皇賞春優勝,1972,1997,B,racehorses,,active
ビワハヤヒデ,競走馬,ダービー馬,REAL,日本ダービー・天皇賞春優勝,1990,2005,A,racehorses,,active
ナリタタイシン,競走馬,天皇賞,REAL,天皇賞秋優勝・皐月賞,1987,2011,A,racehorses,,active
ホクトベガ,競走馬,スプリンター,REAL,安田記念・マイルCS優勝,1986,2007,A,racehorses,,active
エアグルーヴ,競走馬,牝馬,REAL,天皇賞秋・オークス優勝,1993,2016,S,racehorses,,active
メジロドーベル,競走馬,天皇賞,REAL,天皇賞春優勝,1984,2011,B,racehorses,,active
カツラギエース,競走馬,天皇賞,REAL,天皇賞春優勝,1981,2003,B,racehorses,,active
