person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
メジロマックイーン,競走馬,名馬,REAL,天皇賞春連覇。ステイヤーの王者。,1987,2006,A,racehorses,https://ja.wikipedia.org/wiki/メジロマックイーン,active,
トウカイテイオー,競走馬,名馬,REAL,奇跡の復活劇。無敗の三冠馬候補。,1988,2018,A,racehorses,https://ja.wikipedia.org/wiki/トウカイテイオー,active,
ライスシャワー,競走馬,名馬,REAL,ミホノブルボンの三冠阻止。悲劇の名馬。,1989,1995,A,racehorses,https://ja.wikipedia.org/wiki/ライスシャワー,active,
ナリタブライアン,競走馬,名馬,REAL,シャドーロールの三冠馬。,1991,2016,A,racehorses,https://ja.wikipedia.org/wiki/ナリタブライアン,active,
サイレンススズカ,競走馬,名馬,REAL,沈黙の日曜日。逃げ馬の伝説。,1994,1998,A,racehorses,https://ja.wikipedia.org/wiki/サイレンススズカ,active,
グラスワンダー,競走馬,名馬,REAL,1998年宝塚記念・有馬記念制覇。,1995,2023,A,racehorses,https://ja.wikipedia.org/wiki/グラスワンダー,active,
スペシャルウィーク,競走馬,名馬,REAL,1998年日本ダービー・天皇賞秋制覇。,1995,2018,A,racehorses,https://ja.wikipedia.org/wiki/スペシャルウィーク,active,
エルコンドルパサー,競走馬,名馬,REAL,凱旋門賞2着。日本競馬の海外挑戦。,1995,2002,A,racehorses,https://ja.wikipedia.org/wiki/エルコンドルパサー,active,
テイエムオペラオー,競走馬,名馬,REAL,GI 7勝。史上最強馬の一頭。,1996,2018,A,racehorses,https://ja.wikipedia.org/wiki/テイエムオペラオー,active,
アグネスデジタル,競走馬,名馬,REAL,香港・ドバイ・日本でGI制覇。,1997,2021,A,racehorses,https://ja.wikipedia.org/wiki/アグネスデジタル,active,
ジャングルポケット,競走馬,名馬,REAL,2001年日本ダービー・ジャパンカップ制覇。,1998,2023,A,racehorses,https://ja.wikipedia.org/wiki/ジャングルポケット,active,
シンボリクリスエス,競走馬,名馬,REAL,無敗の三冠馬。皐月賞・ダービー・菊花賞。,1999,2020,A,racehorses,https://ja.wikipedia.org/wiki/シンボリクリスエス,active,
ゼンノロブロイ,競走馬,名馬,REAL,2004年有馬記念・ジャパンカップ制覇。,2000,2022,A,racehorses,https://ja.wikipedia.org/wiki/ゼンノロブロイ,active,
ディープインパクト,競走馬,名馬,REAL,無敗の三冠馬。凱旋門賞挑戦。,2002,2019,A,racehorses,https://ja.wikipedia.org/wiki/ディープインパクト_(競走馬),active,
ダイワスカーレット,競走馬,名馬,REAL,2007年桜花賞・秋華賞。牝馬の名馬。,2004,2023,A,racehorses,https://ja.wikipedia.org/wiki/ダイワスカーレット,active,
ウオッカ,競走馬,名馬,REAL,2007年日本ダービー牝馬制覇。,2004,2021,A,racehorses,https://ja.wikipedia.org/wiki/ウオッカ_(競走馬),active,
ブエナビスタ,競走馬,名馬,REAL,2009年桜花賞・オークス。牝馬三冠。,2006,2022,A,racehorses,https://ja.wikipedia.org/wiki/ブエナビスタ_(競走馬),active,
オルフェーヴル,競走馬,名馬,REAL,2011年三冠馬。凱旋門賞2年連続2着。,2008,,A,racehorses,https://ja.wikipedia.org/wiki/オルフェーヴル,active,
ジェンティルドンナ,競走馬,名馬,REAL,2012年牝馬三冠。2年連続有馬記念制覇。,2009,,A,racehorses,https://ja.wikipedia.org/wiki/ジェンティルドンナ,active,
キタサンブラック,競走馬,名馬,REAL,2016年・2017年有馬記念連覇。GI 7勝。,2012,2023,A,racehorses,https://ja.wikipedia.org/wiki/キタサンブラック,active,
