person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status
黒柳徹子,エンターテイメント,司会者・タレント,REAL,徹子の部屋で知られる女優・司会者・ユニセフ親善大使,1933,,S+,manual_list,,active
草笛光子,映画・演劇,女優,REAL,日本を代表する名女優・舞台・映画・ドラマで活躍,1933,,S,manual_list,,active
高木ブー,エンターテイメント,コメディアン,REAL,ザ・ドリフターズのメンバー・ウクレレ奏者,1933,,A,manual_list,,active
大村崑,映画・演劇,俳優,REAL,日本映画最高齢主演記録保持者・コメディ俳優,1931,,A,manual_list,,active
岸惠子,映画・演劇,女優,REAL,国際派女優・文筆家・フランス在住で国際的に活躍,1932,,S,manual_list,,active
五木寛之,文学,作家,REAL,青春の門などのベストセラー作家・直木賞受賞,1932,,S,manual_list,,active
美輪明宏,芸術・文化,歌手・俳優,REAL,シャンソン歌手・俳優・演出家・スピリチュアリスト,1935,,S,manual_list,,active
浜村淳,エンターテイメント,ラジオパーソナリティ,REAL,ありがとう浜村淳です50年・関西ラジオの帝王,1935,,A,manual_list,,active
芳村真理,エンターテイメント,司会者,REAL,夜のヒットスタジオ司会者・昭和を代表する司会者,1935,,A,manual_list,,active
佐原健二,映画・演劇,俳優,REAL,ウルトラQ・ウルトラセブン出演・東宝特撮の名優,1932,,A,manual_list,,active
八名信夫,映画・演劇,俳優,REAL,悪役商会創設者・時代劇悪役の名手,1935,,A,manual_list,,active
渡辺美佐子,映画・演劇,女優,REAL,日本を代表する実力派女優・舞台女優,1932,,A,manual_list,,active
クリント・イーストウッド,映画・演劇,映画監督,REAL,ダーティハリー・許されざる者などの名匠,1930,,S+,manual_list,,active
ディック・ヴァン・ダイク,エンターテイメント,俳優・コメディアン,REAL,メリー・ポピンズなどの名優・エミー賞受賞多数,1925,,S,manual_list,,active
キャロル・バーネット,エンターテイメント,コメディアン,REAL,キャロル・バーネット・ショーの名司会者,1933,,S,manual_list,,active
シドニー・ポワチエ,映画・演劇,俳優,REAL,アカデミー主演男優賞初の黒人受賞者,1927,2022,S+,manual_list,,active
ジェーン・グドール,科学・技術,動物学者,REAL,チンパンジー研究の世界的権威・環境活動家,1934,,S,manual_list,,active
デヴィッド・アッテンボロー,学術・研究,自然番組司会者,REAL,BBCの伝説的自然番組プレゼンター,1926,,S+,manual_list,,active
ヘンリー・キッシンジャー,政治・社会,政治家・外交官,REAL,元米国国務長官・ノーベル平和賞受賞,1923,2023,S+,manual_list,,active
ジミー・カーター,政治・社会,政治家,REAL,第39代アメリカ合衆国大統領・ノーベル平和賞,1924,2024,S+,manual_list,,active
トニー・ベネット,音楽,ジャズ歌手,REAL,グラミー賞20回受賞・伝説のジャズ・ポップス歌手,1926,2023,S+,manual_list,,active
ベティ・ホワイト,エンターテイメント,女優,REAL,ゴールデン・ガールズの名優・99歳まで現役,1922,2021,S,manual_list,,active
ノーマン・リア,エンターテイメント,テレビプロデューサー,REAL,オール・イン・ザ・ファミリーなど名作多数,1922,2023,S,manual_list,,active
瀬戸内寂聴,文学,作家・僧侶,REAL,恋愛小説・人生相談で人気の作家・天台宗僧侶,1922,2021,S,manual_list,,active
日野原重明,医学・健康,医師,REAL,聖路加国際病院名誉院長・105歳まで現役医師,1911,2017,S+,manual_list,,active
千玄室,芸術・文化,茶道家,REAL,茶道裏千家前家元・文化勲章受章者,1923,2025,S,manual_list,,active
ウォーレン・バフェット,ビジネス,投資家,REAL,オマハの賢人・世界的投資家・バークシャー会長,1930,,S+,manual_list,,active
ジョージ・ソロス,ビジネス,投資家,REAL,ヘッジファンドの帝王・慈善活動家,1930,,S,manual_list,,active
ルパート・マードック,ビジネス,メディア王,REAL,ニューズ・コーポレーション創業者,1931,,S,manual_list,,active
ミハイル・ゴルバチョフ,政治・社会,政治家,REAL,ソ連最後の最高指導者・ノーベル平和賞,1931,2022,S+,manual_list,,active
草間彌生,芸術・文化,芸術家,REAL,水玉模様で知られる世界的前衛芸術家,1929,,S+,manual_list,,active
大林宣彦,映画・演劇,映画監督,REAL,尾道三部作などで知られる名監督,1938,2020,A,manual_list,,active
伊東四朗,エンターテイメント,俳優・コメディアン,REAL,てなもんや三度笠・伊東家の食卓など,1937,,S,manual_list,,active
仲代達矢,映画・演劇,俳優,REAL,黒澤明作品などで活躍した名優・無名塾主宰,1932,,S+,manual_list,,active
加山雄三,音楽,俳優・歌手,REAL,若大将シリーズ・君といつまでもの名曲,1937,,S,manual_list,,active
森山良子,音楽,歌手,REAL,涙そうそうの母・フォークの女王,1948,,A,manual_list,,active
