person_name,category,sub_category,person_type,description,birth_year,death_year,tier,source_name,source_url,status,preferred_age
錦織圭,スポーツ選手,テニス,REAL,全米オープン準優勝。日本男子テニスの先駆者。,1989,,A,sports_athletes,https://ja.wikipedia.org/wiki/錦織圭,active,
大谷翔平,スポーツ選手,野球,REAL,二刀流。メジャーリーグMVP。,1994,,A,sports_athletes,https://ja.wikipedia.org/wiki/大谷翔平,active,
羽生結弦,スポーツ選手,フィギュアスケート,REAL,冬季五輪2連覇。国民栄誉賞。,1994,,A,sports_athletes,https://ja.wikipedia.org/wiki/羽生結弦,active,
浅田真央,スポーツ選手,フィギュアスケート,REAL,バンクーバー五輪銀メダル。トリプルアクセル。,1990,,A,sports_athletes,https://ja.wikipedia.org/wiki/浅田真央,active,
内村航平,スポーツ選手,体操,REAL,リオ五輪個人総合2連覇。体操王国日本。,1989,,A,sports_athletes,https://ja.wikipedia.org/wiki/内村航平,active,
吉田沙保里,スポーツ選手,レスリング,REAL,五輪3連覇。霊長類最強女子。,1982,,A,sports_athletes,https://ja.wikipedia.org/wiki/吉田沙保里,active,
伊調馨,スポーツ選手,レスリング,REAL,五輪4連覇。女子個人種目史上初。,1984,,A,sports_athletes,https://ja.wikipedia.org/wiki/伊調馨,active,
北島康介,スポーツ選手,水泳,REAL,アテネ・北京五輪で平泳ぎ2冠2連覇。,1982,,A,sports_athletes,https://ja.wikipedia.org/wiki/北島康介,active,
高橋尚子,スポーツ選手,マラソン,REAL,シドニー五輪金メダル。国民栄誉賞。,1972,,A,sports_athletes,https://ja.wikipedia.org/wiki/高橋尚子,active,
野口みずき,スポーツ選手,マラソン,REAL,アテネ五輪金メダル。女子マラソンの名手。,1978,,A,sports_athletes,https://ja.wikipedia.org/wiki/野口みずき,active,
室伏広治,スポーツ選手,陸上競技,REAL,アテネ五輪ハンマー投金メダル。,1974,,A,sports_athletes,https://ja.wikipedia.org/wiki/室伏広治,active,
為末大,スポーツ選手,陸上競技,REAL,世界陸上400mハードル銅メダル2回。,1978,,A,sports_athletes,https://ja.wikipedia.org/wiki/為末大,active,
澤穂希,スポーツ選手,サッカー,REAL,なでしこジャパン主将。W杯優勝。,1978,,A,sports_athletes,https://ja.wikipedia.org/wiki/澤穂希,active,
中田英寿,スポーツ選手,サッカー,REAL,セリエA・プレミアリーグで活躍。日本代表。,1977,,A,sports_athletes,https://ja.wikipedia.org/wiki/中田英寿,active,
本田圭佑,スポーツ選手,サッカー,REAL,ACミラン。W杯3大会連続ゴール。,1986,,A,sports_athletes,https://ja.wikipedia.org/wiki/本田圭佑,active,
香川真司,スポーツ選手,サッカー,REAL,マンチェスター・ユナイテッド。ドルトムント。,1989,,A,sports_athletes,https://ja.wikipedia.org/wiki/香川真司,active,
八村塁,スポーツ選手,バスケットボール,REAL,NBA選手。日本人初のNBAドラフト1巡目指名。,1998,,A,sports_athletes,https://ja.wikipedia.org/wiki/八村塁,active,
渡邊雄太,スポーツ選手,バスケットボール,REAL,NBA選手。日本人初のNBAフルシーズン契約。,1994,,A,sports_athletes,https://ja.wikipedia.org/wiki/渡邊雄太,active,
石川佳純,スポーツ選手,卓球,REAL,五輪メダリスト。全日本選手権5回優勝。,1993,,A,sports_athletes,https://ja.wikipedia.org/wiki/石川佳純,active,
水谷隼,スポーツ選手,卓球,REAL,リオ五輪シングルス銅・団体銀メダル。,1989,,A,sports_athletes,https://ja.wikipedia.org/wiki/水谷隼,active,
