person_name,category,tier,aliases,birth_year,description
マイルス・デイヴィス,音楽,1,Miles Davis,1926.0,ジャズの帝王
チック・コリア,音楽,1,Chick Corea,1941.0,ジャズピアニスト
ジョン・コルトレーン,音楽,1,John Coltrane,1926.0,ジャズサックス奏者
カート・コバーン,音楽,1,Kurt Cobain,1967.0,ニルヴァーナ
ボビー・マクファーリン,音楽,2,Bobby McFerrin,1950.0,ボーカリスト
マイケル・ジャクソン,音楽,1,Michael Jackson,1958.0,キング・オブ・ポップ
エルヴィス・プレスリー,音楽,1,Elvis Presley,1935.0,キング・オブ・ロックンロール
ボブ・ディラン,音楽,1,Bob Dylan,1941.0,ノーベル文学賞受賞シンガーソングライター
ジム・ジャームッシュ,映画・演劇,2,Jim Jarmusch,1953.0,インディー映画監督
マイケル・ムーア,映画・演劇,2,Michael Moore,1954.0,ドキュメンタリー映画監督
スティーヴン・スピルバーグ,映画・演劇,1,Steven Spielberg,1946.0,ハリウッド最高の監督
マーティン・スコセッシ,映画・演劇,1,Martin Scorsese,1942.0,アメリカ映画の巨匠
クエンティン・タランティーノ,映画・演劇,1,Quentin Tarantino,1963.0,カルト映画監督
アルフレッド・ヒッチコック,映画・演劇,1,Alfred Hitchcock,1899.0,サスペンスの神様
チャールズ・チャップリン,映画・演劇,1,Charlie Chaplin,1889.0,喜劇王
ボブ・サップ,スポーツ,2,Bob Sapp,1973.0,K-1格闘家
ピーター・アーツ,スポーツ,2,Peter Aerts,1970.0,K-1王者
ボビー・オロゴン,スポーツ,3,Bobby Ologun,1973.0,格闘家・タレント
吉田知那美,スポーツ,2,,1991.0,カーリング五輪メダリスト
藤澤五月,スポーツ,2,,1991.0,カーリング選手
羽生結弦,スポーツ,1,,1994.0,フィギュア五輪2連覇
アインシュタイン,科学・技術,1,Albert Einstein,1879.0,相対性理論
スティーブ・ジョブズ,ビジネス,1,Steve Jobs,1955.0,Apple創業者
ビル・ゲイツ,ビジネス,1,Bill Gates,1955.0,Microsoft創業者
イーロン・マスク,ビジネス,1,Elon Musk,1971.0,Tesla SpaceX創業者
ジェフ・ベゾス,ビジネス,1,Jeff Bezos,1964.0,Amazon創業者
マーク・ザッカーバーグ,ビジネス,1,Mark Zuckerberg,1984.0,Facebook創業者
バラク・オバマ,政治・社会,1,Barack Obama,1961.0,米国44代大統領
アンゲラ・メルケル,政治・社会,1,Angela Merkel,1954.0,ドイツ首相
ネルソン・マンデラ,政治・社会,1,Nelson Mandela,1918.0,南アフリカ大統領
マハトマ・ガンジー,政治・社会,1,Mahatma Gandhi,1869.0,インド独立の父
ウィンストン・チャーチル,政治・社会,1,Winston Churchill,1874.0,英国首相
ピカソ,芸術・文化,1,Pablo Picasso,1881.0,キュビズムの創始者
アンディ・ウォーホル,芸術・文化,1,Andy Warhol,1928.0,ポップアートの旗手
ゴッホ,芸術・文化,1,Vincent van Gogh,1853.0,後期印象派の画家
モーツァルト,音楽,1,Wolfgang Amadeus Mozart,1756.0,古典派作曲家
ベートーベン,音楽,1,Ludwig van Beethoven,1770.0,古典派・ロマン派作曲家
バッハ,音楽,1,Johann Sebastian Bach,1685.0,バロック音楽の巨匠
シェイクスピア,文学,1,William Shakespeare,1564.0,英国最高の劇作家
村上春樹,文学,1,,1949.0,世界的に読まれる日本人作家
ヘミングウェイ,文学,1,Ernest Hemingway,1899.0,ノーベル文学賞作家
ガブリエル・ガルシア・マルケス,文学,1,Gabriel Garcia Marquez,1927.0,ノーベル文学賞作家
モハメド・アリ,スポーツ,1,Muhammad Ali,1942.0,ボクシング王者
マイケル・ジョーダン,スポーツ,1,Michael Jordan,1963.0,NBA最高のバスケ選手
ペレ,スポーツ,1,Pele,1940.0,サッカーの王様
リオネル・メッシ,スポーツ,1,Lionel Messi,1987.0,現代サッカーの王
クリスティアーノ・ロナウド,スポーツ,1,Cristiano Ronaldo,1985.0,サッカースーパースター
ウサイン・ボルト,スポーツ,1,Usain Bolt,1986.0,人類最速の男
マリー・キュリー,科学・技術,1,Marie Curie,1867.0,2度のノーベル賞
スティーヴン・ホーキング,科学・技術,1,Stephen Hawking,1942.0,宇宙物理学者
ジョン・マッケンタイア,音楽,3,John McEntire,1970.0,トータス・シカゴ音響派
サム・アルトマン,ビジネス,1,,1985.0,OpenAI CEO。ChatGPTを世界に送り出したAI革命の中心人物
イリヤ・サツケバー,科学・技術,1,,1986.0,OpenAI共同創設者・元チーフサイエンティスト。ディープラーニングの先駆者
デミス・ハサビス,科学・技術,1,,1976.0,DeepMind創設者・CEO。AlphaGo、AlphaFoldで世界を驚かせた
ジェフリー・ヒントン,科学・技術,1,,1947.0,深層学習の父。2024年ノーベル物理学賞受賞
ヤン・ルカン,科学・技術,1,,1960.0,CNN発明者。Meta AIチーフサイエンティスト。チューリング賞受賞
ヨシュア・ベンジオ,科学・技術,1,,1964.0,ディープラーニングの先駆者。チューリング賞受賞
アンドリュー・ング,科学・技術,1,,1976.0,スタンフォード教授。Google Brain共同創設者。Coursera創設者
フェイフェイ・リー,科学・技術,1,,1976.0,ImageNet創設者。スタンフォードAIラボ元所長
ダリオ・アモデイ,ビジネス,1,,1983.0,Anthropic CEO・共同創設者。Claude開発元
セロニアス・モンク,音楽,2,,1917.0,独自の和声感覚でビバップを革新したピアニスト・作曲家
ルイ・アームストロング,音楽,2,,1901.0,ジャズの父。トランペットとスキャットで音楽史を変えた
デューク・エリントン,音楽,2,,1899.0,スウィング・ジャズの巨匠。2000曲以上を作曲
チャーリー・パーカー,音楽,2,,1920.0,ビバップの創始者。アルトサックスの革命児
ビル・エヴァンス,音楽,2,,1929.0,モダン・ジャズ・ピアノの革新者。「カインド・オブ・ブルー」に参加
ハービー・ハンコック,音楽,2,,1940.0,ファンク・ジャズの開拓者。「ヘッドハンターズ」で新境地
ウェイン・ショーター,音楽,2,,1933.0,マイルスのクインテットで活躍。作曲家としても卓越
ディジー・ガレスピー,音楽,2,,1917.0,ビバップトランペットの巨星。アフロキューバン・ジャズを確立
エラ・フィッツジェラルド,音楽,2,,1917.0,ジャズボーカルの女王。スキャットの名手
ビリー・ホリデイ,音楽,2,,1915.0,ジャズボーカルの伝説。「奇妙な果実」で社会派の先駆け
サラ・ヴォーン,音楽,2,,1924.0,「神聖なる声」と称されたジャズボーカリスト
キース・ジャレット,音楽,2,,1945.0,即興演奏の巨匠。「ケルン・コンサート」は史上最も売れたジャズアルバム
パット・メセニー,音楽,2,,1954.0,コンテンポラリー・ジャズ・ギターの革新者。20のグラミー賞
オーネット・コールマン,音楽,2,,1930.0,フリー・ジャズの創始者。ジャズの概念を根底から覆した
アート・ブレイキー,音楽,2,,1919.0,ジャズ・メッセンジャーズを率いたドラマー。若手育成の名手
ソニー・ロリンズ,音楽,2,,1930.0,テナーサックスの巨人。圧倒的な即興力
渡辺貞夫,音楽,2,,1933.0,日本ジャズ界の至宝。「ナベサダ」として世界的に活躍
エディ・ヴェダー,音楽,2,,1964.0,パール・ジャムのボーカル。グランジ/オルタナティブの重鎮
クリス・コーネル,音楽,2,,1964.0,サウンドガーデンのボーカル。4オクターブの声域
レイン・ステイリー,音楽,2,,1967.0,アリス・イン・チェインズのボーカル。ダークなサウンドの先駆者
デイヴ・グロール,音楽,2,,1969.0,ニルヴァーナのドラマー、フー・ファイターズのフロントマン
ジョン・ボーナム,音楽,2,,1948.0,レッド・ツェッペリンのドラマー。ロック史上最高のドラマーの一人
ジミー・ペイジ,音楽,2,,1944.0,レッド・ツェッペリンのギタリスト。ハードロックの開祖
ロバート・プラント,音楽,2,,1948.0,レッド・ツェッペリンのボーカル。ロックボーカルの頂点
キース・リチャーズ,音楽,2,,1943.0,ローリング・ストーンズのギタリスト。ロックの生きる伝説
ミック・ジャガー,音楽,2,,1943.0,ローリング・ストーンズのボーカル。ロックのカリスマ
ジェフ・ベック,音楽,2,,1944.0,ロックギターの革命児。3大ギタリストの一人
エリック・クラプトン,音楽,2,,1945.0,ギターの神様。ブルースロックからバラードまで
ジミ・ヘンドリックス,音楽,2,,1942.0,エレキギターの革命児。わずか4年で音楽史を変えた
ブライアン・イーノ,音楽,2,,1948.0,アンビエント音楽の創始者。プロデューサーとしても活躍
トム・ヨーク,音楽,2,,1968.0,レディオヘッドのフロントマン。実験的ロックの旗手
ジョニー・グリーンウッド,音楽,2,,1971.0,レディオヘッドのギタリスト。映画音楽でも活躍
イギー・ポップ,音楽,2,,1947.0,パンクロックのゴッドファーザー。ストゥージズのフロントマン
ルー・リード,音楽,2,,1942.0,ヴェルヴェット・アンダーグラウンドのリーダー。NYパンクの父
ウェス・アンダーソン,映画・演劇,2,,1969.0,独特のビジュアルスタイルで知られる監督。「グランド・ブダペスト・ホテル」
