人物ID,人物名,年齢,カテゴリ,エピソード本文,文字数,記憶性スコア,共感性スコア,意外性スコア,品質スコア,ステータス,削除理由
P012,天野浩,54,科学・研究,あなたと同じ54歳のとき、天野浩（54歳）は青色発光ダイオードの発明でノーベル物理学賞を受賞した。10年間の研究期間中、1500回以上の実験を重ねて青色LEDを実現。この技術により白色LED照明が可能となり、従来の白熱電球と比較して消費電力を10分の1に削減した。現在、世界で年間2億トンのCO2削減効果をもたらし、照明分野における電力消費量の大幅な改善を実現している。,231,8.5,8.0,10.0,88.0,合格,
P013,益川敏英,68,科学・研究,あなたと同じ68歳のとき、益川敏英（68歳）は小林・益川理論でノーベル物理学賞を受賞した。1973年に小林誠と共同でクォーク6種類の存在を予言し、宇宙の物質と反物質の非対称性を理論的に説明した。この理論は2001年にKEK（高エネルギー加速器研究機構）のBelle実験で実証され、2008年にノーベル物理学賞受賞に至った。英語を話さない受賞者として、ノーベル賞授賞式で日本語での受賞講演を行った。宇宙誕生から137億年経過した現在の物質優勢状態を理論的に解明し、素粒子物理学の標準理論に重要な貢献をした。,225,8.0,7.5,8.5,80.0,合格,
P015,隈研吾,66,建築・デザイン,あなたと同じ66歳のとき、隈研吾（66歳）は2019年12月に新国立競技場を完成させて2021年東京オリンピックの会場となった。47都道府県の木材を使用し「生命の大樹」をコンセプトに設計。10年間の設計・建設期間を経て、自然と調和する日本的空間を創造した。「負ける建築」の理念のもと世界30カ国で300以上のプロジェクトを手がけ、継続的な取り組みにより試行錯誤を重ね、21世紀の建築界で多数の作品を発表している。,224,8.0,7.5,8.5,80.0,合格,
P016,伊東豊雄,71,建築・デザイン,あなたと同じ71歳のとき、伊東豊雄は2012年に台中国家歌劇院の設計を進めていました。この建物は58の異なる曲面で構成された複雑な構造で、コンピュータ解析技術を駆使して設計されました。同年、彼は日本建築家として6人目となるプリツカー建築賞の受賞が決定し、翌2013年5月29日にワシントンD.C.のケネディセンターで授賞式が行われました。また2012年には伊東建築塾の活動を本格化させ、若手建築家の育成に取り組んでいました。この時期の彼は50年以上の建築活動の集大成として、世界各国で進行中の複数のプロジェクトを同時に監督していました。,268,0.0,0.0,5.5,16.5,合格,
P017,妹島和世,54,建築・デザイン,あなたと同じ54歳のとき、妹島和世（54歳）は2010年にプリツカー建築賞を受賞した日本人女性初のプリツカー建築賞受賞者となった。金沢21世紀美術館は2004年開館以来、年間250万人が訪れる施設として運営されている。ルーブル美術館ランス別館では2012年にアルミパネルと曲面ガラスを用いた設計を完成させた。SANAAとして西沢立衛と共同で透明性を重視した建築設計を手がけ、国内外で多数のプロジェクトを実現している。,208,8.5,7.5,8.5,82.0,合格,
P018,村上春樹,70,文化・芸術,あなたと同じ70歳のとき、村上春樹（70歳）は2017年2月に13年ぶりの長編小説『騎士団長殺し』を発表し、初版130万部を記録した。同作品は世界50カ国で翻訳され、村上作品の累計発行部数は1億部を突破。2006年から2023年まで18年連続でノーベル文学賞の有力候補として海外ブックメーカーで上位にランクインし、ハルキストと呼ばれるファンが世界各地で書店前に行列を作る現象が報告されている。,220,8.0,7.5,9.5,83.3,合格,
P019,草間彌生,93,文化・芸術,あなたと同じ93歳のとき、草間彌生は世界5カ所で個展を開催していました。2022年4月から松本市美術館で「宇宙に咲く花」展、5月からニューヨーク植物園で「Cosmic Nature」展、11月からM+美術館で「わが永遠の魂」展を実施。同年5月には台風で損傷した直島の「Pumpkin (Yellow)」を復旧設置し、10月にはM+美術館に新作「Infinity Mirrored Room」を常設展示として公開しました。,210,0.0,0.0,5.5,16.5,合格,
P020,若田光一,50,宇宙・探検,あなたと同じ50歳のとき、若田光一は2013年11月7日にソユーズ宇宙船でカザフスタンのバイコヌール宇宙基地から打ち上げられ、国際宇宙ステーション（ISS）第38次長期滞在クルーとして宇宙に向かいました。2014年3月9日から5月14日まで日本人初のISS船長を務め、188日間の宇宙滞在を完了しました。この滞在により通算宇宙滞在時間は347日間となり、日本人最長記録を更新しました。帰還後の2014年には内閣総理大臣顕彰と文部科学大臣表彰を受賞し、2015年には埼玉県県民栄誉章を受章しました。,248,0.0,0.0,5.5,16.5,合格,
P021,赤﨑勇,85,科学・研究,あなたと同じ85歳のとき、赤﨑勇は青色LED開発でノーベル物理学賞を受賞した。1973年から名古屋大学で窒化ガリウムの研究を開始し、1985年に松下電器で高品質結晶成長技術を開発。1989年2月、弟子の天野浩と世界初のGaN系青色LED発光に成功し、翌年特許出願した。この技術により白色LEDが実現し、従来の白熱電球と比較して消費電力を10分の1に削減、寿命を40倍の4万時間に延長した。300報以上の論文と500件以上の特許を残し、人類のエネルギー効率向上に貢献した。,235,8.5,8.0,8.5,83.5,合格,
P022,利根川進,48,科学・研究,あなたと同じ48歳のとき、利根川進は1987年10月12日に抗体の多様性生成メカニズムの解明でノーベル生理学・医学賞を単独受賞した。1976年から1981年にかけて、わずか数百個の遺伝子から100万種類以上の抗体を生み出す遺伝子再編成の仕組みを発見し、免疫学の基礎理論を「抗体の多様性生成の遺伝的原理を解明した」または「1987年にノーベル生理学・医学賞を受賞した」。日本人初の生理学・医学賞単独受賞者として、1981年からMIT教授、1997年から理化学研究所脳科学総合研究センター長を歴任し、記憶の研究で脳科学分野をリードし続けた。,268,8.5,7.5,6.0,74.5,合格,
