person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,slot,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度,category_original
P2FC4699,草間彌生,,40,芸術,302,あなたと同じ40歳のとき、草間彌生はニューヨークで前衛芸術家として活動していましたが、精神的にも経済的にも困難な時期を迎えていました。1969年、彼女は反戦運動の一環として「裸体パフォーマンス」を展開し、ニューヨークの街頭やセントラルパークで大胆な抗議活動を行いました。しかし、このような過激な表現活動は体力と精神力を消耗させ、1973年には心身の限界を感じて日本への帰国を決意します。帰国後は精神科病院に自ら入院し、そこをアトリエとして創作活動を続けました。この時期の苦闘が、後の世界的な成功への転換点となったのです。逆境の中でも創作への情熱を失わなかった彼女の姿勢は、多くの人々に勇気を与えています。,ACHIEVEMENT,,,,CONTEMPORARY_ARTIST,,,,,,,2025-11-24 14:11:21,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,芸術
PE5B7091,村上隆,,57,芸術,300,あなたと同じ57歳のとき、村上隆は2019年に自身の作品制作の原点を見つめ直す重要な時期を迎えていました。この年、彼は新作の大規模個展の準備に取り組みながら、若手アーティストの育成にも力を注いでいました。Kaikai Kiki株式会社を通じて、次世代のクリエイターたちに実践的な指導を行い、アートと商業の境界を越える独自の哲学を伝え続けました。また、日本のポップカルチャーと現代美術を融合させた作品群は、世界中で高い評価を受け、アート市場でも注目を集めていました。還暦を目前に控えたこの時期、彼は「日本発の現代アートを世界に発信する」という30年来の信念を、より確固たるものとして実践していたのです。,ACHIEVEMENT,,,,CONTEMPORARY_ARTIST,,,,,,,2025-11-24 14:11:30,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,芸術
P41ABEE1,奈良美智,,28,芸術,251,あなたと同じ28歳のとき、奈良美智は愛知県立芸術大学大学院を修了し、西ドイツ（当時）のデュッセルドルフ国立芸術アカデミーに留学しました。1988年、異国の地で言葉の壁に苦しみながらも、孤独と向き合う日々の中で、後に彼の代名詞となる「にらみつけるような目をした子ども」のモチーフが生まれていきます。限られた画材と狭いアトリエという制約の中で、小さなキャンバスに向き合い続けた経験が、彼の作風を確立する重要な転機となりました。この時期の孤独な制作環境が、内面と深く対話する独自の表現スタイルを育んだのです。,ACHIEVEMENT,,,,CONTEMPORARY_ARTIST,,,,,,,2025-11-24 14:11:37,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,芸術
PD553220,杉本博司,,66,芸術,287,あなたと同じ66歳のとき、杉本博司は2014年に小田原文化財団を設立し、江之浦測候所の建設プロジェクトを本格化させていました。相模湾を望む約1万坪の土地に、古代から現代までの時間軸を体現する壮大な芸術空間を構想。古墳時代の石室や室町時代の茶室など、日本各地から集めた歴史的建造物を配置し、冬至の日には太陽光が100メートルの光学硝子舞台を貫く設計を実現させました。写真家として世界的評価を確立した後、建築や造園にも領域を広げ、自らの芸術哲学を総合的に表現する場を創造したのです。この挑戦は、一つの表現手段に留まらず、生涯をかけて芸術の可能性を追求し続ける姿勢を示しています。,ACHIEVEMENT,,,,CONTEMPORARY_ARTIST,,,,,,,2025-11-24 14:11:47,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,芸術
PE1194FD,荒木経惟,,45,芸術,283,あなたと同じ45歳のとき、荒木経惟は最愛の妻・陽子を癌で亡くすという人生最大の喪失を経験しました。1990年1月、陽子の死の直前から直後までを撮影した写真集『センチメンタルな旅・冬の旅』を発表。妻との新婚旅行を収めた伝説的作品『センチメンタルな旅』の続編として、愛する人の死という私的な悲しみを赤裸々に表現したこの作品は、写真表現の可能性を大きく広げました。生と死、愛と喪失を真正面から見つめたこの仕事は、アラーキーの写真家としての転機となり、その後の創作活動の根幹を形成することになりました。私写真の巨匠として、彼は個人的な痛みを普遍的な芸術へと昇華させたのです。,ACHIEVEMENT,,,,CONTEMPORARY_ARTIST,,,,,,,2025-11-24 14:11:56,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,芸術
P5F44736,森村泰昌,,46,芸術,282,あなたと同じ46歳のとき、森村泰昌は1999年に「美に至る病」シリーズで新たな境地を開きました。この年、彼は三島由紀夫に扮したセルフポートレート作品を発表し、大きな反響を呼びました。自らの身体を使って三島の耽美的な世界観を再現したこの作品は、単なる模倣を超えて、美と死、芸術家のアイデンティティという普遍的なテーマを問いかけるものでした。西洋美術の名画に扮する作品で国際的な評価を確立していた森村が、日本の文学者をモチーフに選んだことは、彼の表現の深化を示す重要な転換点となりました。この挑戦は、芸術における自己表現の可能性を広げる試みとして高く評価されています。,ACHIEVEMENT,,,,CONTEMPORARY_ARTIST,,,,,,,2025-11-24 14:12:04,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,芸術
P368DDF8,宮島達男,,57,芸術,274,あなたと同じ57歳のとき、宮島達男は2014年に東京都現代美術館で大規模な個展「宮島達男 クロニクル 1995-2014」を開催しました。この展覧会では、LEDデジタルカウンターを用いた代表作「それは変化し続ける それはあらゆるものと関係を結ぶ それは永遠に続く」というコンセプトに基づく作品群を展示。特に東日本大震災後に制作した「時の海—東北」では、被災地の人々と協働し、一人ひとりが選んだ数字の点滅速度でLEDを光らせることで、個々の生命の尊厳と時間の多様性を表現しました。社会との対話を重視する彼の芸術実践が結実した重要な展覧会となりました。,ACHIEVEMENT,,,,CONTEMPORARY_ARTIST,,,,,,,2025-11-24 14:12:13,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,芸術
P1D07CC6,塩田千春,,57,芸術,295,あなたと同じ57歳のとき、塩田千春は自身の芸術活動の集大成となる重要な時期を迎えていました。2024年、彼女は長年のテーマである「存在と不在」「記憶と忘却」を探求し続け、世界各地での展覧会を通じて多くの人々に感動を与えていました。2019年に闘病を公表した癌との向き合いを経て、生と死という普遍的なテーマをより深く作品に昇華させました。赤や黒の糸で空間を埋め尽くす独特のインスタレーション作品は、人間の魂のつながりや記憶の痕跡を可視化し、見る者の心に深く訴えかけます。困難を乗り越えながらも創作への情熱を失わず、芸術を通じて生きることの意味を問い続ける姿は、多くの人々に勇気を与えています。,ACHIEVEMENT,,,,CONTEMPORARY_ARTIST,,,,,,,2025-11-24 14:12:22,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,芸術
P0A4D34F,やなぎみわ,,49,芸術,241,あなたと同じ49歳のとき、やなぎみわは2016年に演劇作品「1924 三井三池炭鉱爆発」を発表しました。美術家として国際的に活躍してきた彼女は、この時期、舞台芸術の領域へと表現を大きく展開させていました。この作品では、実際の炭鉱事故を題材に、歴史の記憶と現代を結ぶ試みを行い、写真や映像といった従来の手法を超えて、俳優たちとともに空間全体で物語を紡ぎました。一つの表現形式に留まらず、常に新しい挑戦を続ける姿勢は、アーティストとして成熟期を迎えた彼女の探究心の深さを示すものでした。,ACHIEVEMENT,,,,CONTEMPORARY_ARTIST,,,,,,,2025-11-24 14:12:30,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,芸術
P73A312A,横尾忠則,,53,芸術,304,あなたと同じ53歳のとき、横尾忠則は画家宣言から6年目を迎え、創作活動の大きな転換期を迎えていました。1989年、彼は「滝」をモチーフとした連作に本格的に取り組み始めます。これは、かつてグラフィックデザイナーとして商業美術の最前線にいた横尾が、純粋芸術家として自己の内面世界を深く掘り下げる姿勢の表れでした。この時期の作品群は、Y字型に分岐する滝の形態を通じて、人生の選択や運命の分岐点を象徴的に描き出しています。デザイナーから画家への転身という自らの人生の決断を重ね合わせるように、彼は筆を走らせ続けました。この挑戦は、年齢を重ねても新たな表現を追求し続ける芸術家の姿勢を示す、印象的な事例となっています。,ACHIEVEMENT,,,,CONTEMPORARY_ARTIST,,,,,,,2025-11-24 14:12:39,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,芸術
