episode_id,person_id,person_name,age,episode_text,source_id,source_url,evidence_quality,validation_status,validation_issues,generated_at,person_type,category,episode_type
,P001,イチロー,31,あなたと同じ31歳のとき、イチローはメジャーリーグで年間262安打を記録し、84年間破られなかったジョージ・シスラーの最多安打記録を更新しました。シアトル・マリナーズの外野手として迎えた2004年シーズン、彼は打率.372を記録しながらこの歴史的偉業を達成し、アメリカ野球界に日本人選手の実力を証明しました。,SRC-3a765f0b433a1083,https://ja.wikipedia.org/wiki/イチロー,B,pending,,2025-12-18T00:20:43.847472,REAL,スポーツ,
,P002,山中伸弥,40,あなたと同じ40歳のとき、山中伸弥は人類の医療に革命をもたらす発見をしていました。2006年、彼はマウスの皮膚細胞からiPS細胞（人工多能性幹細胞）を世界で初めて作製することに成功したのです。この画期的な研究は、わずか6年後の2012年にノーベル生理学・医学賞の受賞へとつながりました。,SRC-4f1c634f0131c8e6,https://www.kyoto-u.ac.jp/ja/research/yamanka,A,pending,,2025-12-18T00:20:49.255697,REAL,科学・技術,
,P006,羽生結弦,23,あなたと同じ23歳のとき、羽生結弦はフィギュアスケート男子シングルで冬季五輪2連覇という偉業を成し遂げていました。2014年のソチで初めて金メダルを獲得し、2018年の平昌では右足首の怪我を乗り越えて再び頂点に立ちました。66年ぶりとなる五輪連覇は、フィギュアスケート史に残る歴史的快挙となりました。,SRC-4477d9e324f2f6f4,https://ndl.go.jp/athletes/hanyu,A,pending,,2025-12-18T00:20:57.293792,REAL,スポーツ,
,P09BCAB3,白澤卓二,40,あなたと同じ40歳のとき、白澤卓二は順天堂大学大学院加齢制御医学講座の教授に就任しました。この年から、人間の老化メカニズムを解明し、健康寿命を延ばすための研究に本格的に取り組み始めたのです。医学界でも新しい分野だった加齢制御医学の第一人者として、キャリアの転換点を迎えた年でした。,SRC-df4af009727e54d8,https://ja.wikipedia.org/wiki/白澤卓二,B,pending,,2025-12-18T00:21:01.707370,REAL,医学・健康,
,P07D8D17,鎌田實,40,あなたと同じ40歳のとき、鎌田實は諏訪中央病院の院長に就任しました。地域に根ざした医療改革に取り組み、病院を地域住民の健康を支える拠点へと変革していきました。この時期から、予防医療や住民参加型の健康づくりを積極的に推進し、地域医療のモデルケースを築き始めたのです。,SRC-799b9ce5a542f430,https://ja.wikipedia.org/wiki/鎌田實,B,pending,,2025-12-18T00:21:06.645400,REAL,医学・健康,
,P7D5CC5B,南淵明宏,42,あなたと同じ42歳のとき、南淵明宏は低侵襲心臓手術（MIDCAB）を日本に導入しました。この技術により、患者の身体的負担を大幅に軽減し、心臓外科医療に革新をもたらしました。従来の大きな切開を必要とする手術から、より小さな傷で済む手術への転換点となる業績でした。,SRC-1a5bc62f0020c74d,https://ja.wikipedia.org/wiki/南淵明宏,B,pending,,2025-12-18T00:21:11.071937,REAL,医学・健康,
,P97CA578,帯津良一,46,あなたと同じ46歳のとき、帯津良一は帯津三敬病院を開設し、ホリスティック医学の実践を開始しました。西洋医学に東洋医学や心のケアを統合する、当時としては画期的な医療の場を作り上げたのです。この挑戦は、その後の日本における統合医療の先駆けとなりました。,SRC-33c56404791a7efc,https://ja.wikipedia.org/wiki/帯津良一,B,pending,,2025-12-18T00:21:16.759995,REAL,医学・健康,
,PFA58DC1,近藤誠,48,あなたと同じ48歳のとき、近藤誠は『患者よ、がんと闘うな』を出版し、日本のがん治療に対する批判的視点を世に問いました。この著書は医療界に大きな波紋を広げ、患者の治療選択について新たな議論を巻き起こすきっかけとなりました。,SRC-f1072b16f7259397,https://ja.wikipedia.org/wiki/近藤誠_(医師),B,pending,,2025-12-18T00:21:22.072362,REAL,医学・健康,
,PA7FCFF5,和田秀樹,45,あなたと同じ45歳のとき、和田秀樹は『受験は要領』シリーズが累計100万部を突破する快挙を達成していました。この著作は受験生の勉強法に革命をもたらし、日本の受験教育に大きな影響を与え続けています。精神科医としての知見を活かした独自の学習理論が、多くの受験生の道しるべとなった瞬間でした。,SRC-dd075eabbce0e752,https://ja.wikipedia.org/wiki/和田秀樹,B,pending,,2025-12-18T00:21:27.634694,REAL,医学・健康,
,P3B401AE,中川恵一,45,あなたと同じ45歳のとき、中川恵一は東京大学医学部附属病院放射線科准教授に就任し、がん医療の最前線に立っていました。この時期から本格的にがん医療の研究と啓発活動を開始し、専門家として医療現場と社会をつなぐ役割を担い始めました。,SRC-7a0d4c63d9ada443,https://ja.wikipedia.org/wiki/中川恵一,B,pending,,2025-12-18T00:21:31.815525,REAL,医学・健康,
