episode_id,person_id,person_name,age,episode_text,source_id,source_url,evidence_quality,validation_status,validation_issues,generated_at,person_type,category,episode_type,validation_quality_score,validation_quality_level,validation_errors
,P8A3C2B6,丹下健三,42,あなたと同じ42歳のとき、丹下健三は広島平和記念資料館を設計し、戦後日本建築の象徴的作品を完成させました。この建築は、平和への祈りを空間に込めた傑作として、世界中から注目を集めることになります。,SRC-5dfd61ff1a31d32a,https://ja.wikipedia.org/wiki/丹下健三,B,failed,"{""is_valid"": false, ""quality_score"": 0.8, ""quality_level"": ""good"", ""errors"": [""文字数が少なすぎます(97文字、最低100文字)""], ""warnings"": [], ""retryable"": true, ""retry_hints"": [""少なくとも100文字以上に拡張してください""]}",2025-12-18T06:05:10.496570,REAL,建築・デザイン,,0.8,good,文字数が少なすぎます(97文字、最低100文字)
,P6AF85D7,隈研吾,66,あなたと同じ66歳のとき、隈研吾は東京オリンピックの国立競技場を設計し、木材を活用した日本的建築を完成させました。伝統的な素材と現代技術を融合させたこの作品は、世界中から注目を集めました。,SRC-a6ed0e7b55e2e297,https://ja.wikipedia.org/wiki/隈研吾,B,failed,"{""is_valid"": false, ""quality_score"": 0.8, ""quality_level"": ""good"", ""errors"": [""文字数が少なすぎます(94文字、最低100文字)""], ""warnings"": [], ""retryable"": true, ""retry_hints"": [""少なくとも100文字以上に拡張してください""]}",2025-12-18T06:05:32.948218,REAL,建築・デザイン,,0.8,good,文字数が少なすぎます(94文字、最低100文字)
,P67A43A8,坂茂,38,あなたと同じ38歳のとき、坂茂は阪神大震災の被災地で紙のログハウスを開発しました。この革新的な取り組みは、災害支援建築の先駆けとなり、建築家としての新たな使命を切り開くことになりました。,SRC-ef06822bdcfd2001,https://ja.wikipedia.org/wiki/坂茂,B,failed,"{""is_valid"": false, ""quality_score"": 0.8, ""quality_level"": ""good"", ""errors"": [""文字数が少なすぎます(93文字、最低100文字)""], ""warnings"": [], ""retryable"": true, ""retry_hints"": [""少なくとも100文字以上に拡張してください""]}",2025-12-18T06:05:41.151906,REAL,建築・デザイン,,0.8,good,文字数が少なすぎます(93文字、最低100文字)
,P7D78194,磯崎新,59,あなたと同じ59歳のとき、磯崎新はアート・タワー水戸を設計し、芸術と建築の融合を実現した複合施設を完成させました。1990年のこの作品は、彼の建築思想が結実した代表作の一つとなりました。,SRC-b7c89b0c70328b47,https://ja.wikipedia.org/wiki/磯崎新,B,failed,"{""is_valid"": false, ""quality_score"": 0.8, ""quality_level"": ""good"", ""errors"": [""文字数が少なすぎます(93文字、最低100文字)""], ""warnings"": [], ""retryable"": true, ""retry_hints"": [""少なくとも100文字以上に拡張してください""]}",2025-12-18T06:05:50.130843,REAL,建築・デザイン,,0.8,good,文字数が少なすぎます(93文字、最低100文字)
,P1A40E23,タモリ,36,あなたと同じ36歳のとき、タモリは『笑っていいとも!』の司会を開始しました。この平日昼の帯番組は、その後32年間続く国民的長寿番組となり、日本のテレビ史に残る偉業を成し遂げることになります。,SRC-7a3f73b67f64437b,https://ja.wikipedia.org/wiki/タモリ,B,failed,"{""is_valid"": false, ""quality_score"": 0.8, ""quality_level"": ""good"", ""errors"": [""文字数が少なすぎます(95文字、最低100文字)""], ""warnings"": [], ""retryable"": true, ""retry_hints"": [""少なくとも100文字以上に拡張してください""]}",2025-12-18T06:05:53.795309,REAL,司会者・MC,,0.8,good,文字数が少なすぎます(95文字、最低100文字)
,PBEEF17D,葛葉,20,あなたと同じ20歳のとき、葛葉はにじさんじ所属の男性VTuberとして活動を開始していました。その後、男性VTuber初の100万登録を達成し、バーチャルライバー界に大きな足跡を残しました。,SRC-aeaf41cbe0c05991,https://ja.wikipedia.org/wiki/葛葉_(バーチャルYouTuber),B,failed,"{""is_valid"": false, ""quality_score"": 0.8, ""quality_level"": ""good"", ""errors"": [""文字数が少なすぎます(95文字、最低100文字)""], ""warnings"": [], ""retryable"": true, ""retry_hints"": [""少なくとも100文字以上に拡張してください""]}",2025-12-18T06:07:00.415017,REAL,VTuber,,0.8,good,文字数が少なすぎます(95文字、最低100文字)
,P7D842E7,ミライアカリ,2,あなたと同じ2歳のとき、ミライアカリはVTuber四天王の一人として活動を開始した。システムエラーによる休止という困難に直面したが、見事に復活を果たし、多くのファンを魅了し続けている。,SRC-213600c1d1e1daa1,https://ja.wikipedia.org/wiki/ミライアカリ,B,failed,"{""is_valid"": false, ""quality_score"": 0.8, ""quality_level"": ""good"", ""errors"": [""文字数が少なすぎます(92文字、最低100文字)""], ""warnings"": [], ""retryable"": true, ""retry_hints"": [""少なくとも100文字以上に拡張してください""]}",2025-12-18T06:07:14.463077,FICTIONAL,VTuber,,0.8,good,文字数が少なすぎます(92文字、最低100文字)
,P9D6392F,徳仁,29,あなたと同じ29歳のとき、徳仁は立太子の礼を挙行しました。1991年2月23日、皇太子として正式に冊立され、天皇継承者としての公的地位を確立。日本の未来を担う立場へと歩みを進めた節目の年でした。,SRC-918b9a2b2525e7fe,https://ja.wikipedia.org/wiki/徳仁,B,failed,"{""is_valid"": false, ""quality_score"": 0.8, ""quality_level"": ""good"", ""errors"": [""文字数が少なすぎます(97文字、最低100文字)""], ""warnings"": [], ""retryable"": true, ""retry_hints"": [""少なくとも100文字以上に拡張してください""]}",2025-12-18T06:07:18.248565,REAL,皇室,,0.8,good,文字数が少なすぎます(97文字、最低100文字)
,P042E10B,雅子,24,あなたと同じ24歳のとき、雅子は外務省に入省しました。東京大学法学部を卒業後、ハーバード大学とオックスフォード大学で学んだ経験を活かし、外交官として国際会議の場で活躍を始めた年でした。,SRC-59074c8ffde898f1,https://ja.wikipedia.org/wiki/雅子_(皇后),B,failed,"{""is_valid"": false, ""quality_score"": 0.8, ""quality_level"": ""good"", ""errors"": [""文字数が少なすぎます(92文字、最低100文字)""], ""warnings"": [], ""retryable"": true, ""retry_hints"": [""少なくとも100文字以上に拡張してください""]}",2025-12-18T06:07:21.583107,REAL,皇室,,0.8,good,文字数が少なすぎます(92文字、最低100文字)
,PEB87A97,愛子内親王,20,あなたと同じ20歳のとき、愛子内親王は成年皇族としての記者会見に臨みました。学習院大学に在学しながら、公的活動を開始する意思を表明し、皇族としての新たな一歩を踏み出したのです。,SRC-63d94bb8ae13fa6a,https://ja.wikipedia.org/wiki/愛子内親王,B,failed,"{""is_valid"": false, ""quality_score"": 0.8, ""quality_level"": ""good"", ""errors"": [""文字数が少なすぎます(88文字、最低100文字)""], ""warnings"": [], ""retryable"": true, ""retry_hints"": [""少なくとも100文字以上に拡張してください""]}",2025-12-18T06:07:29.637430,REAL,皇室,,0.8,good,文字数が少なすぎます(88文字、最低100文字)
