person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,slot,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度,category_original
P3A4CDAB,王貞治,,64,野球,299,あなたと同じ64歳のとき、王貞治は福岡ソフトバンクホークスの取締役会長として、チームの若手育成に情熱を注いでいました。2004年のこの年、王は現役時代に達成した通算868本塁打という世界記録の偉業を振り返りつつ、指導者としての新たな挑戦を続けていました。1977年に現役選手として初の国民栄誉賞を受賞した王は、「一本足打法」という独自のスタイルで日本球界に革命をもたらし、その栄誉は日本プロ野球の地位向上に大きく貢献しました。受賞から27年が経過したこの時期も、王は野球界への恩返しとして後進の指導に尽力し、国民栄誉賞受賞者としての責任と誇りを持ち続けながら、日本野球の発展に貢献し続けていました。,ACHIEVEMENT,,,,ATHLETE,,,,,,,2025-11-24 12:00:11,,,,AWARD,,70.0,81.42857142857142,,受賞,8.5,7.0,8.0,8.5,8.0,8.5,8.5,野球
P54B1A01,古関裕而,,59,音楽,289,あなたと同じ59歳のとき、古関裕而は1968年に、作曲家として円熟期を迎えていました。この年、彼は明治100年を記念する行事に関わる音楽制作に携わり、日本の近代化を音楽で表現する重要な役割を果たしました。古関は生涯で5000曲以上を作曲し、「栄冠は君に輝く」などのスポーツ音楽、「長崎の鐘」などの歌謡曲、そして数々の校歌や応援歌を手がけました。59歳の頃は、戦前から戦後にかけて日本人の心に寄り添う音楽を作り続けてきた功績が広く認められ始めた時期でした。彼の音楽は世代を超えて愛され、後の1989年に国民栄誉賞を受賞する基盤となる、国民的作曲家としての地位を確立していきました。,ACHIEVEMENT,,,,MUSICIAN,,,,,,,2025-11-24 12:00:19,,,,AWARD,,70.0,81.42857142857142,,受賞,8.5,7.0,8.0,8.5,8.0,8.5,8.5,音楽
P21389FC,長谷川町子,,63,漫画,311,あなたと同じ63歳のとき、長谷川町子は1992年に国民栄誉賞を受賞しました。これは女性として初めての栄誉でした。代表作『サザエさん』は1946年の連載開始以来、日本人の日常生活を温かく描き続け、三世代が共感できる国民的漫画として愛されてきました。受賞理由は「長年にわたり国民に明るさと潤いを与え続けた功績」とされ、戦後日本の家族の姿を描き続けた彼女の作品が、世代を超えて人々の心に寄り添ってきたことが評価されました。しかし、長谷川町子本人は受賞の2年前の1992年に既に他界しており、この栄誉は没後追贈となりました。彼女の創作への真摯な姿勢と、庶民の暮らしに寄り添う作品世界は、今なお多くの人々に勇気と笑顔を届けています。,ACHIEVEMENT,,,,ARTIST,,,,,,,2025-11-24 12:00:27,,,,AWARD,,70.0,86.42857142857142,,受賞,9.0,7.5,8.5,9.0,8.5,9.0,9.0,漫画
P38D5E39,植村直己,,62,冒険,343,"植村直己さんについて、重要な事実確認をさせていただく必要があります。

植村直己さんは1984年2月に43歳でマッキンリー冬季単独登頂に成功した直後、下山中に消息を絶たれました。そのため、62歳のエピソードを事実に基づいて生成することはできません。

国民栄誉賞は、彼の消息不明後の1984年4月に追贈されました。これは冒険家として初めての受賞であり、世界五大陸最高峰登頂や北極圏12,000kmの犬ぞり探検など、数々の前人未到の偉業を成し遂げた功績が讃えられたものです。

もし植村直己さんについてのエピソードをご希望でしたら、以下のような対応が可能です：
- 43歳時点での実際のエピソード
- 別の年齢設定でのエピソード
- 別の人物でのエピソード生成

いかがいたしましょうか？",ACHIEVEMENT,,,,ADVENTURER,,,,,,,2025-11-24 12:00:36,,,,AWARD,,70.0,86.42857142857142,,受賞,9.0,7.5,8.5,9.0,8.5,9.0,9.0,冒険
P6AFA05A,山下泰裕,,54,柔道,312,あなたと同じ54歳のとき、山下泰裕は全日本柔道連盟の強化委員長として、次世代の柔道家育成に情熱を注いでいました。彼が27歳で現役を引退した1985年から約20年、指導者として歩んできた道のりは、現役時代の栄光に劣らぬものでした。1984年のロサンゼルス五輪では、右ふくらはぎ肉離れという重傷を抱えながらも金メダルを獲得。この不屈の精神が評価され、柔道家として初の国民栄誉賞を受賞しました。54歳を迎えた2011年、彼は東海大学教授として学生たちに「真の強さとは、困難に立ち向かう勇気」という信念を伝え続けていました。現役時代の203連勝という金字塔だけでなく、教育者としての姿勢が、日本柔道界に大きな影響を与え続けています。,ACHIEVEMENT,,,,ATHLETE,,,,,,,2025-11-24 12:00:44,,,,AWARD,,70.0,86.42857142857142,,受賞,9.0,7.5,8.5,9.0,8.5,9.0,9.0,柔道
PCFCCBCF,衣笠祥雄,,61,野球,315,あなたと同じ61歳のとき、衣笠祥雄は2009年に野球解説者として活躍しながら、かつて受賞した国民栄誉賞の重みを次世代に伝える活動に力を注いでいました。1987年、現役時代に2215試合連続出場という世界記録を達成し、プロ野球選手として初めて国民栄誉賞を受賞した衣笠は、「鉄人」と呼ばれました。この記録は、骨折や怪我を押して試合に出続けた不屈の精神の結晶でした。61歳を迎えた頃も、講演活動を通じて「諦めない心」「継続することの大切さ」を若い世代に語り続けていました。国民栄誉賞受賞から20年以上が経過しても、その栄誉を誇るのではなく、野球界の発展と青少年育成に尽力する姿勢は、真のレジェンドとして多くの人々に感銘を与え続けました。,ACHIEVEMENT,,,,ATHLETE,,,,,,,2025-11-24 12:00:53,,,,AWARD,,70.0,86.42857142857142,,受賞,9.0,7.5,8.5,9.0,8.5,9.0,9.0,野球
P1A72A86,美空ひばり,,53,音楽,301,あなたと同じ53歳のとき、美空ひばりは1989年に国民栄誉賞を受賞しました。しかし、この栄誉を受けたのは彼女の死後でした。長年にわたる病魔との闘いの末、同年6月24日に52歳で逝去し、7月に女性として初めて国民栄誉賞が贈られたのです。9歳でデビューして以来、「川の流れのように」など1500曲以上を歌い、昭和という時代を歌声で彩り続けた彼女の功績が認められました。病床にありながらも1989年4月の東京ドーム公演で「不死鳥コンサート」を敢行し、最期まで歌い続けた姿は、多くの人々の心に深い感動を残しました。彼女の生き様は、どんな困難にも立ち向かう勇気と、自分の使命を全うすることの尊さを教えてくれます。,ACHIEVEMENT,,,,SINGER,,,,,,,2025-11-24 12:01:03,,,,AWARD,,70.0,86.42857142857142,,受賞,9.0,7.5,8.5,9.0,8.5,9.0,9.0,音楽
PD99CD83,千代の富士,,48,相撲,288,あなたと同じ48歳のとき、千代の富士は既に現役を引退して7年が経過し、九重親方として後進の指導に励んでいました。1989年に国民栄誉賞を受賞した千代の富士は、現役横綱としては初の快挙を成し遂げました。この受賞は、31回の幕内優勝という歴史的記録と、「ウルフ」の愛称で親しまれた筋肉質な体で技能派として相撲界を牽引したことが評価されたものです。脱臼癖に悩まされながらも、徹底した筋力トレーニングで克服し、小兵ながら横綱まで上り詰めた姿は、多くの国民に努力の大切さを示しました。48歳の千代の富士は、現役時代の栄光を胸に、弟子たちに相撲道の厳しさと素晴らしさを伝え続けていました。,ACHIEVEMENT,,,,ATHLETE,,,,,,,2025-11-24 12:01:11,,,,AWARD,,70.0,81.42857142857142,,受賞,8.5,7.0,8.0,8.5,8.0,8.5,8.5,相撲
P99E2071,藤子・F・不二雄,,41,漫画,288,あなたと同じ41歳のとき、藤子・F・不二雄は『ドラえもん』の連載に全力を注いでいました。1974年、小学館の学習雑誌で一斉連載を開始した『ドラえもん』は、子どもたちの圧倒的な支持を得て、翌年にはテレビアニメ化が実現します。この時期、藤子は毎月複数の雑誌に異なる『ドラえもん』のストーリーを描き分けるという驚異的な仕事量をこなしていました。一話一話に込められた「SF（少し・不思議）」な発想と、のび太の成長を温かく見守る物語は、後に国民的作品となる礎を築きました。この献身的な創作活動が、後年の国民栄誉賞受賞（死後追贈）へとつながる、日本の漫画文化への偉大な貢献となったのです。,ACHIEVEMENT,,,,ARTIST,,,,,,,2025-11-24 12:01:20,,,,AWARD,,70.0,81.42857142857142,,受賞,8.5,7.0,8.0,8.5,8.0,8.5,8.5,漫画
PF21F32E,遠藤実,,57,音楽,278,あなたと同じ57歳のとき、遠藤実は作曲家として前人未到の領域に到達していました。1989年、彼は5000曲目となる「いのちの人」を発表し、日本の大衆音楽史に金字塔を打ち立てました。「高校三年生」「北国の春」など数々のヒット曲で国民に愛され続けた遠藤は、この偉業により作曲家として初めて紫綬褒章を受章。演歌・歌謡曲の地位向上に尽力し、後進の育成にも情熱を注ぎました。彼の楽曲は世代を超えて歌い継がれ、日本人の心の原風景を音楽で表現し続けた功績は計り知れません。この時期の活躍が、後の国民栄誉賞受賞（2009年、作曲家として初）への道を確かなものとしたのです。,ACHIEVEMENT,,,,MUSICIAN,,,,,,,2025-11-24 12:01:28,,,,AWARD,,70.0,81.42857142857142,,受賞,8.5,7.0,8.0,8.5,8.0,8.5,8.5,音楽
