person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,slot,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度,category_original
P1DCEC19,カート・コバーン,,33,音楽,279,"カート・コバーンについて、33歳時のエピソードを生成することはできません。

カート・コバーンは1967年2月20日生まれで、1994年4月5日に27歳で亡くなっています。そのため、33歳という年齢に達することはありませんでした。

代わりに、彼の実際の人生における印象的な時期のエピソードを提案できます：

- 27歳（最後の年）
- 25歳（ニルヴァーナの全盛期）
- 20代前半（「Nevermind」リリース時）

別の年齢でエピソードを生成することをご希望でしたら、お知らせください。事実に基づいた正確な情報を提供することを優先させていただきます。",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:28:48,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,音楽
P8AC074B,エディ・ヴェダー,,58,音楽,285,あなたと同じ58歳のとき、エディ・ヴェダーは2023年にパール・ジャムの活動を続けながら、社会活動家としての姿勢も貫いていました。この年、バンドは「Dark Matter」ツアーの準備を進め、環境保護や社会正義への支援を継続。彼は若い世代のアーティストたちへの助言も惜しまず、音楽業界での持続可能なキャリアの重要性を説いていました。グランジ・ロックのアイコンとして30年以上のキャリアを持ちながらも、初心を忘れず、ファンとの対話を大切にする姿勢は多くの人々に感銘を与えました。年齢を重ねても情熱を失わず、音楽と信念を貫く生き方は、真のアーティストの在り方を示しています。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:28:57,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,音楽
PA06BFD9,クリス・コーネル,,42,音楽,284,あなたと同じ42歳のとき、クリス・コーネルは音楽界で新たな挑戦を続けていました。2006年、彼はソロアーティストとして活動しながら、映画『007 カジノ・ロワイヤル』の主題歌「You Know My Name」を手がけました。この楽曲は従来のボンド映画の主題歌とは異なる力強いロックサウンドで、批評家から高い評価を受けました。グランジロックの象徴的存在だった彼が、伝統あるボンド映画の世界に新しい息吹を吹き込んだこの仕事は、アーティストとして常に進化し続ける姿勢を示す印象的な出来事となりました。既存の枠にとらわれず、新しい領域に挑戦する勇気の大切さを教えてくれます。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:29:07,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,音楽
PB9A6A4C,レイン・ステイリー,,36,音楽,272,あなたと同じ36歳のとき、レイン・ステイリーは薬物依存との闘いの中で孤独な日々を過ごしていました。アリス・イン・チェインズのカリスマ的ボーカリストとして90年代グランジシーンを牽引した彼でしたが、この頃には長年の薬物使用により体重は約40キロまで落ち、ほとんど外出することもなくシアトルのアパートに引きこもっていました。2002年4月5日、彼はそこで亡くなっているのが発見されました。才能ある音楽家の悲劇的な最期は、依存症の恐ろしさと、助けを求めることの重要性を私たちに訴えかけています。彼の残した音楽は今も多くの人々に影響を与え続けています。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:29:15,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,音楽
PA0C465A,デイヴ・グロール,,23,音楽,257,あなたと同じ23歳のとき、デイヴ・グロールは人生最大の試練に直面していました。1992年、彼が在籍していた伝説的バンド「ニルヴァーナ」のドラマーとして世界的成功を収めていた矢先、フロントマンのカート・コバーンが急逝。音楽業界全体が衝撃に包まれる中、グロールは深い喪失感と向き合いながらも、自ら作曲していた楽曲を一人で録音し始めました。この孤独な作業から生まれたのが後の「フー・ファイターズ」です。ドラマーからフロントマンへの転身という大きな挑戦を23歳で決断した彼の勇気は、逆境を乗り越える力の象徴となっています。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:29:24,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,音楽
P122DBD7,ジョン・ボーナム,,58,音楽,312,"ジョン・ボーナムに関する重要な事実をお伝えする必要があります。

ジョン・ボーナムは1948年生まれで、1980年9月25日に32歳で亡くなりました。そのため、58歳時点のエピソードを作成することはできません。

彼はレッド・ツェッペリンの伝説的ドラマーとして、32年という短い生涯の中で音楽史に大きな足跡を残しました。代表的なエピソードとしては：

- 1968年（20歳）：レッド・ツェッペリン結成
- 1970年代：革新的なドラミング技術で「ロック史上最高のドラマー」の一人と評される
- 1980年（32歳）：急逝により、バンドは解散

もし別の年齢設定でエピソードを作成することをご希望でしたら、お知らせください。",ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:29:31,,,,,,70.0,86.42857142857142,,,9.0,7.5,8.5,9.0,8.5,9.0,9.0,音楽
P0F4A3E8,ジミー・ペイジ,,54,音楽,296,あなたと同じ54歳のとき、ジミー・ペイジは1998年にレッド・ツェッペリンの再評価の波を受けて、音楽業界での影響力を改めて示していました。この年、彼はかつての盟友ロバート・プラントとともに「ウォーキング・イントゥ・クラークスデイル」をリリース。長年の確執を乗り越えての共同作業は、多くのファンを感動させました。また同年、レッド・ツェッペリンの功績が認められ、グラミー賞生涯功労賞を受賞。過去の栄光に安住せず、新たな音楽的挑戦を続ける姿勢は、年齢を重ねても創造性を失わない芸術家の姿を体現していました。この時期の彼の活動は、真のアーティストとは常に進化し続けるものだということを教えてくれます。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:29:41,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,音楽
PDB36A73,ロバート・プラント,,38,音楽,271,あなたと同じ38歳のとき、ロバート・プラントは音楽キャリアの大きな転換期を迎えていました。1986年、レッド・ツェッペリン解散から6年が経ち、ソロアーティストとして新たな音楽性を模索していた彼は、アルバム『Shaken 'n' Stirred』をリリース。往年のハードロックから脱却し、当時流行のシンセサイザーサウンドを取り入れた実験的な作品に挑戦しました。賛否両論を呼びましたが、過去の栄光に安住せず、年齢を重ねても新しい表現に果敢に挑む姿勢は、多くのミュージシャンに影響を与えました。この時期の挑戦が、後の音楽的成熟への礎となったのです。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:29:48,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,音楽
P817B5C6,キース・リチャーズ,,61,音楽,268,あなたと同じ61歳のとき、キース・リチャーズは2004年に自身の音楽人生を振り返る重要な年を迎えていました。この年、ローリング・ストーンズは結成40周年を超え、彼は長年の薬物依存を克服した姿を世界に示していました。若い頃の破天荒な生活から一転、規則正しい生活を送りながらも創造性を失わず、精力的にツアーとレコーディングを続けていました。「生き延びることが最高の復讐だ」という彼の言葉通り、多くの同世代のミュージシャンが引退や健康問題に直面する中、キースは現役ロックスターとして活躍し続け、人生の困難を乗り越える力強さを体現していました。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:29:55,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,音楽
P8992DA8,ミック・ジャガー,,52,音楽,276,あなたと同じ52歳のとき、ミック・ジャガーは1995年にローリング・ストーンズの新アルバム制作と並行して、初のソロワールドツアーを敢行しました。バンドのフロントマンとして30年以上のキャリアを持ちながら、新たな挑戦を恐れない姿勢を見せたのです。この年、彼は若手ミュージシャンとのコラボレーションにも積極的で、異なる音楽スタイルを探求し続けました。50代になっても変化を恐れず、常に進化を求める彼の姿勢は、年齢に関係なく情熱を持ち続けることの大切さを示しています。体力維持のため厳格なトレーニングも継続し、ステージでのパフォーマンスの質を保ち続けました。,ACHIEVEMENT,,,,REAL,,,,,,,2025-11-29 17:30:03,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,音楽
