﻿episode_id,person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,slot,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,episode_fame_tier,episode_fame_score,episode_fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度,category_original,historical_significance_score,verifiability_score,cultural_impact_score,essential_insight_score,temporal_permanence_score,episode_importance_score,is_highlight,highlight_rank,highlight_selection_method,事実密度_float,priority_score,impressiveness_score,年代,episode_fame_score_original,教育的価値_original,ストーリー品質_original,事実密度_original,episode_id_original,birth_year,target_age,surprise_score,name_raw,title,affiliation,display_name_original,﻿episode_id,﻿episode_id.1
,PC302AD8,伊能忠敬,,71,科学・技術,289,あなたと同じ71歳のとき、伊能忠敬はすでにこの世を去っていましたが、彼の遺志を継いだ弟子たちが17年間にわたる測量の集大成である「大日本沿海輿地全図」を完成させました。忠敬自身は3年前の68歳で測量中に体調を崩し、73歳で亡くなるまで地図の完成を見ることなく生涯を閉じました。しかし、50歳という当時では高齢で天文学を学び始め、55歳から全国測量という前人未到の大事業に挑んだ彼の情熱は、弟子たちに確実に受け継がれました。年齢を重ねてもなお新しい学問に挑戦し、日本の正確な姿を後世に残そうとした忠敬の生き方は、何歳からでも大きな志を持って挑戦できることを私たちに教えてくれます。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:38:35,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,科学・技術,,,,,,,,,,,,,60歳以上,,,,,,,,,,,,,,
,P0898C9B,葛飾北斎,,82,芸術・文化,330,あなたと同じ82歳のとき、葛飾北斎は「富嶽三十六景」を完成させ、浮世絵の歴史に不朽の名作を残しました。この時期、北斎は「画狂老人卍」と号し、年齢を重ねてもなお創作への情熱は衰えることがありませんでした。彼は「70歳までに描いたものは取るに足らない」と語り、90歳で画の神髄に達し、100歳で神妙の域に至ると豪語していました。実際、82歳という高齢にもかかわらず、「神奈川沖浪裏」をはじめとする革新的な構図と大胆な表現で、西洋の印象派にも影響を与える作品群を生み出したのです。晩年の北斎は、生涯現役を貫き、「あと5年あれば真の画工になれる」と臨終の床で語ったと伝えられています。その飽くなき向上心は、年齢に関係なく挑戦し続けることの尊さを私たちに教えてくれます。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:38:43,,,,AWARD,,7.0,87.14285714285714,,,7.0,,晩年の挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,芸術・文化,,,,,,,,,,,,,60歳以上,,,,,,,,,,,,,,
,PCFA4BEC,日野原重明,,71,医学・健康,317,あなたと同じ71歳のとき、日野原重明は、人生の新たな挑戦を始めていました。1983年、よど号ハイジャック事件の人質体験から13年が経ち、「与えられた命」を社会のために使うという決意を新たにしていた時期です。この頃、彼は予防医学と生活習慣病の概念を日本に広める活動を本格化させ、全国を飛び回って講演を行っていました。年齢を重ねてもなお、新しい医療の在り方を追求し続ける姿勢は、多くの医療関係者に影響を与えました。また、この時期から「命の授業」の原型となる活動も始め、子どもたちに命の尊さを伝える取り組みをスタートさせています。71歳という年齢は、多くの人にとって引退を考える時期ですが、日野原にとっては新たな使命に目覚めた出発点でした。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:38:51,,,,AWARD,,7.0,87.14285714285714,,,7.0,,晩年の挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,医学・健康,,,,,,,,,,,,,60歳以上,,,,,,,,,,,,,,
,PF35F62B,黒柳徹子,,76,エンターテイメント,311,あなたと同じ76歳のとき、黒柳徹子はユニセフ親善大使として、アフガニスタンやアフリカ諸国など紛争地域や貧困地域を精力的に訪問していました。1984年にアジア人初のユニセフ親善大使に任命されて以来、年齢を重ねてもなお、危険を顧みず現地に赴き続ける姿勢は多くの人々に感銘を与えました。この年も自らの足で現地の子どもたちと触れ合い、日本に帰国後は『徹子の部屋』などを通じて世界の子どもたちの現状を伝え続けました。芸能活動と社会貢献活動を両立させ、晩年に至るまで衰えることのない行動力と使命感は、高齢者の可能性を示す象徴として、多くの人々に勇気を与え続けています。彼女の活動は、年齢に関係なく社会に貢献できることを体現しています。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:39:00,,,,AWARD,,7.0,87.14285714285714,,,7.0,,晩年の挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,エンターテイメント,,,,,,,,,,,,,60歳以上,,,,,,,,,,,,,,
,P4B0C3A0,森光子,,85,エンターテイメント,297,あなたと同じ85歳のとき、森光子は舞台『放浪記』の2000回公演という前人未到の記録を達成しました。1961年の初演から48年間、彼女はこの作品と共に歩み続けました。85歳という年齢でありながら、舞台上で見せる「でんぐり返し」は健在で、その身体能力と演技への情熱は観客を驚嘆させました。毎日のスクワットなど厳しい体調管理を続け、「舞台に立つことが生きがい」と語った森光子。この記録達成は、年齢を重ねてもなお挑戦し続ける姿勢の尊さを示すものでした。舞台後の挨拶で涙を流しながら感謝を述べる彼女の姿は、一つのことを貫き通すことの美しさと、生涯現役であり続けることの可能性を私たちに教えてくれました。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:39:08,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,エンターテイメント,,,,,,,,,,,,,60歳以上,,,,,,,,,,,,,,
,P33DB5A0,瀬戸内寂聴,,74,文学,318,あなたと同じ74歳のとき、瀬戸内寂聴は10年の歳月をかけた『源氏物語』全54帖の現代語訳を完成させました。出家後も精力的に執筆活動を続けていた彼女は、平安の大作に真正面から挑み、古典を現代の読者に届けるという大事業を成し遂げたのです。この偉業について彼女は「若い頃には理解できなかった紫式部の心が、年齢を重ねてようやく分かるようになった」と語っています。同時期、全国各地での法話も続け、多くの人々の悩みに耳を傾けました。年齢を重ねてもなお、文学者として、そして僧侶として二つの使命を全うする姿は、晩年こそが人生の集大成であることを示す象徴的な存在となりました。彼女の情熱は、高齢になっても新たな挑戦ができることを私たちに教えてくれます。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:39:17,,,,AWARD,,7.0,87.14285714285714,,,7.0,,晩年の挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,文学,,,,,,,,,,,,,60歳以上,,,,,,,,,,,,,,
,PEF622C9,ピカソ,,85,芸術・文化,323,あなたと同じ85歳のとき、ピカソは驚異的な創作意欲を燃やし続けていました。1966年、彼はパリの名門グラン・パレ美術館で大回顧展を開催し、その圧倒的な作品群で世界を魅了しました。年齢を重ねてもなお、彼の筆は衰えることを知らず、むしろ晩年には自由で大胆な表現が加速していきました。「私は子どものように描くのに一生かかった」という言葉通り、80代のピカソは技巧を超えた純粋な創造の境地に達していたのです。この時期、彼は1日に数点もの作品を制作することもあり、生涯で5万点以上もの作品を残すことになります。高齢になっても創造性は枯れることなく、むしろ円熟と自由が融合した独自の芸術世界を切り開き続けた姿は、年齢の限界を超えた人間の可能性を示しています。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:39:27,,,,AWARD,,7.0,87.14285714285714,,,7.0,,晩年の挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,芸術・文化,,,,,,,,,,,,,60歳以上,,,,,,,,,,,,,,
,PBC4ECE7,黒澤明,,70,映画・演劇,328,あなたと同じ70歳のとき、黒澤明は10年ぶりの大作『乱』を完成させました。シェイクスピアの「リア王」を戦国時代に置き換えたこの壮大な作品は、日本での製作資金調達に失敗し、フランスの支援でようやく実現したものでした。撮影現場では、全シーンを緻密な絵コンテで指示し、若い頃と変わらぬ情熱で現場を指揮しました。特に印象的なのは、加齢による視力低下に悩まされながらも、色彩設計に徹底的にこだわり抜いた姿勢です。この作品は海外で高く評価され、アカデミー賞衣装デザイン賞を受賞。年齢を重ねてもなお、むしろ人生経験を重ねたからこそ表現できる人間の業と悲哀を、圧倒的な映像美で描き切りました。逆境と身体的困難を乗り越えた創作への執念は、晩年の巨匠の真骨頂といえるでしょう。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:39:37,,,,AWARD,,7.0,87.14285714285714,,,7.0,,晩年の挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,映画・演劇,,,,,,,,,,,,,60歳以上,,,,,,,,,,,,,,
,P7F88681,宮崎駿,,79,アニメ・漫画・ゲーム,330,あなたと同じ79歳のとき、宮崎駿は長編アニメーション映画『君たちはどう生きるか』の制作に没頭していました。2013年に『風立ちぬ』を公開し、長編映画からの引退を表明したものの、年齢を重ねてもなお創作への情熱は衰えることはありませんでした。引退宣言からわずか数年後、彼は再び新作に取り組み始めます。CGに頼らず手描きにこだわる姿勢は変わらず、スタジオジブリの若手アニメーターたちとともに、一枚一枚丁寧に絵を描き続けました。「自分が生きているうちに完成させたい」という思いで、70代後半という高齢にもかかわらず、毎日スタジオに通い続ける姿は、年齢は創造の限界ではないことを世界に示しました。この作品は2023年に公開され、再び世界中の観客を魅了することになります。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:39:45,,,,AWARD,,7.0,87.14285714285714,,,7.0,,晩年の挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,アニメ・漫画・ゲーム,,,,,,,,,,,,,60歳以上,,,,,,,,,,,,,,
,PED05B4D,吉田茂,,71,政治・社会,316,あなたと同じ71歳のとき、吉田茂は回顧録『回想十年』を刊行しました。1957年、首相退任から2年が経過したこの時期、吉田は戦後日本の再建に捧げた激動の10年を振り返り、執筆に没頭しました。サンフランシスコ講和条約や日米安保条約締結の舞台裏、マッカーサーとの交渉など、歴史的瞬間の真実を後世に残すことに情熱を注いだのです。年齢を重ねてもなお、国家の進路について明確な意見を持ち続け、「ワンマン宰相」と呼ばれた自身の政治手法を冷静に分析する姿勢は、経験に裏打ちされた政治家の円熟を示していました。この著作は戦後政治史の貴重な一次資料となり、晩年の吉田が単なる回想にとどまらず、日本の未来への指針を示そうとした知的営為の結晶となりました。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:39:53,,,,AWARD,,7.0,87.14285714285714,,,7.0,,晩年の挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,政治・社会,,,,,,,,,,,,,60歳以上,,,,,,,,,,,,,,
