person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,slot,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度,category_original
P74BF656,坂東玉三郎,,29,芸術,279,あなたと同じ29歳のとき、坂東玉三郎は歌舞伎界の頂点へと駆け上がる重要な時期を迎えていました。1979年、この年に彼は『京鹿子娘道成寺』で圧倒的な演技を披露し、若くして人間国宝級の評価を確立しました。女形としての完璧な美しさと、役への深い理解が融合した舞台は、伝統芸能の新しい可能性を示すものでした。当時から彼は古典の型を守りながらも、独自の解釈を加える革新性を持ち、稽古には一切の妥協を許さない姿勢で知られていました。この若さでの芸術的完成度の高さは、日々の厳しい鍛錬と芸への真摯な姿勢の賜物であり、伝統芸能における真の継承とは何かを示す模範となりました。,ACHIEVEMENT,,,,TRADITIONAL_ARTS_MASTER,,,,,,,2025-11-24 14:40:38,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,芸術
PDADF881,市川團十郎（12代目）,,54,芸術,276,あなたと同じ54歳のとき、市川團十郎（12代目）は、自らが患った白血病を克服し、1年8ヶ月ぶりに歌舞伎座の舞台に復帰を果たしました。2001年のことです。病気の公表により多くの人々に衝撃を与えましたが、團十郎は骨髄バンクへの登録を呼びかけ、ドナー登録者数を大幅に増加させる社会的貢献を果たしました。復帰公演では「暫」で見得を切り、満場の観客から万雷の拍手を受けました。この経験を通じて、團十郎は伝統芸能の継承者としての使命感をより強く持つようになり、その後も歌舞伎の発展に尽力し続けました。病との闘いと復活の物語は、多くの人々に勇気と希望を与えました。,ACHIEVEMENT,,,,TRADITIONAL_ARTS_MASTER,,,,,,,2025-11-24 14:40:46,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,芸術
P2214B68,中村吉右衛門（2代目）,,54,芸術,264,あなたと同じ54歳のとき、中村吉右衛門は1998年に重要無形文化財保持者（人間国宝）に認定されました。歌舞伎界を代表する立役として、時代物から世話物まで幅広い演目で卓越した芸を磨き続けた結果でした。特に『鬼平犯科帳』のテレビドラマで全国的な人気を得ながらも、歌舞伎の伝統芸能を守り続ける姿勢は変わりませんでした。父である初代吉右衛門から受け継いだ芸の精神を大切にしながら、現代の観客にも理解されやすい演技を追求し続けた功績が評価されたのです。伝統を守りながら革新を恐れない姿勢は、多くの後進の芸術家たちに大きな影響を与えました。,ACHIEVEMENT,,,,TRADITIONAL_ARTS_MASTER,,,,,,,2025-11-24 14:40:54,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,芸術
P732EE1F,片岡仁左衛門（15代目）,,65,芸術,259,あなたと同じ65歳のとき、片岡仁左衛門（15代目）は、2009年に重要無形文化財保持者（人間国宝）に認定されました。歌舞伎界を代表する立役として、格調高い芸風と品格ある演技で知られる仁左衛門は、この栄誉を受けた際も謙虚な姿勢を貫きました。特に『仮名手本忠臣蔵』の大星由良之助や『熊谷陣屋』の熊谷直実など、時代物の重厚な役どころで高い評価を得ており、伝統芸能の継承者として次世代への指導にも尽力していました。65歳という年齢でなお舞台に立ち続け、円熟の境地を見せる姿は、芸道における精進の大切さを示す模範となっています。,ACHIEVEMENT,,,,TRADITIONAL_ARTS_MASTER,,,,,,,2025-11-24 14:41:02,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,芸術
P3777144,桂米朝（3代目）,,60,芸術,287,あなたと同じ60歳のとき、桂米朝は上方落語の復興に尽力し、その功績が認められて重要な節目を迎えていました。1985年、60歳の米朝は紫綬褒章を受章し、落語家としての地位向上に大きく貢献しました。この頃、彼は絶滅寸前だった上方落語の古典演目を自ら調査・研究し、「地獄八景亡者戯」など多くの演目を復活させていました。また、後進の育成にも力を注ぎ、弟子たちに厳しくも温かい指導を続けました。単なる芸人ではなく、上方落語という文化財を守り伝える使命感を持って活動する姿は、伝統芸能の継承者としての責任の重さを示していました。彼の努力により、上方落語は衰退から再興へと向かったのです。,ACHIEVEMENT,,,,TRADITIONAL_ARTS_MASTER,,,,,,,2025-11-24 14:41:11,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,芸術
P1660FEC,柳家小三治,,63,芸術,282,あなたと同じ63歳のとき、柳家小三治は落語協会会長に就任しました。2002年のことです。型破りな芸風で知られた小三治でしたが、会長として組織運営にも真摯に取り組みました。この時期、彼は「落語は人間を描く芸」という信念のもと、若手の育成にも力を注ぎ、伝統芸能の継承と革新の両立を目指しました。会長就任後も高座に立ち続け、間を大切にした独特の語り口で観客を魅了し続けました。権威にとらわれず、常に落語そのものと向き合う姿勢は、芸術家としての真摯な生き方を示すものでした。この年齢になっても芸の探求を続ける姿は、多くの落語ファンや後進の落語家たちに深い感銘を与えました。,ACHIEVEMENT,,,,TRADITIONAL_ARTS_MASTER,,,,,,,2025-11-24 14:41:19,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,芸術
PF591CAB,観世寿夫,,60,芸術,258,あなたと同じ60歳のとき、観世寿夫は能楽界の革新者として精力的な活動を続けていました。1925年生まれの観世は、1985年に60歳を迎え、伝統的な能の世界に新しい解釈と演出を持ち込むことで知られていました。この時期、彼は古典能の再解釈に取り組みながら、演劇界との交流を深め、能の現代的な可能性を追求していました。観世家の当主として伝統を守りつつも、「型を破るには型を知らねばならない」という信念のもと、若手能楽師の育成にも力を注ぎました。彼の革新的な姿勢は、伝統芸能が現代に生き続けるための重要な道筋を示したのです。,ACHIEVEMENT,,,,TRADITIONAL_ARTS_MASTER,,,,,,,2025-11-24 14:41:28,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,芸術
P8067A69,竹本住大夫,,21,芸術,252,あなたと同じ21歳のとき、竹本住大夫は文楽の太夫として修行に励む日々を送っていました。1946年生まれの住大夫は、1967年頃、師匠である四代目竹本越路大夫のもとで厳しい稽古を重ねていた時期です。この頃はまだ「鶴澤寛治」の名で活動しており、義太夫節の基礎を徹底的に叩き込まれていました。朝から晩まで声を出し続け、古典の語りを一言一句正確に習得する修行は想像を絶する厳しさでしたが、この時期の鍛錬が後に人間国宝となる基礎を築きました。若き日の献身的な努力が、日本の伝統芸能を支える名人への道を開いたのです。,ACHIEVEMENT,,,,TRADITIONAL_ARTS_MASTER,,,,,,,2025-11-24 14:41:36,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,芸術
P72694C8,吉田玉男,,62,芸術,245,あなたと同じ62歳のとき、吉田玉男は人間国宝（重要無形文化財保持者）に認定されました。1984年のことです。文楽の人形遣いとして最高峰の技術を持つ吉田玉男は、三人遣いの主遣い（おもづかい）として、人形に命を吹き込む卓越した芸を極めていました。特に女方の人形遣いとして名高く、繊細な感情表現と優雅な所作で観客を魅了しました。伝統芸能の継承者として、若手の育成にも力を注ぎ、文楽の技術と精神を次世代へ伝えることに尽力しました。この認定は、長年にわたる厳しい修行と芸への献身が評価された証でした。,ACHIEVEMENT,,,,TRADITIONAL_ARTS_MASTER,,,,,,,2025-11-24 14:41:44,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,芸術
PCC99ECF,花柳寿楽,,54,芸術,247,あなたと同じ54歳のとき、花柳寿楽は日本舞踊界の重鎮として、伝統の継承と革新の両立に尽力していました。この年、彼女は古典舞踊の技法を守りながらも、現代的な感性を取り入れた新作の振付に挑戦し、若い世代への指導にも情熱を注ぎました。稽古場では厳しくも温かい指導で知られ、弟子たちに「型を学ぶことは心を学ぶこと」と説き続けました。長年の修練で培った技と精神性を次世代に伝えることに使命感を持ち、日本の伝統芸能の発展に貢献しました。その姿勢は、伝統文化を守り育てることの大切さを示す模範となっています。,ACHIEVEMENT,,,,TRADITIONAL_ARTS_MASTER,,,,,,,2025-11-24 14:41:52,,,,,,70.0,81.42857142857142,,,8.5,7.0,8.0,8.5,8.0,8.5,8.5,芸術
