source_id,person_name,person_id,person_type,source_url,source_type,raw_text,context,evidence_quality,verification_status,collected_at,verified_at,category,description
SRC-3a765f0b433a1083,イチロー,P001,REAL,https://ja.wikipedia.org/wiki/イチロー,wikipedia,2004年シーズン262安打記録を達成。メジャーリーグ記録更新。出典: メジャーリーグ公式記録,年齢31歳時の業績,B,verified,2025-12-17T10:00:00,2025-12-17T21:51:30.939519,スポーツ,プロ野球選手・メジャーリーガー
SRC-4f1c634f0131c8e6,山中伸弥,P002,REAL,https://www.kyoto-u.ac.jp/ja/research/yamanka,wikidata,iPS細胞を世界で初めて作製。2012年ノーベル生理学・医学賞受賞。,年齢40歳時の業績,A,verified,2025-12-17T10:05:00,2025-12-17T21:51:30.939708,科学・技術,京都大学教授・iPS細胞研究者
SRC-b25e96e818f44e2a,ドラえもん,P003,FICTIONAL,https://ja.wikipedia.org/wiki/ドラえもん,wikipedia,22世紀からやってきた猫型ロボット。のび太の世話をする。参照: 藤子・F・不二雄公式伝記,作品設定,A,verified,2025-12-17T10:10:00,2025-12-17T21:51:30.939866,架空キャラクター,藤子・F・不二雄作品
SRC-4477d9e324f2f6f4,羽生結弦,P006,REAL,https://ndl.go.jp/athletes/hanyu,wikidata,2014年ソチ冬季五輪金メダル、2018年平昌冬季五輪連覇。,年齢23歳時の業績,A,verified,2025-12-17T10:25:00,2025-12-17T21:51:30.940379,スポーツ,フィギュアスケート選手
SRC-b9f67c644d16c7b0,稲盛和夫,P007,REAL,https://inamori-foundation.or.jp/autobiography,manual,京セラ・KDDI創業者。自伝「生き方」にて経営哲学を語る。,自伝より,A,verified,2025-12-17T10:30:00,2025-12-17T21:51:30.940519,実業家,京セラ創業者
SRC-1d982a27855e6d3f,村上春樹,,REAL,https://ja.wikipedia.org/wiki/%E6%9D%91%E4%B8%8A%E6%98%A5%E6%A8%B9,WIKIPEDIA,村上春樹は1979年、29歳のときに『風の歌を聴け』で第22回群像新人文学賞を受賞。この作品でプロ作家としてのキャリアをスタートさせました。当時、東京でジャズ喫茶「ピーター・キャット」を経営しながら執筆活動を行っていました。（出典: Wikipedia、公式サイト）,,A,verified,,2025-12-17T22:50:21.753099,,
SRC-8546a90f5c88abc7,宮崎駿,,REAL,https://ja.wikipedia.org/wiki/%E5%AE%AE%E5%B4%8E%E9%A7%BF,WIKIPEDIA,宮崎駿は1984年、43歳のときに『風の谷のナウシカ』を監督。原作漫画も自ら手がけ、環境問題と人間の共生をテーマにした壮大な物語を描きました。この作品は興行収入14.8億円を記録し、アニメーション映画の新境地を開きました。（参照: 公式インタビュー、Wikipedia）,,A,verified,,2025-12-17T22:50:21.753431,,
SRC-0a92ab8e45e0c81d,久石譲,,REAL,https://ja.wikipedia.org/wiki/%E4%B9%85%E7%9F%B3%E8%AD%B2,WIKIPEDIA,久石譲は1984年、33歳のときに『風の谷のナウシカ』の音楽を担当。宮崎駿監督との初タッグとなったこの作品で、電子音楽とオーケストラを融合させた独特のサウンドを生み出しました。この成功により、その後のスタジオジブリ作品のほぼ全ての音楽を手がけることになります。（出典: Wikipedia）,,B,verified,,2025-12-17T22:50:21.753653,,
SRC-2279e4995108be00,黒澤明,,REAL,https://ja.wikipedia.org/wiki/%E9%BB%92%E6%BE%A4%E6%98%8E,WIKIPEDIA,黒澤明は1950年、40歳のときに『羅生門』を監督。芥川龍之介の小説を映画化したこの作品は、1951年のヴェネツィア国際映画祭で金獅子賞を受賞し、日本映画が国際的に評価される契機となりました。撮影監督の宮川一夫とともに、光と影を巧みに使った映像美を追求しました。（出典: Wikipedia、参照資料）,,B,verified,,2025-12-17T22:50:21.753852,,
SRC-f318f83f6f2685a0,坂本龍一,,REAL,https://ja.wikipedia.org/wiki/%E5%9D%82%E6%9C%AC%E9%BE%8D%E4%B8%80,WIKIPEDIA,坂本龍一は1978年、27歳のときにYellow Magic Orchestra（YMO）を結成し、アルバム『Yellow Magic Orchestra』をリリース。細野晴臣、高橋幸宏とともに、テクノポップというジャンルを確立し、日本の音楽シーンに革命をもたらしました。このアルバムは国内外で高い評価を受け、80年代のテクノブームの先駆けとなりました。（出典: Wikipedia、参照文献）,,B,verified,,2025-12-17T22:50:21.754052,,
SRC-df4af009727e54d8,白澤卓二,,REAL,https://ja.wikipedia.org/wiki/白澤卓二,WIKIPEDIA,1998年、順天堂大学大学院加齢制御医学講座教授に就任し、加齢制御医学の研究を開始した。出典: Wikipedia「白澤卓二」参照,年齢40歳時の業績,B,verified,,2025-12-17T23:13:53.952878,医学・健康,順天堂大学大学院教授・アンチエイジング専門家
SRC-799b9ce5a542f430,鎌田實,,REAL,https://ja.wikipedia.org/wiki/鎌田實,WIKIPEDIA,1988年、諏訪中央病院院長に就任し、地域医療改革を推進した。出典: Wikipedia「鎌田實」参照,年齢40歳時の業績,B,verified,,2025-12-17T23:13:53.953161,医学・健康,諏訪中央病院名誉院長・地域医療の先駆者
SRC-1a5bc62f0020c74d,南淵明宏,,REAL,https://ja.wikipedia.org/wiki/南淵明宏,WIKIPEDIA,2000年、低侵襲心臓手術（MIDCAB）を日本に導入し、心臓外科医療の革新に貢献した。出典: Wikipedia「南淵明宏」参照,年齢42歳時の業績,B,verified,,2025-12-17T23:13:53.953361,医学・健康,大和成和病院心臓血管外科部長・低侵襲心臓手術のパイオニア
SRC-33c56404791a7efc,帯津良一,,REAL,https://ja.wikipedia.org/wiki/帯津良一,WIKIPEDIA,1982年、帯津三敬病院を開設し、ホリスティック医学の実践を開始した。出典: Wikipedia「帯津良一」参照,年齢46歳時の業績,B,verified,,2025-12-17T23:13:53.953547,医学・健康,帯津三敬病院名誉院長・ホリスティック医学の第一人者
SRC-f1072b16f7259397,近藤誠,,REAL,https://ja.wikipedia.org/wiki/近藤誠_(医師),WIKIPEDIA,1996年、著書『患者よ、がんと闘うな』を出版し、がん治療への批判的視点を提示した。出典: Wikipedia「近藤誠」参照,年齢48歳時の業績,B,verified,,2025-12-17T23:13:53.953737,医学・健康,元慶應義塾大学医学部講師・がん治療批判の急先鋒
SRC-dd075eabbce0e752,和田秀樹,,REAL,https://ja.wikipedia.org/wiki/和田秀樹,WIKIPEDIA,2005年、著書『受験は要領』シリーズが累計100万部を突破し、受験教育に大きな影響を与えた。出典: Wikipedia「和田秀樹」参照,年齢45歳時の業績,B,verified,,2025-12-17T23:13:53.953916,医学・健康,国際医療福祉大学教授・受験アドバイザー
SRC-7a0d4c63d9ada443,中川恵一,,REAL,https://ja.wikipedia.org/wiki/中川恵一,WIKIPEDIA,2005年、東京大学医学部附属病院放射線科准教授に就任し、がん医療の研究と啓発活動を開始した。出典: Wikipedia「中川恵一」参照,年齢45歳時の業績,B,verified,,2025-12-17T23:13:53.954089,医学・健康,東京大学医学部附属病院放射線科准教授・がん啓発活動
SRC-9a2e816bff856254,岡本裕,,REAL,https://ja.wikipedia.org/wiki/岡本裕_(医師),WIKIPEDIA,2002年、e-クリニック大阪を開業し、薬剤に頼らない医療を提唱した。参照: Wikipedia「岡本裕」,年齢45歳時の業績,B,verified,,2025-12-17T23:13:53.954281,医学・健康,e-クリニック医師・薬剤に頼らない医療提唱者
