性別,年齢階級,未婚,有配偶,未婚率,既婚率
男性,25～34歳,411,238,0.6332819722650231,0.3667180277349769
男性,35～44歳,245,456,0.34950071326676174,0.6504992867332382
男性,45～54歳,233,645,0.265375854214123,0.734624145785877
男性,55～64歳,150,585,0.20408163265306123,0.7959183673469388
男性,65歳以上,120,1208,0.09036144578313253,0.9096385542168675
女性,25～34歳,307,296,0.5091210613598673,0.49087893864013266
女性,35～44歳,164,484,0.25308641975308643,0.7469135802469136
女性,45～54歳,150,658,0.18564356435643564,0.8143564356435643
女性,55～64歳,94,590,0.13742690058479531,0.8625730994152047
女性,65歳以上,99,1055,0.08578856152512998,0.91421143847487
