type,canonical_id,canonical_name,duplicate_id,duplicate_name,confidence,name_similarity
exact,P2F5E100,桜井和寿,P6B4C6DD,桜井和寿,1.0,
exact,P1CA7ABC,松本人志,PCEBFB39,松本人志,1.0,
exact,PDE55A4B,林家木久扇,PBD75FE2,林家木久扇,1.0,
exact,PF4FF1F9,深田恭子,P0AC9284,深田恭子,1.0,
exact,P4B2EE87,河村隆一,PBF99C6B,河村隆一,1.0,
exact,PFF4AAE2,江戸川コナン,PA899585,江戸川コナン,1.0,
exact,P10DE637,岡田准一,PDB93F1C,岡田准一,1.0,
exact,P10DE637,岡田准一,P75E239D,岡田准一,1.0,
exact,P10427DB,てつや,PCEF7C08,てつや,1.0,
exact,P10427DB,てつや,P70A3C8B,てつや,1.0,
exact,PE64AB31,西田敏行,P5A1E7A2,西田敏行,1.0,
exact,P0D36ECC,阿部寛,PC9E20D4,阿部寛,1.0,
exact,P07CEE9A,草野マサムネ,PE2FE2BC,草野マサムネ,1.0,
exact,P07CEE9A,草野マサムネ,P289D281,草野マサムネ,1.0,
exact,P0DDD565,稲葉浩志,P0263923,稲葉浩志,1.0,
exact,P71A481E,米倉涼子,P8177780,米倉涼子,1.0,
exact,P6C10B66,マリオ,P30639DC,マリオ,1.0,
exact,P6336D8D,マザー・テレサ,P9A9E1BF,マザー・テレサ,1.0,
exact,PBFB86A5,ルパン三世,PB10A177,ルパン三世,1.0,
exact,P91FC66A,ナミ,PE4512CD,ナミ,1.0,
exact,PAC3E10B,フグ田サザエ,PDFBEAED,フグ田サザエ,1.0,
exact,P215298E,シルクロード,P528D388,シルクロード,1.0,
exact,P52FA1F0,井上雄彦,P4392282,井上雄彦,1.0,
exact,P72B391A,三島由紀夫,PD1583EC,三島由紀夫,1.0,
exact,PFCE4856,岩田剛典,P15C5912,岩田剛典,1.0,
exact,P4E0FE3B,中曽根康弘,P7517B57,中曽根康弘,1.0,
exact,P1281647,はたけカカシ,PF035A07,はたけカカシ,1.0,
exact,PC1B1602,山内健司,P9E161EA,山内健司,1.0,
exact,P57DFFA3,うずまきナルト,P0110551,うずまきナルト,1.0,
exact,PD08E7B8,清水依与吏,P6C7DB38,清水依与吏,1.0,
exact,P3760666,堂本光一,P8260082,堂本光一,1.0,
exact,PA42B2FB,兼近大樹,PAC9018C,兼近大樹,1.0,
exact,PF6F6AEC,吉田美和,PBF05D9E,吉田美和,1.0,
exact,P78E1672,Ayase,P86032FD,Ayase,1.0,
exact,P6E7E522,妹島和世,P87312E6,妹島和世,1.0,
exact,P1DCBFA9,野田洋次郎,P271AAC8,野田洋次郎,1.0,
exact,PAC69109,伊沢拓司,P93B5429,伊沢拓司,1.0,
exact,PAC69109,伊沢拓司,P5A8AAED,伊沢拓司,1.0,
exact,P507643A,Taka,P5FCEEB6,Taka,1.0,
exact,P8B441AE,カリーム・アブドゥル＝ジャバー,P30BFDF6,カリーム・アブドゥル=ジャバー,1.0,
exact,P8577CD5,やまと,PF547A8C,やまと,1.0,
exact,PF6C5EE4,安藤忠雄,P353650A,安藤忠雄,1.0,
exact,P6009D71,孫悟空,PDBE9D52,孫悟空,1.0,
exact,P3019E3E,小栗旬,P9F5B1CF,小栗旬,1.0,
exact,PFA1A82D,大悟,PAC51971,大悟,1.0,
exact,P97A090E,谷口吉生,P30931EF,谷口吉生,1.0,
exact,P7761DC1,小津安二郎,P97B671A,小津安二郎,1.0,
exact,P645AD9F,三船敏郎,PC193730,三船敏郎,1.0,
exact,PEE28158,モーツァルト,,モーツァルト,1.0,
exact,PAAB4C68,中居正広,PEC7453B,中居正広,1.0,
exact,P32BB33,ジョン・レノン,P39C1EEE,ジョン・レノン,1.0,
exact,P32BB33,ジョン・レノン,P4AE92AC,ジョン・レノン,1.0,
exact,PEE74CA,フレディ・マーキュリー,PBDB02A8,フレディ・マーキュリー,1.0,
exact,P44BD08,ダライ・ラマ14世,P44BD084,ダライ・ラマ14世,1.0,
exact,P7ED7058,TERU,P5120EF8,TERU,1.0,
exact,P3B70E67,PATA,P4DEAB2D,PATA,1.0,
exact,P0F4A3E8,ジミー・ペイジ,P0A6AFFB,ジミー・ペイジ,1.0,
exact,P8B7CFB2,岡村隆史,P9F67136,岡村隆史,1.0,
exact,P226318E,太田光,P3234147,太田光,1.0,
exact,P226318E,太田光,P71A9D34,太田光,1.0,
exact,PAE8B089,紫式部,PD95713D,紫式部,1.0,
exact,PF60DBC3,清少納言,P03C38C5,清少納言,1.0,
exact,P6E63A05,佐藤浩市,P0726B3F,佐藤浩市,1.0,
exact,P55B9C19,石田ゆり子,PB3CCACE,石田ゆり子,1.0,
