canonical_id,canonical_name,merged_id,merged_name,confidence,type
P9CE8D70,松田丈志,PBF39F7D,松田丈志,1.0,exact
PDE2F08C,松本零士,PFBEF3D8,松本零士,1.0,exact
P942EE53,柳井正,P875467C,柳井正,1.0,exact
P45712EA,桐生祥秀,P39EB482,桐生祥秀,1.0,exact
PCDDC643,押井守,PFD3FF65,押井守,1.0,exact
PF536869,平野歩夢,P4007AA0,平野歩夢,1.0,exact
P594A3A5,岩田聡,P7A55978,岩田聡,1.0,exact
P6171B3D,岡崎朋美,PFA42C71,岡崎朋美,1.0,exact
P5BACC73,村上隆,P5A83EEE,村上隆,1.0,exact
P8C2BDAC,松下幸之助,P48DD33A,松下幸之助,1.0,exact
P6856B10,本田宗一郎,P1F318BB,本田宗一郎,1.0,exact
PF227C2D,杉本博司,PB0ABEEE,杉本博司,1.0,exact
P2767983,野沢雅子,PF498D36,野沢雅子,1.0,exact
P26F69AF,鈴木敏文,PFFE7371,鈴木敏文,1.0,exact
PD0FDE41,長谷部誠,P4117A44,長谷部誠,1.0,exact
PDC014B6,白井健三,P53F2655,白井健三,1.0,exact
PF2D6CCB,福原愛,PA78C193,福原愛,1.0,exact
PA85659A,田中将大,P9A8B2DE,田中将大,1.0,exact
PA85659A,田中将大,PD7FD454,田中将大,1.0,exact
P242459D,田中耕一,P5611150,田中耕一,1.0,exact
P77AEA02,稲盛和夫,P073D85D,稲盛和夫,1.0,exact
P0DDD565,稲葉浩志,P0263923,稲葉浩志,1.0,exact
P483F3B8,立川談志,P658811F,立川談志,1.0,exact
PBB3EAC0,マックス・プランク,P53E1A1C,マックス・プランク,1.0,exact
P48007C9,ヤニス・アデトクンボ,PF74D538,ヤニス・アデトクンボ,1.0,exact
P93778B3,ロバート・ノイス,P6DD7304,ロバート・ノイス,1.0,exact
P1B0144C,ルイ・パスツール,P18ABDF6,ルイ・パスツール,1.0,exact
P85E311A,リーナス・トーバルズ,P760D4D0,リーナス・トーバルズ,1.0,exact
P37122AD,ニールス・ボーア,P1615641,ニールス・ボーア,1.0,exact
P2A1817A,デミス・ハサビス,P50FB6A1,デミス・ハサビス,1.0,exact
