person_id,person_name,category,person_type,is_pure_english,name_type,classification,reason
P6B60577,tofubeats,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
PD23F10F,hyde,音楽,REAL,True,artist_name,keep_english,GROUP_MEMBER_MAP登録済み（L'Arc~en~Ciel）
P8BA6AAA,YOSHIKI,音楽,REAL,True,artist_name,keep_english,GROUP_MEMBER_MAP登録済み（X JAPAN）
P3760666,KinKi Kids,エンターテイメント,REAL,True,artist_name,keep_english,追加維持リストに登録
P2D81F7D,KREVA,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
P0DC6425,KOHH,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
PBBA3C82,KENZO,エンターテイメント,REAL,True,artist_name,keep_english,追加維持リストに登録
PD4151CC,IU,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
P710BB63,HIKAKIN,芸術・文化,REAL,True,artist_name,keep_english,追加維持リストに登録
P6C47C66,DJ KRUSH,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
P98B38C9,DA PUMP,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
PE66B8A0,BTS,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
P0D055BE,BLACKPINK,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
P27E4A44,BAD HOP,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
P23E5808,Awich,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
PA5CD967,Ado,音楽,REAL,True,artist_name,keep_english,SOLO_ARTISTS登録済み
PF6F6AEC,DREAMS COME TRUE,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
PD40ED5D,LiSA,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
P0690DFD,MIKIKO,エンターテイメント,REAL,True,artist_name,keep_english,追加維持リストに登録
PE6EFFAA,YOASOBI,音楽,REAL,True,artist_name,keep_english,SOLO_ARTISTS登録済み
PB902EE9,TWICE,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
PFA6C47E,TAKAHIRO,エンターテイメント,REAL,True,artist_name,keep_english,GROUP_MEMBER_MAP登録済み（EXILE）
P9F1B3BE,SAM,エンターテイメント,REAL,True,artist_name,keep_english,追加維持リストに登録
P7BA603B,Perfume,音楽,REAL,True,artist_name,keep_english,GROUP_MEMBER_MAP登録済み（Perfume）
P2BEEF46,Nujabes,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
PB30B3FE,NMB48,音楽,REAL,False,artist_name,keep_english,追加維持リストに登録
P074F209,NIGO,エンターテイメント,REAL,True,artist_name,keep_english,追加維持リストに登録
P045AB94,Zeebra,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
PA88F05B,hide,音楽,REAL,True,artist_name,keep_english,GROUP_MEMBER_MAP登録済み（X JAPAN）
P3D3C0A3,GACKT,音楽,REAL,True,artist_name,keep_english,GROUP_MEMBER_MAP登録済み（MALICE MIZER）
PEF7C51E,YOSHIKI,音楽,REAL,True,artist_name,keep_english,GROUP_MEMBER_MAP登録済み（X JAPAN）
PAAA5647,SUGIZO,音楽,REAL,True,artist_name,keep_english,GROUP_MEMBER_MAP登録済み（LUNA SEA）
PF93E7A2,INORAN,音楽,REAL,True,artist_name,keep_english,GROUP_MEMBER_MAP登録済み（LUNA SEA）
P78E1672,Ayase,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
P011A56F,Mackenyu,映画・演劇,REAL,True,artist_name,keep_english,追加維持リストに登録
PBACD62C,TAKURO,音楽,REAL,True,artist_name,keep_english,GROUP_MEMBER_MAP登録済み（GLAY）
PE46542E,HISASHI,音楽,REAL,True,artist_name,keep_english,GROUP_MEMBER_MAP登録済み（GLAY）
P55CDD5C,Toshl,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
P07B73B4,HEATH,音楽,REAL,True,artist_name,keep_english,GROUP_MEMBER_MAP登録済み（X JAPAN）
P7ED7058,TERU,音楽,REAL,True,artist_name,keep_english,GROUP_MEMBER_MAP登録済み（GLAY）
