person_id,person_name,category,person_type,is_pure_english,name_type,classification,reason
P5FCEEB6,Taka,音楽,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
P869B65C,NON STYLE,エンターテイメント,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
P7DC4E25,Madonna,エンターテイメント,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
P97C8F69,Prince,音楽,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
P73D2360,SZA,音楽,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
P01959F7,Lars von Trier,映画・演劇,REAL,True,unknown,review_required,名前タイプ判定不可 - 人間レビュー推奨
PDC7D3CA,Beyoncé,エンターテイメント,REAL,False,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
PBC3C340,John von Neumann,科学・技術,REAL,True,unknown,review_required,名前タイプ判定不可 - 人間レビュー推奨
PA4BD015,Darwin,学術・研究,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
P5CF6345,Mendeleev,学術・研究,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
PFABA8D4,50 Cent,エンターテイメント,REAL,False,unknown,review_required,名前タイプ判定不可 - 人間レビュー推奨
P259A8D8,Shakira,音楽,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
PCD9772C,Hergé,アニメ・漫画・ゲーム,REAL,False,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
PAA4ADEA,Simone de Beauvoir,文学,REAL,True,unknown,review_required,名前タイプ判定不可 - 人間レビュー推奨
P819E2AF,"Dwayne ""The Rock"" Johnson",エンターテイメント,REAL,False,unknown,review_required,名前タイプ判定不可 - 人間レビュー推奨
P16A968C,Radiohead,音楽,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
P9D7F352,Nirvana,音楽,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
P6A0B873,Alice in Chains,音楽,REAL,True,unknown,review_required,名前タイプ判定不可 - 人間レビュー推奨
P725418E,Soundgarden,音楽,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
P8B0EE5A,Metallica,音楽,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
PD0EFEFE,Archimedes,科学・技術,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
P0CE3093,Werner von Braun,科学・技術,REAL,True,unknown,review_required,名前タイプ判定不可 - 人間レビュー推奨
PC03A9FE,OKAMA,アニメ・漫画・ゲーム,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
PB1CD9EB,Benicio del Toro,映画・演劇,REAL,True,unknown,review_required,名前タイプ判定不可 - 人間レビュー推奨
PD292DAF,Watson and Crick,科学・技術,REAL,True,unknown,review_required,名前タイプ判定不可 - 人間レビュー推奨
P0B4B53C,Neymar,エンターテイメント,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
PA70EC02,Notch,アニメ・漫画・ゲーム,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
P38C78F6,Copernicus,科学・技術,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
PF530C76,Mendel,科学・技術,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
P81650A6,Marconi,科学・技術,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
PAB61EBD,Curie,科学・技術,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
PFDC0BC9,Fleming,科学・技術,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
P63F32D4,John le Carré,文学,REAL,False,unknown,review_required,名前タイプ判定不可 - 人間レビュー推奨
P190782B,Watson,学術・研究,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
P2504E03,Crick,学術・研究,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
PFDC9C56,Max von Sydow,映画・演劇,REAL,True,unknown,review_required,名前タイプ判定不可 - 人間レビュー推奨
