﻿episode_id,person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,slot,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,episode_fame_tier,episode_fame_score,episode_fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度,category_original,episode_importance_score,is_highlight,highlight_rank,highlight_selection_method,事実密度_float,priority_score,impressiveness_score,年代,episode_fame_score_original,教育的価値_original,ストーリー品質_original,事実密度_original,episode_id_original,surprise_score,name_raw,title,affiliation,display_name_original,generated_at,last_modified
,PC302AD8,伊能忠敬,,73,科学・技術,273,あなたと同じ73歳のとき、伊能忠敬は17年間にわたる全国測量の集大成として、精密な日本地図の完成に向けて最後の力を注いでいました。50歳を過ぎてから天文学を学び始め、55歳で第一次測量に出発した彼は、年齢を重ねてもなお情熱を失わず、蝦夷地から九州まで日本全国を歩き続けました。この年、病に倒れながらも弟子たちに測量データの整理を指示し、地図の完成を見届けようと努めました。彼の不屈の精神は、人生の後半から始めた事業でも大きな成果を残せることを証明しています。実際に歩いた距離は地球一周分にも及び、その正確さは後世まで高く評価されることになります。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 13:04:16,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,科学・技術,,,,,,,,60歳以上,,,,,,,,,,,,
,P0898C9B,葛飾北斎,,73,芸術・文化,290,あなたと同じ73歳のとき、葛飾北斎は代表作『富嶽三十六景』を完成させました。70代を迎えてなお、北斎は「70歳以前の画は取るに足らない」と豪語し、新たな表現への挑戦を続けていました。特に「神奈川沖浪裏」では、西洋から伝わった化学顔料プルシアンブルーを大胆に使用し、躍動する波濤と富士山の対比という革新的な構図を生み出しました。年齢を重ねてもなお衰えることのない創作意欲は、当時の版元や弟子たちを驚嘆させました。北斎自身も「あと10年、いや5年あれば真の絵師になれる」と語り、晩年期にこそ最高傑作を生み出した彼の姿は、年齢に関係なく挑戦し続けることの大切さを私たちに教えてくれます。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 13:04:24,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,芸術・文化,,,,,,,,60歳以上,,,,,,,,,,,,
,PCFA4BEC,日野原重明,,79,医学・健康,297,あなたと同じ79歳のとき、日野原重明は聖路加国際病院の院長として精力的に活動していました。この年齢を重ねてもなお、彼は週に6日間病院に出勤し、外来診療や回診を続けていました。特筆すべきは、この時期に小学生を対象とした「いのちの授業」を全国各地で展開し始めたことです。自らの聴診器を子どもたちの胸に当てさせ、心臓の鼓動を通じて「いのち」の大切さを伝える独自の教育手法は大きな反響を呼びました。また、高齢者医療の改革にも尽力し、生活習慣病という概念の普及に努めました。79歳という年齢でありながら、新しい挑戦を続け、医療現場の第一線に立ち続ける姿は、年齢を重ねることの可能性を示す象徴となりました。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 13:04:32,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,医学・健康,,,,,,,,60歳以上,,,,,,,,,,,,
,PF35F62B,黒柳徹子,,71,エンターテイメント,320,あなたと同じ71歳のとき、黒柳徹子はユニセフ親善大使として、アフガニスタンを訪問しました。紛争の影響で教育を受けられない子どもたちの現状を目の当たりにし、年齢を重ねてもなお、危険を顧みず現地に赴く姿勢は多くの人々に感銘を与えました。1984年にアジア人初のユニセフ親善大使に就任して以来、20年以上にわたり世界各地を訪れ続けた彼女は、この時期も精力的に活動を継続。テレビ番組『徹子の部屋』の司会を務めながら、国際的な人道支援活動にも全力を注ぐ姿は、晩年における新たな挑戦と社会貢献の可能性を示す模範となりました。長年培ってきた発信力を、困難な状況にある子どもたちのために活かし続ける姿勢は、年齢に関係なく使命を果たす大切さを教えてくれます。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 13:04:41,,,,AWARD,,7.0,87.14285714285714,,,7.0,,晩年の挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,エンターテイメント,,,,,,,,60歳以上,,,,,,,,,,,,
,P4B0C3A0,森光子,,76,エンターテイメント,277,あなたと同じ76歳のとき、森光子は舞台『放浪記』の1500回公演を達成しました。1961年の初演から40年以上にわたり、林芙美子の半生を演じ続けた彼女は、年齢を重ねてもなお、毎日のスクワット運動を欠かさず、驚異的な体力と気力で舞台に立ち続けました。稽古では若い共演者たちと同じメニューをこなし、「舞台は生きている証」と語る姿は、多くの人々に感動を与えました。この記録的な公演回数は、一つの役に対する情熱と、観客への誠実さの表れでした。高齢になっても挑戦を続ける彼女の姿勢は、年齢は単なる数字に過ぎないことを証明し、日本の演劇界に輝かしい足跡を残しました。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 13:04:48,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,エンターテイメント,,,,,,,,60歳以上,,,,,,,,,,,,
,P33DB5A0,瀬戸内寂聴,,81,文学,278,あなたと同じ81歳のとき、瀬戸内寂聴は10年の歳月をかけた『源氏物語』全54帖の現代語訳を完成させました。出家後も旺盛な創作活動を続けていた彼女は、平安の大作に真正面から挑み、古典の美しさを現代の言葉で蘇らせることに情熱を注ぎました。年齢を重ねてもなお、一日も休まず原稿用紙に向かい続けた姿勢は、多くの人々に感銘を与えました。完成時には「紫式部さんとの長い対話がようやく終わった」と語り、千年の時を超えた文学者同士の交流を表現しました。この偉業は、晩年においても新たな挑戦を続けることの尊さを示し、高齢者の可能性を世に知らしめる象徴的な出来事となりました。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 13:04:57,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,文学,,,,,,,,60歳以上,,,,,,,,,,,,
,PEF622C9,ピカソ,,77,芸術・文化,296,あなたと同じ77歳のとき、ピカソは驚くべき創作意欲を見せていました。1958年、彼はユネスコ本部のための大壁画「イカロスの墜落」を完成させ、年齢を重ねてもなお新たな挑戦を続けました。この時期、ピカソは1日に数点もの作品を制作することがあり、「私は若くなっている。歳をとるにつれて若返っているのだ」と語っています。特に1950年代後半は、ベラスケスの「ラス・メニーナス」の連作に取り組むなど、巨匠たちの作品を独自の視点で再解釈する実験的な制作を展開しました。晩年の円熟した技術と、衰えることのない探究心が融合したこの時期の作品群は、年齢は創造性の障壁にはならないことを世界に示す証となりました。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 13:05:06,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,芸術・文化,,,,,,,,60歳以上,,,,,,,,,,,,
,PBC4ECE7,黒澤明,,84,映画・演劇,291,あなたと同じ84歳のとき、黒澤明は映画製作への情熱を燃やし続けていました。1994年、彼はアカデミー名誉賞を受賞し、授賞式でスピーチを行いました。その際、「私はまだ映画のことがよく分かっていない」と語り、会場を驚かせました。60年以上のキャリアを持つ巨匠が、なお学び続ける姿勢を失わない謙虚さと探究心を示したのです。この時期も次回作の構想を練り、絵コンテを描き続けていました。年齢を重ねてもなお、映画という芸術の奥深さに挑み続けた黒澤の姿勢は、創造的な仕事に定年はないことを世界に示しました。晩年まで衰えることのない創作意欲は、多くの映画人や高齢者に勇気を与える存在となっています。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 13:05:14,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,映画・演劇,,,,,,,,60歳以上,,,,,,,,,,,,
,P7F88681,宮崎駿,,72,アニメ・漫画・ゲーム,311,あなたと同じ72歳のとき、宮崎駿は『風立ちぬ』を完成させ、これを最後の長編作品として引退を表明しました。零戦設計者・堀越二郎の人生を描いたこの作品は、戦争と創造という重いテーマに正面から向き合った意欲作でした。制作中、年齢を重ねてもなお、彼は若手スタッフと共に深夜まで作画に没頭し、細部へのこだわりを一切妥協しませんでした。公開後の記者会見で「長編アニメは体力的に限界」と語りながらも、その目には創作への情熱が宿っていました。この作品は興行収入120億円を超える大ヒットとなり、ベネチア国際映画祭では金獅子賞候補にもなりました。晩年に到達した円熟の技と、生涯をかけて追求した「美しさ」への探求心が結実した傑作となりました。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 13:05:23,,,,AWARD,,7.0,87.14285714285714,,,7.0,,晩年の挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,アニメ・漫画・ゲーム,,,,,,,,60歳以上,,,,,,,,,,,,
,PED05B4D,吉田茂,,84,政治・社会,317,あなたと同じ84歳のとき、吉田茂は戦後日本の歩みを振り返る大著『回想十年』の刊行に情熱を注いでいました。首相退任後も、大磯の自邸「海千山千楼」で精力的に執筆活動を続け、占領期から講和条約締結に至る激動の時代を克明に記録しました。この著作には、マッカーサーとの丁々発止のやりとりや、サンフランシスコ講和会議での緊迫した交渉の舞台裏が生々しく綴られています。年齢を重ねてもなお、政治への洞察力は衰えることなく、後進の政治家たちに助言を与え続けました。「日本の独立と復興の礎を築いた者として、歴史の証言者たる責任がある」という使命感が、晩年の彼を突き動かしていたのです。この回想録は、戦後史研究の第一級資料として今日も高く評価されています。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 13:05:32,,,,AWARD,,7.0,87.14285714285714,,,7.0,,晩年の挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,政治・社会,,,,,,,,60歳以上,,,,,,,,,,,,
