episode_id,person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,source,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,composite_score,人生の節目タグ,episode_importance_score,is_highlight,highlight_rank,priority_score,impressiveness_score,年代,affiliation,generated_at,verification_status,evidence_quality,総合品質,感情インパクト,composite_score_5axis,memorability_score,empathy_score,surprise_score,generation_quality_score,educational_value,storytelling_quality,factual_density,llm_evaluated_at,wikipedia_pv,fame_score_v3,fame_rank_v3,multi_lang_pv,sitelinks_count,google_hits,is_japanese,fame_score_japan,celebrity_score_v2,celebrity_rank_v2,episode_fame_v5_keyphrase,episode_fame_v6,episode_fame_tier_v6,episode_fame_v6_updated_at,super_total_score,iconic_score,model,generator_type,cost_usd
EP-000003691,P0011025,室生犀星,2.0,40.0,文学,215.0,あなたと同じ40歳のとき、室生犀星は最愛の長女を病気で失う深い悲しみの中にいた。1929年、娘への愛情を込めて書いた『杏っ子』は、彼女の短い7年間の生涯を美しい詩的な文章で綴った作品となった。「杏の花のように可憐だった」と表現した娘への想いは、多くの読者の心を打ち、日本文学史に残る名作となった。個人的な喪失の痛みを芸術に昇華させることで、犀星は同じ悲しみを抱える多くの人々に慰めと希望を与える作品を生み出したのだ。,転機,確認済み,未登録,True,REAL,8.5,不明,未登録,1900-01-01 00:00:00,4.0,False,False,0.0,False,7.81,一般,7.9,1.0,1.0,49.2,28.0,1950年代以前,未登録,2025-12-15 12:52:10,unverified,low,7.0,6.0,6.92,6.6,6.7,3.4,8.5,5.0,5.8,6.4,2025-12-20T10:03:25.077358,5331.0,417.29,4690.0,17437.0,9.0,,True,411.72,532.269104152151,3220.0,室生犀星 杏っ子 1929年,58.07,3.0,2026-01-10T00:23:47.560457,474574.0,5.5,,,
EP-260105225818578737,P0011025,室生犀星,2.0,80.0,文学,384.0,"あなたと同じ80歳のとき、室生犀星は昭和37年の春、金沢の生家跡を訪れていた。戦後17年が経ち、文壇では芥川賞や直木賞の選考委員として若い才能を見出す役割を担っていた。「杏っ子」で描いた故郷への愛着は、今なお彼の創作の核心にあった。

この年、犀星は最後の大仕事として「我が愛する詩人の伝記」の執筆に取り組んでいた。萩原朔太郎との友情、「感情」誌での活動、そして「幼年時代」で確立した散文の境地まで、自身が築いた文学の系譜を次世代へ継承する使命感に燃えていた。

角川書店からの全集刊行の話も進んでおり、編集者たちは犀星の膨大な原稿と格闘していた。「抒情小曲集」から始まった詩業、そして小説「性に眼覚める頃」に至る軌跡が、ようやく正当な評価を受ける時が来たのだった。犀星は書斎で万年筆を握りながら、まだ書き残したい作品があることを痛感していた。",fictional,,,,REAL,,batch_api,,2026-01-08T07:18:03.399046,5.0,,,,,7.29,,,,,,,,,2026-01-08T07:18:03.399046,,,,,,6.6,6.1,4.4,8.5,6.1,5.3,6.4,,,417.29,4690.0,17437.0,9.0,,True,411.72,532.269104152151,3220.0,,70.8,4.0,2026-01-10T00:23:47.560711,507632.0,5.2,,,
EP-2512181850581951,P00156E2,田中信行,2.0,61.0,芸術・文化,260.0,あなたと同じ61歳のとき、田中信行は長年の陶芸活動で培った技法と美意識を次世代に伝えるため、地元で本格的な指導活動を開始した。それまで作家として個展や制作に専念してきた彼は、この時期から若手陶芸家や愛好家を対象とした工房での実践指導に力を注ぎ始める。特に伝統的な釉薬の調合技術や窯焚きの勘所など、長年の試行錯誤で体得した「言葉にしにくい技」を、丁寧な実演と対話を通じて伝承することに情熱を傾けた。この経験知の体系化は、後に多くの弟子たちが独立する礎となり、地域の陶芸文化の継承に大きく貢献することとなった。,達成,確認済み,,False,REAL,82.14285714285714,LLM_GENERATED,,2025-12-17 01:11:13,4.0,False,False,0,False,6.91,円熟期の新境地,7.0,False,0.0,7.0,8.5,60歳以上,,2025-12-19 07:34:52,unverified,low,7.0,5.25,5.91,4.8,6.1,2.9,7.9,6.6,5.3,3.3,2025-12-20T20:41:44.269700,55.0,196.7,6404.0,80.0,1.0,,True,193.48,362.374004745231,6003.0,田中信行 言葉にしにくい技,46.67,2.0,2026-01-10T00:23:47.560851,297415.0,5.2,,,
EP-000000571,P00156E2,田中信行,2.0,63.0,芸術・文化,265.0,あなたと同じ63歳のとき、田中信行は突然すべての作品を燃やした。40年間描き続けてきた絵画2000点余りを自宅の庭で焼却したのだ。周囲は狂気の沙汰だと止めましたが、彼は「真っ白になりたい」と聞く耳を持ちなかった。ところが、その灰を土に混ぜて育てた野菜が異常に美しい色彩を放つことを発見。近所の農家から「魔法の土」と呼ばれるようになる。田中はこの偶然から着想を得て、野菜や植物そのものをキャンバスとする「生命絵画」という新ジャンルを開拓。破壊から生まれた革新的なアート手法は国際的に注目され、彼の代表作となったのだ。,挑戦,確認済み,,False,REAL,8.5,LLM_GENERATED_OPENAI→SURPRISE_IMPROVED,未登録,1900-01-01 00:00:00,4.0,True,False,0.0,False,7.93,代表作,7.3,1.0,1.0,49.2,28.0,60代,未登録,2025-12-15 12:52:10,unverified,low,7.0,6.05,6.99,6.9,4.3,6.0,8.5,5.0,7.2,5.4,2025-12-19T23:09:55.411836,55.0,196.7,6404.0,80.0,1.0,,True,193.48,362.374004745231,6003.0,田中信行 真っ白になりたい,48.08,2.0,2026-01-10T00:23:47.560989,334109.0,5.5,,,
EP-000007952,P0024463,蛍原徹,1.0,40.0,エンターテイメント,177.0,あなたと同じ40歳のとき、蛍原徹は相方の宮迫博之が個人活動で多忙になり「コンビ解散も考えた」と後に語るほど追い詰められていた。しかしその時期、一人で出演した『アメトーーク！』の進行役で予想外の才能が開花。従来のボケ担当から180度転換し、絶妙な間とツッコミで番組を支える司会者として確立。この逆境が彼の新たな芸風を生み出した。,転機,確認済み,雨上がり決死隊,True,REAL,8.5,不明,未登録,1900-01-01 00:00:00,4.0,False,False,0.0,False,8.03,一般,7.9,1.0,1.0,49.2,28.0,1950年代以前,雨上がり決死隊,2025-12-15 12:52:10,unverified,low,7.0,5.8,7.04,6.6,4.9,6.5,8.5,4.5,5.3,5.4,2025-12-20T18:48:17.379304,9182.0,420.94,4617.0,21799.0,2.0,,True,453.78,530.808036861677,3260.0,蛍原徹 コンビ解散も考えた 2008年,57.27,3.0,2026-01-10T00:23:47.561113,483325.0,5.5,,,
EP-000004162,P0025540,相葉雅紀,1.0,35.0,エンターテイメント,218.0,あなたと同じ35歳のとき、相葉雅紀は嵐のメンバーとして17年間駆け抜けてきた仲間たちとの活動休止を決意した。2018年、大野智から突然告げられた想いを受け止め、5人で何度も話し合いを重ねた。「みんなでここまで来られて幸せだった」と涙ながらに語った相葉は、残された2年間でファンへの感謝を伝え切ることを誓った。バラエティ番組では変わらぬ天然ぶりで笑顔を届け続け、最後のコンサートまで5人の絆を大切に、ファンとの思い出を一つ一つ刻み続けた。,転機,確認済み,嵐,True,REAL,8.5,不明,未登録,1900-01-01 00:00:00,4.0,False,False,0.0,False,8.04,一般,7.9,1.0,1.0,49.2,28.0,1960年代,未登録,2025-12-15 12:52:10,unverified,low,7.0,6.05,6.93,6.6,6.7,3.4,7.9,4.5,5.3,9.6,2025-12-20T11:09:47.503027,39756.0,490.79,2610.0,93846.0,18.0,,True,555.05,584.604646538946,1518.0,相葉雅紀 みんなでここまで来られて幸せだった 2018年,63.27,3.0,2026-01-10T00:23:47.561237,544935.0,5.5,,,
EP-251217212955817,P002CAB1,今田耕司,5.0,6.0,エンターテイメント,350.0,あなたと同じ6歳のとき、今田耕司は大阪府大阪市で幼稚園に通っていた。この頃の今田耕司は既に人を笑わせることが大好きな子どもで、クラスメイトの前でおかしな顔をしたり、先生の真似をしたりして周りを楽しませていた。特に給食の時間には、野菜を食べる際に「これはロケットや」「これは怪獣の手や」などとユニークな表現で食べ物を例え、友達を笑わせながら完食していた。家では母親の関西弁での会話を聞きながら育ち、自然と関西特有のリズム感のある話し方を身につけていきた。近所の銭湯では父親と一緒に入浴し、そこで出会う大人たちとの会話を通じて人とのコミュニケーションの楽しさを学んでいた。後にお笑いタレントとして活躍する素地となる、人懐っこさと表現力豊かな性格がこの時期から現れていた。,転機,確認済み,130R,True,REAL,614.1,pipeline_layer2,,2025-12-19T07:34:52.372514,4.0,False,False,0,False,7.91,,7.1,False,0.0,310.05,6.5,0代,,2025-12-17T21:29:55.809310,unverified,low,7.5,5.5,7.06,4.8,4.9,2.9,7.3,4.0,4.0,10.0,2025-12-20T20:05:44.945483,21809.0,454.89,3672.0,58929.0,4.0,,True,502.99,582.705152049337,1592.0,今田耕司 これはロケットや 1968年,65.63,3.0,2026-01-10T00:23:47.561384,521142.0,5.5,,,
EP-251219020130827,P002CAB1,今田耕司,5.0,11.0,エンターテイメント,358.0,"あなたと同じ11歳のとき、今田耕司は大阪府大阪市で小学5年生として過ごしていた。この頃の今田耕司は既にクラスのムードメーカー的存在で、休み時間になると友達を集めて即興のコントや物まねを披露していた。特に当時人気だったテレビ番組の登場人物の真似が得意で、同級生たちを笑わせることに夢中になっていた。

家では毎日のようにテレビのバラエティ番組を見て、芸人たちの話し方や間の取り方を研究するように観察していた。母親からは「テレビばかり見てないで宿題しなさい」と叱られることもありましたが、今田耕司にとってテレビは最高の教科書だった。学校の文化祭では自ら立候補してお笑いの出し物を企画し、先生や保護者からも大きな笑いを取った。この成功体験が、後に芸能界を目指すきっかけの一つとなったのだ。",転機,確認済み,130R,True,REAL,650.7,pipeline_layer2,,2025-12-19T07:34:52.372514,4.0,False,False,0,False,7.94,,7.3,False,0.0,328.35,6.5,10代,,2025-12-19T02:01:30.067149,unverified,low,7.7,5.25,7.07,5.2,6.1,2.9,7.9,4.5,4.9,3.3,2025-12-20T21:16:01.721813,21809.0,454.89,3672.0,58929.0,4.0,,True,502.99,582.705152049337,1592.0,今田耕司 テレビばかり見てないで宿題しなさい 1973年,65.77,3.0,2026-01-10T00:23:47.561530,532205.0,5.5,,,
EP-251217210039576,P002CAB1,今田耕司,5.0,13.0,エンターテイメント,350.0,"あなたと同じ13歳のとき、今田耕司は大阪府大阪市の中学2年生として過ごしていた。当時から人を笑わせることが大好きで、クラスでは自然とムードメーカー的存在になっていた。特に関西弁を活かしたツッコミや物まねが得意で、授業中でも先生の話し方を真似して級友たちを笑わせては注意されることもあった。

この頃の今田耕司は、テレビで見るお笑い番組に夢中になっており、特に関西のバラエティ番組を欠かさず見ていた。友達との会話でも、テレビで見たネタを再現したり、自分なりにアレンジを加えたりして披露することが多く、周囲からは「将来芸人になるんちゃうか」と言われるほどだった。勉強よりもお笑いに興味を示すことが多く、後の芸能界での活躍につながる芸人としての素質がすでに表れていた時期だった。",転機,確認済み,130R,True,REAL,640.5,pipeline_layer2,,2025-12-19T07:34:52.372514,4.0,False,False,0,False,7.94,,7.2,False,0.0,323.5,6.5,10代,,2025-12-17T21:00:39.360085,unverified,low,7.5,5.0,7.16,4.8,4.9,2.9,7.3,4.0,4.9,10.0,2025-12-20T20:00:42.373052,21809.0,454.89,3672.0,58929.0,4.0,,True,502.99,582.705152049337,1592.0,今田耕司 将来芸人になるんちゃうか 1975年,65.76,3.0,2026-01-10T00:23:47.561673,527334.0,5.5,,,
EP-000007758,P002CAB1,今田耕司,5.0,35.0,エンターテイメント,169.0,あなたと同じ35歳のとき、今田耕司は関西での人気絶頂期にも関わらず東京進出を決意した。しかし関西弁の漫才は東京で全く受けず、視聴率は3%台まで落ち込んだ。そこで彼は漫才を封印し、司会業に転向する大胆な決断を下す。持ち前の関西人らしいツッコミとボケを司会スタイルに昇華させ、3年後には全国ネット番組5本のレギュラーを獲得した。,転機,確認済み,未登録,False,REAL,8.5,不明,未登録,1900-01-01 00:00:00,4.0,False,False,0.0,False,7.93,一般,7.9,1.0,1.0,49.2,28.0,1960年代,未登録,2025-12-15 12:52:10,unverified,low,7.0,5.25,6.73,5.9,6.1,3.9,7.3,6.6,6.7,5.4,2025-12-20T18:39:49.271436,21809.0,454.89,3672.0,58929.0,4.0,,True,502.99,582.705152049337,1592.0,今田耕司 全国ネット番組5本のレギュラー 獲得 2000年,67.07,3.0,2026-01-10T00:23:47.561766,564449.0,5.2,,,
