sample_no,episode_id,person_name,category,評価者A_記憶性,評価者A_共感性,評価者A_意外性,評価者A_生成品質,評価者A_教育的価値,評価者A_ストーリー品質,評価者A_事実密度,評価者B_記憶性,評価者B_共感性,評価者B_意外性,評価者B_生成品質,評価者B_教育的価値,評価者B_ストーリー品質,評価者B_事実密度,評価者C_記憶性,評価者C_共感性,評価者C_意外性,評価者C_生成品質,評価者C_教育的価値,評価者C_ストーリー品質,評価者C_事実密度,最終スコア_記憶性,最終スコア_共感性,最終スコア_意外性,最終スコア_生成品質,最終スコア_教育的価値,最終スコア_ストーリー品質,最終スコア_事実密度
1,EP-251217204817669,RADWIMPSの野田洋次,音楽,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EP-000001393,剣持勇,芸術・文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EP-000002368,アーノルド・シュワルツェネッガー,エンターテイメント,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EP-000000854,中島洋,科学・技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,EP-000001802,江夏豊,スポーツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,EP-000008780,ダニエル・ラドクリフ,エンターテイメント,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,EP-000005476,木下是雄,科学・技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,EP-000000604,羽生結弦,スポーツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,EP-000008376,イアン・アンダーソン,音楽,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,EP-000002670,優里,音楽,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,EP-000000883,アガサ・クリスティ,芸術・文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,EP-000000618,織田信成,スポーツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,EP-251214144100325,エルヴィス・プレスリー,音楽,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,EP-000001690,井深大,科学・技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,EP-000002678,坂本花織,スポーツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,EP-000007719,田原桂一,芸術・文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,EP-251214153202603,メル・ブルックス,エンターテイメント,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,EP-000001998,小林星蘭,エンターテイメント,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,EP-251217182019857,ハリー・ベラフォンテ,音楽,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,EP-000000121,満屋裕明,科学・技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,EP-000002570,勝海舟,芸術・文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,EP-251219022714906,ジョニー・グリーンウッド,音楽,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,EP-251218084240438,羽生結弦,スポーツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,EP-000002859,リンゼイ・ボン,スポーツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,EP-251217183319642,石川さゆり,音楽,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,EP-251218192925714,バカリズム,エンターテイメント,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,EP-000001064,大谷亮平,芸術・文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,EP-000001335,原田マハ,芸術・文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,EP-000000401,藤原紀香,エンターテイメント,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,EP-000006246,モーガン・フリーマン,芸術・文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,EP-000000008,森喜朗,スポーツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,EP-251218185058618,Sarah Wilson,科学・技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,EP-000006399,福見友子,スポーツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,EP-000003058,ケンブリッジ飛鳥,スポーツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,EP-251217211608392,宮川大輔,エンターテイメント,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,EP-000001623,鈴木章,科学・技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,EP-000000424,西和彦,科学・技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,EP-000009284,五嶋みどり,音楽,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,EP-000008604,Superfly,音楽,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,EP-000008059,グレッタ・トゥーンベリ,科学・技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,EP-000001633,伊東豊雄,芸術・文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,EP-000003917,細野晴臣,芸術・文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,EP-000000170,松本人志,エンターテイメント,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,EP-000007932,伊集院光,エンターテイメント,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,EP-000001510,貝原益軒,科学・技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,E4896B9A8,ムーラン,ムーラン,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,EP-000000601,胡蝶しのぶ,アニメ・漫画・ゲーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,E9073D9AC,マチルダ,レオン,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,EP-000000740,ニコ・ロビン,アニメ・漫画・ゲーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,EE317E765,キキ,魔女の宅急便,,,,,,,,,,,,,,,,,,,,,,,,,,,,
