sample_no,person_name,記憶性,共感性,意外性,生成品質,教育的価値,ストーリー品質,事実密度
1,RADWIMPSの野田洋次,9.1,6.5,5.1,8.9,7.2,8.0,10.0
2,剣持勇,9.2,6.9,5.8,9.0,6.4,8.6,10.0
3,アーノルド・シュワルツェネッガー,9.2,6.5,6.2,8.0,6.4,8.0,10.0
4,中島洋,8.5,7.9,7.4,8.1,7.0,8.6,8.5
5,江夏豊,9.1,7.2,5.1,8.9,6.4,8.0,10.0
6,ダニエル・ラドクリフ,9.6,7.6,6.9,8.1,6.6,8.6,10.0
7,木下是雄,9.6,6.9,8.1,8.1,6.4,8.6,10.0
8,羽生結弦,9.6,8.6,6.9,9.0,6.6,8.6,10.0
9,イアン・アンダーソン,9.6,6.9,8.1,8.0,6.0,8.0,10.0
10,優里,8.9,6.5,6.2,8.9,6.0,8.0,9.5
11,アガサ・クリスティ,9.6,6.5,8.6,8.9,6.0,8.0,10.0
12,織田信成,9.6,6.9,7.6,8.9,6.4,8.0,10.0
13,エルヴィス・プレスリー,9.4,7.2,5.8,8.9,7.0,8.0,10.0
14,井深大,9.2,7.2,5.8,9.0,7.2,8.6,10.0
15,坂本花織,9.6,6.5,7.6,8.9,6.4,8.0,10.0
16,田原桂一,9.6,6.9,8.1,8.0,6.0,8.0,10.0
17,メル・ブルックス,9.2,6.5,5.8,8.9,6.0,8.0,10.0
18,小林星蘭,9.6,7.6,6.5,9.0,7.0,8.6,10.0
19,ハリー・ベラフォンテ,9.2,6.5,6.2,9.0,6.8,8.6,10.0
20,満屋裕明,9.7,7.6,8.1,9.0,7.0,8.6,10.0
21,勝海舟,6.6,7.2,6.9,8.1,7.0,8.6,5.8
22,ジョニー・グリーンウッド,9.4,6.5,6.5,7.2,7.2,8.6,10.0
23,羽生結弦,9.4,7.6,5.8,8.1,6.6,8.6,10.0
24,リンゼイ・ボン,9.2,7.2,5.1,8.9,7.4,8.0,10.0
25,石川さゆり,9.1,6.5,5.1,8.9,7.2,8.0,10.0
26,バカリズム,9.6,7.2,6.5,9.0,6.6,8.6,10.0
27,大谷亮平,9.7,7.2,8.6,9.0,6.6,8.6,10.0
28,原田マハ,8.4,6.9,6.2,8.1,6.0,8.6,8.7
29,藤原紀香,7.5,6.9,9.0,8.9,6.4,8.0,7.1
30,モーガン・フリーマン,9.6,7.2,6.5,8.1,6.6,8.6,10.0
31,森喜朗,9.4,6.5,7.4,8.1,6.4,8.6,10.0
32,Sarah Wilson,9.1,6.9,5.1,8.9,6.4,8.0,10.0
33,福見友子,9.4,7.2,6.2,8.0,7.0,8.0,10.0
34,ケンブリッジ飛鳥,9.2,7.9,5.5,8.9,7.0,8.0,10.0
35,宮川大輔,8.8,6.5,5.1,8.9,6.4,8.0,9.5
36,鈴木章,9.6,7.6,6.5,9.0,8.6,8.6,10.0
37,西和彦,9.7,7.9,7.6,9.0,6.6,8.6,10.0
38,五嶋みどり,9.7,7.2,8.1,9.1,7.0,9.2,10.0
39,Superfly,9.4,7.6,6.7,8.0,6.6,8.0,10.0
40,グレッタ・トゥーンベリ,9.6,7.6,6.9,8.1,7.4,8.6,10.0
41,伊東豊雄,9.4,7.2,6.5,9.0,6.4,8.6,10.0
42,細野晴臣,9.4,7.6,5.8,8.9,6.6,8.0,10.0
43,松本人志,9.6,7.6,7.4,9.0,7.4,8.6,10.0
44,伊集院光,9.4,6.5,6.9,8.1,6.0,8.6,10.0
45,貝原益軒,6.3,6.5,5.8,8.1,7.2,8.6,5.7
46,ムーラン,7.6,7.6,6.5,9.0,7.4,8.6,7.2
47,胡蝶しのぶ,6.2,7.6,7.4,9.0,7.0,8.6,5.2
48,マチルダ,9.6,7.9,6.5,9.0,7.4,8.6,10.0
49,ニコ・ロビン,8.1,7.2,6.9,9.0,7.4,8.6,7.9
50,キキ,8.3,7.6,6.7,8.9,7.8,8.0,8.4
