sample_no,person_name,記憶性,共感性,意外性,生成品質,教育的価値,ストーリー品質,事実密度
1,RADWIMPSの野田洋次,8.8,6.5,4.8,8.8,7.0,8.0,9.5
2,剣持勇,8.8,6.9,4.8,8.8,6.0,8.0,9.5
3,アーノルド・シュワルツェネッガー,9.0,6.5,6.0,8.0,6.0,8.0,9.5
4,中島洋,8.5,7.9,7.2,8.2,6.5,8.7,8.2
5,江夏豊,8.8,7.2,4.8,8.8,6.0,8.0,9.5
6,ダニエル・ラドクリフ,9.4,7.6,6.6,8.2,6.0,8.7,9.5
7,木下是雄,9.4,6.9,7.8,8.0,6.0,8.0,9.5
8,羽生結弦,9.4,8.6,6.6,9.0,6.0,8.7,9.5
9,イアン・アンダーソン,9.2,6.9,7.2,8.2,5.5,8.7,9.5
10,優里,8.5,6.5,5.4,8.8,5.5,8.0,9.1
11,アガサ・クリスティ,9.4,6.5,8.4,8.8,5.5,8.0,9.5
12,織田信成,9.2,6.9,6.6,8.8,6.0,8.0,9.5
13,エルヴィス・プレスリー,9.2,7.2,5.4,8.8,6.5,8.0,9.5
14,井深大,9.0,7.2,5.4,9.0,7.0,8.7,9.5
15,坂本花織,9.4,6.5,7.2,8.8,6.0,8.0,9.5
16,田原桂一,9.4,6.9,7.8,8.0,5.5,8.0,9.5
17,メル・ブルックス,9.0,6.5,5.4,8.8,5.5,8.0,9.5
18,小林星蘭,9.4,7.6,6.0,9.0,6.5,8.7,9.5
19,ハリー・ベラフォンテ,9.0,6.5,6.0,9.0,6.5,8.7,9.5
20,満屋裕明,9.6,7.6,7.8,9.0,6.5,8.7,9.5
21,勝海舟,6.9,7.2,6.6,8.2,6.5,8.7,5.8
22,ジョニー・グリーンウッド,9.2,6.5,6.0,7.4,7.0,8.7,9.5
23,羽生結弦,9.2,7.6,5.4,8.2,6.0,8.7,9.5
24,リンゼイ・ボン,9.0,7.2,4.8,8.8,7.0,8.0,9.5
25,石川さゆり,8.8,6.5,4.8,8.8,7.0,8.0,9.5
26,バカリズム,9.4,7.2,6.0,9.0,6.0,8.7,9.5
27,大谷亮平,9.6,7.2,8.4,8.8,6.0,8.0,9.5
28,原田マハ,8.2,6.9,6.0,8.2,5.5,8.7,8.4
29,藤原紀香,7.6,6.9,9.0,8.8,6.0,8.0,6.9
30,モーガン・フリーマン,9.4,7.2,6.0,8.2,6.0,8.7,9.5
31,森喜朗,9.2,6.5,7.2,8.2,6.0,8.7,9.5
32,Sarah Wilson,8.8,6.9,4.8,8.8,6.0,8.0,9.5
33,福見友子,9.2,7.2,6.0,8.2,6.5,8.7,9.5
34,ケンブリッジ飛鳥,9.0,7.9,5.4,8.8,6.5,8.0,9.5
35,宮川大輔,8.5,6.5,4.8,8.8,6.0,8.0,9.1
36,鈴木章,9.4,7.6,6.0,9.0,8.5,8.7,9.5
37,西和彦,9.6,7.9,7.2,9.0,6.0,8.7,9.5
38,五嶋みどり,9.6,7.2,7.8,9.2,6.5,9.4,9.5
39,Superfly,9.2,7.6,6.6,8.0,6.0,8.0,9.5
40,グレッタ・トゥーンベリ,9.4,7.6,6.6,8.2,7.0,8.7,9.5
41,伊東豊雄,9.2,7.2,6.0,9.0,6.0,8.7,9.5
42,細野晴臣,9.2,7.6,5.4,8.8,6.0,8.0,9.5
43,松本人志,9.4,7.6,7.2,9.0,7.0,8.7,9.5
44,伊集院光,9.2,6.5,6.6,8.2,5.5,8.7,9.5
45,貝原益軒,6.4,6.5,5.4,8.2,7.0,8.7,5.7
46,ムーラン,7.7,7.6,6.0,9.0,7.0,8.7,6.9
47,胡蝶しのぶ,6.6,7.6,7.2,9.0,6.5,8.7,5.2
48,マチルダ,9.4,7.9,6.0,9.0,7.0,8.7,9.5
49,ニコ・ロビン,8.1,7.2,6.6,9.0,7.0,8.7,7.6
50,キキ,8.1,7.6,6.0,8.8,7.5,8.0,8.1
