episode_id,person_id,person_name,age,事実密度,composite_score
EP-000004,PA8CEB8F,梅若実,56.0,1.0,506.9
EP-000007,P0801AF9,梅原猛,65.0,3.08,518.6
EP-000009,PFED85B8,梅原大吾,64.0,1.9,492.3
EP-000026,PC9D4E1D,樋口恵子,73.0,3.15,520.4
EP-000027,P6F7AFF6,樋口可南子,43.0,3.14,636.7
EP-000030,P615E20C,楠田枝里子,61.0,1.2,493.7
EP-000031,P9452E8E,楠本利夫,29.0,2.83,587.1
EP-000032,P986117E,椎名林檎,17.0,1.9,481.2
EP-000033,P1A37AB4,植田直通,65.0,2.2,543.7
EP-000035,P0DEEA29,森見登美彦,21.0,2.9,502.7
EP-000036,PDE9E879,森美月,25.0,1.39,528.1
EP-000045,P77620F9,松田聖子,15.0,2.25,586.8
EP-000048,PDE2F08C,松本零士,75.0,2.76,622.0
EP-000054,P26511C7,松本清張,72.0,2.2,492.5
EP-000066,P38B2CD6,桂歌丸,61.0,2.7,546.8
EP-000069,PE4710AD,栗城史多,21.0,2.01,557.3
EP-000073,PDE99BF9,柳田邦男,71.0,2.49,521.5
EP-000074,PDE99BF9,柳田邦男,72.0,3.2,498.4
EP-000077,PC2C4341,柳田悠岐,53.0,1.77,548.2
EP-000085,P8C1A8E2,横田早紀江,62.0,2.7,529.0
EP-000086,P2A1AA1D,渡辺謙,25.0,1.0,509.1
EP-000087,P2A1AA1D,渡辺謙,18.0,1.58,511.3
EP-000090,PA067B47,渡辺淳一,63.0,3.4,589.3
EP-000100,P26BCCE5,清原和博,54.0,3.3,562.6
EP-000106,P8638CFE,渡邊雄太,25.0,2.96,521.9
EP-000109,P0B079A5,照ノ富士,25.0,1.96,569.3
EP-000110,PD314880,為末大,33.0,2.5,584.7
EP-000114,P33DB5A0,瀬戸内寂聴,70.0,1.0,488.2
EP-000117,PCDBD460,澤村拓一,53.0,2.7,532.0
EP-000121,P76283A3,満島真之介,25.0,3.08,520.0
EP-000127,P93FDC84,樹木希林,62.0,1.0,482.2
EP-000135,P35D1D18,毛利蘭,17.0,1.2,548.8
EP-000137,P548FFF3,武豊,70.0,1.39,617.9
EP-000141,PF7AD2E0,武田修宏,64.0,1.68,571.8
EP-000142,P279E22D,武尊,27.0,2.6,512.5
EP-000143,PA4ED899,武井壮,14.0,1.78,564.7
EP-000144,P06FCF1D,歌川広重,40.0,2.01,498.8
EP-000146,P8249E03,櫻井翔,32.0,3.1,539.9
EP-000154,PBB9C4C1,津田梅子,6.0,1.92,533.9
EP-000157,PAD58309,津川雅彦,66.0,2.2,533.2
EP-000158,P4B2EE87,河村隆一,25.0,3.19,561.8
EP-000161,PDA49E4B,池田大作,58.0,3.46,582.5
EP-000163,PDA49E4B,池田大作,73.0,2.8,535.7
EP-000169,PCACCC84,池上彰,22.0,1.68,517.1
EP-000170,PFF4AAE2,江戸川コナン,7.0,1.01,541.1
EP-000177,PCDDC643,押井守,38.0,3.33,558.2
EP-000179,PCE1CBF2,戸田恵梨香,25.0,3.25,555.0
EP-000182,PB054C65,恩田陸,52.0,3.34,558.9
EP-000184,P3900500,志村けん,75.0,3.1,541.5
EP-000186,P176F09A,張本勲,72.0,2.25,534.0
EP-000187,P80FAF70,庵野秀明,25.0,1.68,547.7
EP-000192,PDE5F549,平山郁夫,48.0,1.68,480.1
EP-000193,P81AC484,役所広司,25.0,1.87,587.1
EP-000195,PA866A00,新庄剛志,32.0,1.58,633.5
EP-000197,PE40F50B,有吉弘行,32.0,2.2,541.3
EP-000207,P1B35FF4,明治天皇,20.0,2.9,553.3
EP-000208,P5016AA8,早川英治,16.0,2.34,506.6
EP-000210,PCFA4BEC,日野原重明,66.0,2.7,630.4
EP-000213,P52498F7,日本人実業家の稲盛和夫,65.0,2.43,529.1
EP-000214,P43F9981,新渡戸稲造,37.0,2.12,493.6
EP-000223,P15394BD,岡田武史,55.0,2.25,568.1
EP-000227,PF01A690,岡本綾子,54.0,2.8,573.0
EP-000229,PF01A690,岡本綾子,67.0,1.68,577.3
EP-000230,P11BFE96,岡本太郎,22.0,1.68,586.5
EP-000232,P11BFE96,岡本太郎,48.0,3.2,501.1
EP-000236,PBC4ECE7,黒澤明,40.0,3.45,571.7
EP-000244,PC0BF59B,工藤新一,7.0,1.0,516.5
EP-000258,P0A0010A,島田紳助,55.0,2.68,490.8
EP-000266,PD9C231D,東京大学名誉教授の中村桂子,62.0,2.7,605.5
EP-000272,P956018E,村木厚子,34.0,1.9,499.8
EP-000273,P7216F84,村山斉,47.0,3.4,509.9
EP-000275,P2D31CE8,村井純,19.0,2.25,543.8
EP-000277,P4D4D097,村上龍,46.0,2.68,546.0
EP-000280,PDD62718,村田沙耶香,43.0,1.6,501.1
EP-000281,P8C2BDAC,松下幸之助,32.0,3.15,514.2
EP-000282,P8C2BDAC,松下幸之助,55.0,2.76,673.2
EP-000283,PD4AA54D,松井保,68.0,3.07,594.7
EP-000285,P60F2F90,松岡修造,61.0,1.96,549.3
EP-000295,PFD43743,松井秀喜,21.0,2.8,558.0
EP-000296,PFD43743,松井秀喜,45.0,2.09,589.5
EP-000302,P919A872,松井大輔,36.0,2.56,522.4
EP-000307,P677360C,本田圭人,17.0,2.46,546.6
EP-000309,PA76B11E,本村昌紀,33.0,2.21,540.6
EP-000311,PBB3BA57,本庶佑,50.0,2.34,596.0
EP-000312,PAC72636,本多光太郎,61.0,1.77,591.5
EP-000314,PF8D680D,木村重信,73.0,1.3,510.5
EP-000316,P20346E9,木村花,19.0,2.53,557.6
EP-000322,P226B5A7,木村貴志,67.0,2.4,582.0
EP-000326,P38A82F1,村上世彰,52.0,3.2,515.0
EP-000327,PE221FCC,杉村太蔵,71.0,3.25,556.3
EP-000328,PF227C2D,杉本博司,60.0,1.77,487.8
EP-000331,P3781290,杉山愛,48.0,1.8,561.0
EP-000333,PBB1FC74,杉原千畝,66.0,1.4,554.9
EP-000343,PEFFF507,本田望結,21.0,1.96,519.8
EP-000348,P816A697,玉置浩二,56.0,2.34,525.1
EP-000350,P027F56C,輝夜月,1.0,2.67,550.1
EP-000354,PEEE9012,赤松良子,58.0,3.4,510.0
EP-000360,PB59EEA4,谷川俊太郎,73.0,1.0,505.6
EP-000369,P6AEF545,道場六三郎,62.0,3.15,543.9
EP-000371,P93F1A4F,野村秋介,75.0,1.0,501.2
EP-000374,P732CFDC,野村克也,45.0,3.44,578.0
EP-000375,PBCE4F84,野村万作,72.0,2.87,609.8
EP-000376,P3A763A2,野口英世,28.0,2.56,483.8
EP-000378,P94BD701,野口聡一,72.0,1.1,525.1
EP-000380,P510FAC8,野口佳世子,56.0,2.4,571.5
EP-000396,P3B198DC,藤田田,25.0,2.23,510.1
EP-000400,P86DDA8E,藤田紀子,57.0,1.96,558.7
EP-000404,PA215CA1,藤原美穂,58.0,1.9,538.0
EP-000406,PDF3F705,藤原紀香,33.0,1.9,533.2
EP-000411,P0DB9D32,藤野彰,26.0,1.87,544.0
EP-000415,P7AD33AD,西野朗,15.0,2.46,544.6
EP-000417,PB92AD92,西野七瀬,15.0,3.0,579.6
EP-000421,P83612DF,西村嘉央,67.0,1.2,482.1
EP-000426,PF5F76B1,西川廣人,65.0,2.96,581.7
EP-000432,P2AEBC63,蟹江敬三,31.0,2.1,553.0
EP-000435,P12074EA,野田佳彦,32.0,3.46,552.9
EP-000438,P4520485,高橋大輔,56.0,1.9,499.7
EP-000441,P1B25302,高橋周平,63.0,2.56,394.5
EP-000444,P53579A1,高橋健一,62.0,1.59,537.9
EP-000447,P591CF4F,高倉健,75.0,1.71,587.1
EP-000448,P591CF4F,高倉健,69.0,1.5,591.3
EP-000450,PD80FDA9,養老孟司,74.0,2.01,490.0
EP-000451,PD80FDA9,養老孟司,53.0,1.68,548.7
EP-000452,P0315EF8,飯島澄男,69.0,2.2,615.9
EP-000456,PC89479D,高橋源一郎,57.0,2.47,563.6
EP-000457,P2473487,黒沢清,53.0,1.68,515.9
EP-000466,PE0E89D1,髙橋尚子,57.0,3.33,558.2
EP-000469,P43EE66E,高畑勲,15.0,1.58,550.4
EP-000474,P694AD22,高橋義雄,69.0,1.68,524.3
EP-000475,PB582B41,青野慶久,26.0,3.1,601.0
EP-000476,P7A59D4A,野田秀樹,74.0,1.2,543.2
EP-000481,P2DD3C2A,鈴木浩二,56.0,1.8,485.0
EP-000487,PF239048,鈴木誠一,55.0,1.01,547.5
EP-000489,P40891EA,鈴木啓示,54.0,1.68,535.9
EP-000490,P5DD04A3,鈴木信太郎,67.0,3.0,539.1
EP-000494,PA61DDAA,金本知憲,59.0,2.21,499.3
EP-000500,P72D8D22,長友佑都,24.0,3.19,548.8
EP-000507,PD0FDE41,長谷部誠,39.0,2.53,651.5
EP-000510,P99260B5,長谷川眞理子,62.0,3.15,529.3
EP-000511,PA58D8D1,長谷川潔,75.0,3.18,607.0
EP-000512,P81C91BC,長谷川滋利,67.0,2.83,623.0
EP-000517,PC2131F8,長嶋一茂,58.0,3.15,490.5
EP-000519,P0898C9B,葛飾北斎,70.0,3.34,509.6
EP-000521,P24BA870,葉加瀬太郎,17.0,2.07,538.0
EP-000537,P7382ABE,白井貴子,68.0,1.6,579.5
EP-000538,P19C30E7,白井克彦,69.0,1.71,599.6
EP-000541,PE00671F,石井裕也,21.0,2.34,527.6
EP-000542,PE00671F,石井裕也,16.0,3.4,572.0
EP-000547,P00A8693,福井謙一,45.0,3.4,542.5
EP-000548,P5AD8ECE,福井信夫,59.0,1.8,515.8
EP-000549,P5129620,神田沙也加,16.0,2.2,574.0
EP-000550,P7D78194,磯崎新,60.0,3.33,590.3
EP-000551,PEA276D8,碇シンジ,14.0,2.7,501.9
EP-000557,PD8BDC76,石川武,39.0,2.6,534.2
EP-000559,P82CFB5F,石川五右衛門,34.0,1.0,517.7
EP-000560,P6B4C02C,石坂浩二,62.0,1.0,507.1
EP-000561,P4E784FA,石原慎太郎,16.0,3.18,570.4
EP-000567,P7D0FB0B,田中美奈子,22.0,1.2,553.8
EP-000568,P0A7035E,田中秀和,58.0,1.79,536.2
EP-000569,P8A3A7A9,田中淳一,55.0,1.9,537.1
EP-000572,PA15BCF1,田中幸子,57.0,1.0,489.9
EP-000579,P200535C,田中兼作,54.0,2.07,541.7
EP-000581,PF9BE55D,田中信行,63.0,3.2,530.8
EP-000582,P18F0F2D,田中信夫,58.0,3.42,605.8
EP-000585,PD202C30,田中啓治,52.0,1.39,575.9
EP-000588,PDBCB8CD,田中耕治,61.0,1.87,632.8
EP-000589,P1481FAE,田母神俊雄,22.0,1.58,576.5
EP-000591,P3513777,田村正和,68.0,2.3,524.9
EP-000593,PFDB11AC,田村勝正,66.0,2.9,515.9
EP-000599,P14A02D0,田中雅美,62.0,3.23,546.8
EP-000601,P2AD7DE6,田中角栄,58.0,3.18,519.5
EP-000603,PA445963,田中良和,66.0,1.9,565.0
EP-000605,PA445963,田中良和,28.0,2.89,591.5
EP-000611,PE18FF89,胡蝶しのぶ,18.0,1.59,537.5
EP-000613,PD45DD70,羽田健太郎,36.0,2.56,536.6
EP-000619,P73422E6,芥川龍之介,23.0,2.9,520.4
EP-000635,P3AC312D,華岡青洲,40.0,3.1,637.5
EP-000636,P6E1AF17,菜々緒,25.0,2.76,578.3
EP-000638,PFA5F1B8,荒木飛呂彦,64.0,2.25,547.8
EP-000644,P2FC4699,草間彌生,87.0,3.34,515.0
EP-000645,P24DC17B,草野心平,70.0,2.47,539.7
EP-000646,P07CEE9A,草野マサムネ,27.0,3.19,499.9
EP-000649,P00BE6DA,茂木健一郎,19.0,2.34,547.9
EP-000653,P9BB1832,米田智彦,43.0,2.83,540.0
EP-000654,P77AEA02,稲盛和夫,52.0,2.01,558.4
EP-000656,P46CF181,稲川淳二,62.0,2.09,604.1
EP-000660,P4570CB5,福田雄一,74.0,1.68,522.2
EP-000661,PAD45E47,福田萌,21.0,2.67,535.9
EP-000664,P0690D4F,福田和也,29.0,2.25,574.7
EP-000667,P29B3AB0,福沢諭吉,26.0,2.25,549.4
EP-000668,P29B3AB0,福沢諭吉,39.0,1.59,518.2
EP-000673,P77AEA02,稲盛和夫,68.0,2.7,614.3
EP-000682,P059B4BD,篠原一男,54.0,2.9,616.4
EP-000686,P3C16A53,竹内結子,23.0,2.9,541.5
EP-000690,P4F2E1FB,竹内敏晴,59.0,3.15,586.9
EP-000691,P6769909,竹中平蔵,72.0,1.6,529.4
EP-000693,P483F3B8,立川談志,27.0,3.46,595.5
EP-000694,PEDD9C7A,竈門禰豆子,12.0,1.0,603.9
