episode_id,person_id,person_name,text_name,mismatch_type
EP-000145,P52AE294,菅井友香,櫻坂46,name_content_mismatch
EP-000718,PC4106D4,駒場孝,ミルクボーイ,name_content_mismatch
EP-000915,P3760666,堂本光一,KinKi Kids,name_content_mismatch
EP-000926,PE66B8A0,アールエム,BTS,name_content_mismatch
EP-000927,P0D055BE,ジス,BLACKPINK,name_content_mismatch
EP-000931,PF6F6AEC,吉田美和,DREAMS COME TRUE,name_content_mismatch
EP-000937,PB902EE9,ナヨン,TWICE,name_content_mismatch
EP-000948,PB30B3FE,山本彩,NMB48,name_content_mismatch
EP-001338,PFA1A82D,大悟,千鳥,name_content_mismatch
EP-001880,PC40E5B3,YOASOBI（幾田りら）,幾田りら,name_content_mismatch
EP-002026,P809C717,濱田龍臣,濱田龍臉,name_content_mismatch
EP-EAE223,PF57751,オスカー・ワイルド,申し訳ございません,name_content_mismatch
EP-977319,P394D920,ベートーベン,ベートーヴェン,name_content_mismatch
EP-977375,P1CA7ABC,松本人志,ダウンタウン,name_content_mismatch
EP-977447,P3760666,堂本光一,KinKi Kids,name_content_mismatch
EP-977448,P10DE637,岡田准一,V6,name_content_mismatch
EP-977471,PF6F6AEC,吉田美和,DREAMS COME TRUE,name_content_mismatch
EP-251205562,PC4A4D22,水溜りボンド カンタ,水溜りボンドのカンタ,name_content_mismatch
EP-251130001,P63119D0,倍賞千恵子,フィボナッチ,name_content_mismatch
EP-251130002,P5A077D2,東郷平八郎,石田真敏,name_content_mismatch
EP-251130003,P04DA829,小泉今日子,古河虎之助,name_content_mismatch
EP-251130004,P1073C09,平清盛,菱田春草,name_content_mismatch
EP-251130005,PA5B78DE,源義経,毛利輝元,name_content_mismatch
EP-251130006,P81AD59C,宮沢賢治,高野長英,name_content_mismatch
EP-251130006,PC239DD8,石川啄木,高野長英,name_content_mismatch
EP-251130006,P30278AE,よしもとばなな,高野長英,name_content_mismatch
EP-251130006,PC2D8EC3,江戸川乱歩,高野長英,name_content_mismatch
EP-251130006,PDE9442F,ウィリアム・シェイクスピア,高野長英,name_content_mismatch
EP-251130006,P1AA60EA,チャールズ・ディケンズ,高野長英,name_content_mismatch
EP-251130006,P2595B54,アーネスト・ヘミングウェイ,高野長英,name_content_mismatch
EP-251130006,P50CB213,フョードル・ドストエフスキー,高野長英,name_content_mismatch
EP-251130006,P4BD0257,レフ・トルストイ,高野長英,name_content_mismatch
EP-251130006,P8E6D623,ジョージ・オーウェル,高野長英,name_content_mismatch
EP-251130006,P76108A7,J・K・ローリング,高野長英,name_content_mismatch
EP-251130006,PE2FAD8,スティーヴン・キング,高野長英,name_content_mismatch
EP-251130006,P9A63709,マーガレット・アトウッド,高野長英,name_content_mismatch
EP-251130006,P7E2047A,サリンジャー,高野長英,name_content_mismatch
EP-251130010,P4075660,岸惠子,大成建設創業者大倉喜七郎,name_content_mismatch
EP-251130012,P16A1F1E,中島みゆき,岡田啓介,name_content_mismatch
EP-251130021,P32BB33,ジョン・レノン,ビートルズのポール・マッカートニー,name_content_mismatch
EP-251130023,P5172E80,チャーリー・チャップリン,ザック・エフロン,name_content_mismatch
EP-251130033,P1278EF8,秋元康,平安時代の藤原頼通,name_content_mismatch
EP-251130034,P5577B57,中臣鎌足,諸葛亮,name_content_mismatch
EP-251130036,P32BB33,ジョン・レノン,世耕弘成,name_content_mismatch
EP-251130036,PC2923E6,フランク・シナトラ,世耕弘成,name_content_mismatch
