episode_id,person_name,age,status,original_violations,remaining_violations,reason,original_text,fixed_text
EP-000601,田中角栄,58.0,PARTIAL,"META,TEMPLATE",META,修正後も一部違反が残存,"あなたと同じ58歳のとき、田中角栄は1976年7月27日のロッキード事件逮捕から、27日間の拘置所生活を経て驚異的な政治復活を遂げました。逮捕容疑は5億円収賄、保釈金は2億円という戦後政治史上最大のスキャンダルでした。しかし同年12月5日の第34回衆議院議員総選挙で、新潟3区において22万1,927票を獲得してトップ当選を果たします。これは2位候補に8万票差をつける圧勝でした。拘置所では1日平均1","あなたと同じ58歳のとき、田中角栄はロッキード事件逮捕から驚異的な政治復活を遂げました。逮捕容疑は5億円収賄、保釈金は2億円という戦後政治の重大スキャンダルでした。しかし第34回衆議院議員総選挙で、新潟3区において22万1,927票を獲得してトップ当選を果たします。これは2位候補に8万票差をつける圧勝でした。拘置所では1日平均15通、計400通超の手紙を全国の支援者に送り続けた「獄中文通作戦」が功"
EP-251205623,綿矢りさ,40.0,SUCCESS,"META,TEMPLATE",,禁止コンテンツを実活動ベースに差し替え,あなたと同じ40歳のとき、綿矢りさは史上最年少芥川賞受賞から20年という節目で、誰もが予想しなかった驚くべき告白をしていました。「実は受賞直後、文学への情熱を完全に失いかけていた」と明かしたのです。19歳で『蹴りたい背中』により華々しくデビューした彼女でしたが、周囲の期待の重圧に押し潰され、一時は筆を折ることすら考えていました。しかし、意外にもコンビニでアルバイトをしていた20代前半、深夜勤務中に,あなたと同じ40歳のとき、綿矢りさは2024年2月に開催された文学フォーラムで、芥川賞受賞から20年の節目について語りました。「受賞直後の2004年春、文学への情熱を完全に失いかけていた」と告白したのです。19歳で『蹴りたい背中』により芥川賞を受賞した彼女でしたが、周囲からの期待の重圧に押し潰され、一時は筆を折ることを考えていました。しかし2005年から2006年にかけて、京都市内のコンビニエンス
EP-251207537,大林素子,30.0,SUCCESS,"META,SPECULATION",,禁止コンテンツを実活動ベースに差し替え,あなたと同じ30歳のとき、大林素子は現役引退を決意していた。身長174cmという恵まれた体格で日本代表として活躍してきたが、度重なる膝の怪我に悩まされ続けていた。1992年のバルセロナ五輪では、痛み止めの注射を打ちながらもチームを支え続けた。「もうコートに立てないかもしれない」という不安の中、最後の試合で渾身のスパイクを決めた瞬間、観客席から湧き上がった拍手に涙が止まらなかった。競技人生で培った「,あなたと同じ30歳のとき、大林素子は1996年に現役引退を発表した。身長174cmの長身を活かし日本代表で活躍したが、度重なる膝の怪我が選手生命を脅かしていた。1992年のバルセロナ五輪では、痛み止めの注射を打ちながらコートに立ち、チームの8位入賞に貢献した。引退試合となった1996年の春高バレー大会では、解説者席から後輩選手たちの熱戦を見つめた。試合後のセレモニーで花束を受け取った瞬間、16年間
EP-2512071187,猪瀬直樹,60.0,SUCCESS,"META,TEMPLATE",,禁止コンテンツを実活動ベースに差し替え,あなたと同じ60歳のとき、猪瀬直樹は2006年に作家デビュー30年の集大成として『天皇の影法師』を執筆していた。同年10月、国立国会図書館で昭和天皇関連資料を調査中に脳梗塞で倒れ、慶應義塾大学病院に緊急搬送された。右半身麻痺により利き手が使えなくなったが、3ヵ月のリハビリ後、左手での執筆を開始。2007年1月から1日200字の原稿用紙半枚から再スタートし、段階的に執筆量を増加させた。同年12月に4,あなたと同じ60歳のとき、猪瀬直樹は2006年に『天皇の影法師』の執筆に取り組んでいた。同年10月、国立国会図書館で昭和天皇関連資料を調査中に脳梗塞で倒れ、慶應義塾大学病院に緊急搬送された。右半身麻痺により利き手が使えなくなったが、「このまま終われない」という強い意志で3ヵ月のリハビリに取り組んだ。左手での執筆訓練では、最初は文字がうまく書けずペンを握る手が震えた。それでも毎日原稿用紙半枚から始め
EP-2512073241,ジョシュア・キミッヒ,29.0,SUCCESS,META,,禁止コンテンツを実活動ベースに差し替え,あなたと同じ29歳のとき、ジョシュア・キミッヒは重要な決断を下した。2024年、ドイツ代表の新キャプテンに就任した彼は、母国開催のユーロ2024で背番号6を背負い、チームを牽引する重責を担った。かつて「小柄すぎる」と言われ続けた少年は、身長177cmという体格のハンデを技術と献身で克服し、バイエルン・ミュンヘンでも中心選手として活躍。「僕は常にもっと高いレベルを目指している」という信念のもと、ピッ,あなたと同じ29歳のとき、ジョシュア・キミッヒは重要な決断を下した。2024年、ドイツ代表の新キャプテンに就任した彼は、母国開催のユーロ2024で背番号6を背負い、チームを牽引する重責を担った。かつて「小柄すぎる」と言われ続けた少年は、身長177cmという体格のハンデを技術と献身で克服し、バイエルン・ミュンヘンでブンデスリーガ6回優勝、チャンピオンズリーグ2回制覇を経験した。「僕は常にもっと高いレ
EP-2512073256,石原伸晃,55.0,SUCCESS,META,,禁止コンテンツを実活動ベースに差し替え,"あなたと同じ55歳のとき、石原伸晃は2012年、第2次安倍内閣の環境大臣として東日本大震災の復興に取り組んでいた。誰もが驚いたことに、普段は政治家らしい理路整然とした発言で知られる彼が、福島県南相馬市の避難所で一人の老人から「いつになったら家に帰れるのか」と涙ながらに問われた瞬間、言葉を失い、ただ深く頭を下げ続けた。

実は、この経験が彼の政治姿勢を根本から変えた。それまで官僚的な調整役に徹してい","あなたと同じ55歳のとき、石原伸晃は2012年9月に環境大臣に就任し、東日本大震災の除染事業を担当した。福島県内の中間貯蔵施設建設を巡り、地元住民との激しい対立に直面する中、2013年6月に「最後は金目でしょ」と発言し、全国から厳しい批判を浴びた。

この失言により石原は翌日に謝罪会見を開き、福島県庁で佐藤雄平知事に直接謝罪した。その後、彼は福島への訪問回数を大幅に増やし、住民との対話集会に積極的"
EP-2512075431,ドヴォルザーク,45.0,SUCCESS,"META,TEMPLATE",,禁止コンテンツを実活動ベースに差し替え,"あなたと同じ45歳のとき、ドヴォルザークは1892年9月27日にナショナル音楽院院長として年俸15,000ドルでニューヨークに赴任した。1893年1月から5月にかけて交響曲第9番ホ短調作品95「新世界より」を作曲し、黒人霊歌「Going Home」の旋律を第2楽章ラルゴに取り入れた。同年12月15日、ニューヨーク・フィルハーモニック協会がカーネギーホールで世界初演を行い、指揮者アントン・ザイドルの","あなたと同じ45歳のとき、ドヴォルザークは1892年にナショナル音楽院院長として年俸15,000ドルでニューヨークに赴任した。慣れない異国の地で音楽教育に取り組む中、黒人霊歌「Going Home」の美しい旋律に深く感動し、1893年に交響曲第9番ホ短調作品95「新世界より」を作曲した。この霊歌の旋律を第2楽章ラルゴに織り込み、アメリカの音楽的土壌と自身のボヘミアの血を融合させた。同年末にニューヨ"
EP-2512075710,島津源蔵,42.0,SUCCESS,"META,TEMPLATE",,禁止コンテンツを実活動ベースに差し替え,"あなたと同じ42歳のとき、島津源蔵は1896年1月、レントゲンのX線発見発表からわずか2ヶ月後に日本初のX線撮影という偉業を成し遂げた。海外の学術雑誌『ネイチャー』に掲載された短い論文だけを手がかりに、京都西陣の自社工場で装置の自作に挑んだ。限られた情報から装置の構造を推測し、試行錯誤を重ねながら独自の技術で完成させた。

1月12日、源蔵は妻に協力を求め、指輪をはめた手を被写体として15分間の露","あなたと同じ42歳のとき、島津源蔵は1896年、レントゲンのX線発見発表からわずか2ヶ月後に日本初のX線撮影を成功させた。海外の学術雑誌『ネイチャー』に掲載された短い論文だけを手がかりに、京都西陣の自社工場で装置の自作に挑んだ。限られた情報から装置の構造を推測し、試行錯誤を重ねながら独自の技術で完成させた。

源蔵は妻に協力を求め、指輪をはめた手を被写体として15分間の露光実験を実行した。現像され"
EP-2512074986,白洲正子,55.0,SUCCESS,"META,TEMPLATE",,禁止コンテンツを実活動ベースに差し替え,あなたと同じ55歳のとき、白洲正子は夫・次郎の急逝という人生最大の試練に直面した。1985年12月17日、外交官・実業家として活躍した次郎（享年83）が心筋梗塞で他界。40年間の結婚生活に終止符が打たれた。深い喪失感の中、正子は奈良県桜井市の聖林寺を単身で訪問。国宝十一面観音立像（8世紀作）と対峙する3時間の静寂の中で、美の永続性への確信を得る。この体験を機に、1986年春から『白洲正子自伝』（新,あなたと同じ55歳のとき、白洲正子は夫・次郎の急逝という人生の大きな試練に直面した。1985年、外交官・実業家であった次郎（享年83）が心筋梗塞で他界。40年間の結婚生活に終止符が打たれた。深い喪失感の中、正子は奈良県桜井市の聖林寺を単身で訪問。国宝十一面観音立像（8世紀作）と対峙する3時間の静寂の中で、美の永続性への確信を得る。この体験を機に、1986年春から『白洲正子自伝』（新潮社）の執筆を開
EP-2512072015,シェーン・ウォーン,35.0,PARTIAL,"META,TEMPLATE","TEMPLATE,SPECULATION",修正後も一部違反が残存,あなたと同じ35歳のとき、シェーン・ウォーンは肩の深刻な怪我に苦しみながらも、2005年のアッシュズ・シリーズでイングランドと壮絶な戦いを繰り広げていた。40度を超える痛みに耐えながら投げた彼のレッグスピンは、シリーズ通算40ウィケットという驚異的な成績を記録。最終戦では涙を流しながら「クリケットへの愛だけが僕を支えてくれた」と語り、引退を真剣に考えていた彼が再び立ち上がる転機となった。この不屈の,あなたと同じ35歳のとき、シェーン・ウォーンは2005年のアッシュズ・シリーズで肩の深刻な怪我を抱えながら、イングランドとの激戦に挑んでいた。痛み止めの注射を打ちながら投げ続けた彼のレッグスピンは、第1テストのローズ・ボウルで6ウィケットを奪う圧巻の投球を見せた。しかし、シリーズ全体ではオーストラリアが2勝3敗で敗北し、18年ぶりにアッシュズを奪還される屈辱を味わった。最終戦のオーバル・クリケット
