index,episode_id,person_id,person_name,age,person_type,episode_text_preview
141,"EP-000,142",P35D1D18,毛利蘭,17.0,FICTIONAL,17歳の時、蘭は母の代わりに毛利家の家事をこなしながら、空手の大会に出場することになった。試合中、強敵との激しい戦いになり、逆転の一撃で見事勝利を収めた。
142,"EP-000,143",PE439736,毛利小五郎,38.0,FICTIONAL,38歳の時、毛利小五郎は「毛利探偵事務所」の誇りをかけて、難解な事件に挑むことになった。自信を持って推理を始めた小五郎だったが、途中で行き詰まりを感じる。しかし、妻の妃英理からの励ましやコナンからのヒ...
176,"EP-000,177",PA899585,江戸川コナン,7.0,FICTIONAL,7歳の時、江戸川コナンは友達と一緒に森で迷子になってしまった。しかし、彼の推理力と冷静な判断力が光り、仲間を安全な場所に導くことができた。
250,"EP-000,251",PC0BF59B,工藤新一,7.0,FICTIONAL,7歳の時、工藤新一は学校の授業中に突然起きた事件を解決することになった。先生が机の中にしまっていた大切な指輪がなくなってしまい、クラスメイトたちも騒然としていたが、新一は冷静に状況を分析し、指輪の行方...
362,"EP-000,363",P027F56C,輝夜月,1.0,FICTIONAL,輝夜月は2017年にデビューし、ハイテンションな動画で「首絞めハム太郎」の愛称で人気を博した。Vtuber四天王の一人として、黎明期のVtuber文化を盛り上げた。
515,"EP-000,516",P4F5B4EC,鉄腕アトム,10.0,FICTIONAL,鉄腕アトムは天馬博士が亡き息子トビオの代わりに2003年4月7日に製造したロボットです。10万馬力のパワーと7つの能力（空を飛ぶ力、60以上の言語を話す力、善悪を見分ける電子頭脳など）を持ち、お茶の水...
570,"EP-000,571",PEA276D8,碇シンジ,14.0,FICTIONAL,碇シンジは14歳の時、10年ぶりに父ゲンドウに呼ばれて第3新東京市に到着しました。第3使徒サキエルが襲来し、綾波レイが重傷を負う中、エヴァンゲリオン初号機のパイロット（サードチルドレン）として初めて搭...
631,"EP-000,632",PE18FF89,胡蝶しのぶ,18.0,FICTIONAL,18歳の時、しのぶは柱としての力をさらに高めるため、厳しい修行を積んでいた。ある日、自らが鬼と化してしまった人間を救う任務を与えられる。苦悩しながらも、仲間たちと協力し成功させ、成長を遂げた。
716,"EP-000,717",PEDD9C7A,竈門禰豆子,12.0,FICTIONAL,12歳の時、禰豆子は人間になるための方法を求め、山中の古い神社にたどり着く。そこで出会った神様から、試練を与えられる。禰豆子は自分の強さや優しさを試されながら、新たな力を手に入れることに成功する。
717,"EP-000,718",PF5A4BF7,竈門炭治郎,15.0,FICTIONAL,竈門炭治郎は15歳の時、無限列車に乗車中の200名以上の乗客を守るため、下弦の壱・魘夢と死闘を繰り広げました。炎柱・煉獄杏寿郎、我妻善逸、嘴平伊之助と共に、魘夢が列車全体を支配する強制昏倒の血鬼術に立...
728,"EP-000,729",P6C10B66,マリオ,30.0,FICTIONAL,マリオは配管工として働いていましたが、クッパ大王にさらわれたピーチ姫を救うため、キノコ王国での冒険を始めました。1-1のステージでクリボーを踏んで倒し、土管の中を通って隠しコインを発見しました。スーパ...
730,"EP-000,731",P7D842E7,ミライアカリ,2.0,FICTIONAL,ミライアカリは2017年にデビューし、Vtuber四天王の一人として活躍した。エイレーン企画から生まれ、親しみやすいキャラクターで登録者数100万人を超える人気を獲得。
736,"EP-000,737",P947E586,ホロライブ,4.0,FICTIONAL,ホロライブは2017年に設立されたVtuber事務所として、日本最大級のバーチャルタレント集団に成長した。白上フブキ、兎田ぺこらなど人気タレントを多数輩出し、世界中にファンを持つ。
742,"EP-000,743",P3FE3113,モンキー・D・ルフィ,17.0,FICTIONAL,モンキー・D・ルフィは17歳で東の海から海賊王を目指して出航しました。航海士ナミの故郷ココヤシ村では、魚人海賊団アーロン一味が村を支配していました。ルフィはアーロンパークに乗り込み、ナミの「助けて」と...
750,"EP-000,751",PBFB86A5,ルパン三世,30.0,FICTIONAL,ルパン三世は怪盗アルセーヌ・ルパンの孫を自称する大泥棒として、次元大介、石川五ェ門と共に世界中の秘宝を狙っています。カリオストロ公国では、偽札工場が隠された古城に潜入し、クラリス姫を悪党カリオストロ伯...
773,"EP-000,774",P08240F4,ニコ・ロビン,28.0,FICTIONAL,28歳の時、ニコ・ロビンは新たなポニャグリフを手に入れるために、危険な遺跡への探検に挑む。そこで、かつての仲間との友情を再確認し、自らの過去や未来に対する使命感がさらに深まる。
776,"EP-000,777",P91FC66A,ナミ,10.0,FICTIONAL,10歳の時、ナミは村の子供たちと一緒に海岸で貝殻を集めていた。突然、大きな波が押し寄せ、子供たちが海に流されてしまう危機に。ナミは恐怖を抱えながらも、自分の強さを信じて一人ずつ子供たちを助け出した。そ...
777,"EP-000,778",PE255F82,ドラえもん,10.0,FICTIONAL,ドラえもんは22世紀からタイムマシンで訪れ、のび太の成績が「0点」ばかりだった小学5年生の時期を支え続けました。四次元ポケットから取り出す「どこでもドア」で世界中を瞬時に移動し、「タケコプター」で空を...
779,"EP-000,780",P3C79CC1,トニートニー・チョッパー,0.0,FICTIONAL,0歳の時、トニートニー・チョッパーは鼻をくんくんと嗅ぎながら、森の中をひとりで冒険していた。突然、お腹が空いたと感じたチョッパーは、不思議な実を見つけ、思わず食べてしまった。すると、その実の力でチョッ...
794,"EP-000,795",PAC3E10B,フグ田サザエ,23.0,FICTIONAL,23歳の時、サザエは地域の子どもたちのためにボランティア活動を始めることになる。子どもたちと一緒に遊びながら、笑顔と元気を届けることで地域の絆を深めていく。
799,"EP-000,800",P59F8D5D,ピカチュウ,10.0,FICTIONAL,ピカチュウはサトシが10歳で旅を始めた最初の日、マサラタウンのオーキド博士から受け取ったパートナーでした。当初はサトシに懐かず電撃で攻撃していましたが、トキワの森でオニスズメの群れに襲われた際、サトシ...
809,"EP-000,810",PC0B3CC6,ロロノア・ゾロ,19.0,FICTIONAL,19歳の時、ロロノア・ゾロは新たな剣術の修行を始めるため、伝説の剣士・鷹の目のミホークのもとを訪れた。ミホークは強敵との戦いで真の力を見せるよう命じ、厳しい修行が始まった。日々の厳しい稽古の中で、ゾロ...
906,"EP-000,907",P1281647,はたけカカシ,5.0,FICTIONAL,5歳の時、はたけカカシは木ノ葉隠れの里での忍者アカデミーの授業で初めて影分身の術を成功させた。周囲の仲間たちに驚きと称賛を浴びながら、カカシは自信をつけていく。
908,"EP-000,909",PC8F35A3,にじさんじ,5.0,FICTIONAL,にじさんじは2018年にデビューし、150名以上のライバーを擁する日本最大級のVtuberグループに成長した。月ノ美兎、葛葉など個性豊かなタレントが活躍。ANYCOLOR社として東証上場も果たした。
916,"EP-000,917",P57DFFA3,うずまきナルト,12.0,FICTIONAL,うずまきナルトは12歳で中忍試験に参加し、予選では日向ネジと対決しました。「落ちこぼれ」と蔑まれながらも、九尾の力と多重影分身の術、そして自来也から学んだ螺旋丸を駆使してネジを倒しました。13歳の時、...
1010,"EP-001,011",PBB4743C,サンジ,13.0,FICTIONAL,13歳の時、サンジは海賊船での修行中に、料理人としての才能を開花させるきっかけとなる出来事があった。船員たちが食中毒になってしまい、サンジは食材を駆使して全員を救うことに成功した。この経験が彼の料理へ...
1025,"EP-001,026",P5822AC5,セーラームーン（月野うさぎ）,14.0,FICTIONAL,月野うさぎは14歳の中学2年生の時、黒猫ルナに選ばれてセーラームーンに覚醒しました。当初は泣き虫で成績も悪い普通の女の子でしたが、仲間たちと共にダーク・キングダムのクイン・ベリルと戦いました。幻の銀水...
1037,"EP-001,038",PF57640C,サトシ,6.0,FICTIONAL,6歳の時、サトシは森で迷子になってしまった。不安そうな表情を浮かべながらも、ポケモンのピカチュウが彼を導いてくれた。サトシはピカチュウの背中に乗り、一緒に冒険を楽しんだ。
1044,"EP-001,045",PF14E82F,ウルトラマン,30.0,FICTIONAL,ウルトラマンはM78星雲光の国から地球に到着し、科学特捜隊のハヤタ隊員と一体化しました。第1話では怪獣ベムラーを倒し、第2話では宇宙忍者バルタン星人の侵略を「八つ裂き光輪」と「スペシウム光線」で阻止し...
1054,"EP-001,055",P6D1322F,アンパンマン,5.0,FICTIONAL,アンパンマンはジャムおじさんが作ったあんパンに命が宿って誕生したヒーローです。お腹を空かせた子供たちに自分の顔を分け与え、弱ったら「新しい顔よ！」と交換して再び元気になります。宿敵ばいきんまんが「バイ...
1060,"EP-001,061",P93043BF,キズナアイ,2.0,FICTIONAL,キズナアイは2016年にデビューし、バーチャルYouTuberの先駆者となった。「はいどーもー！」の挨拶で親しまれ、登録者数300万人を突破。Vtuber文化を世界に広めたパイオニア。
1062,"EP-001,063",P3B0F758,サザエさん,24.0,FICTIONAL,サザエさんは24歳の専業主婦として、夫マスオと息子タラオと共に実家の磯野家で暮らしています。毎日の買い物で値段を聞き間違えたり、隣の伊佐坂先生の家との付き合いで珍騒動を巻き起こしたりと、昭和の日常を描...
1075,"EP-001,076",PF9B0150,クレヨンしんちゃん（野原しんのすけ）,5.0,FICTIONAL,野原しんのすけは5歳の幼稚園児として、埼玉県春日部市のふたば幼稚園に通っています。お尻を出す「ケツだけ星人」やモノマネで周囲を困らせ、母のみさえに怒られる日々を過ごしています。しかし映画「嵐を呼ぶアッ...
1080,"EP-001,081",PD81D5F8,ガンダム（RX-78-2）,15.0,FICTIONAL,ガンダムは宇宙世紀0079年、サイド7で15歳のアムロ・レイが初めて搭乗したモビルスーツです。ジオン公国軍のザクIIの襲撃を受けた際、マニュアルを見ながら起動し、ビームライフルで2機のザクを撃破しまし...
1126,"EP-001,127",P7E0F1FE,孫悟飯,4.0,FICTIONAL,4歳の時、悟飯は偶然森で迷子になってしまった。しかし、彼は怯えずに勇敢に挑戦し、自分の声を聞いてくれる父親の声を探し出すことに成功した。
1127,"EP-001,128",PDBE9D52,孫悟空,18.0,FICTIONAL,孫悟空は18歳の時、地球を支配しようとするピッコロ大魔王と壮絶な戦いを繰り広げました。カリン塔で超神水を飲んで力を得て、天下一武道会の会場で激突し、貫手でピッコロ大魔王を倒して地球を救いました。その後...
1293,"EP-001,294",P7A8921A,初音ミク,16.0,FICTIONAL,初音ミクは16歳のバーチャルシンガーとして、2007年8月31日にVOCALOIDソフトとして発売され、想定を超える大ヒットを記録しました。発売直後からユーザーが作った楽曲が爆発的に増加し、ニコニコ動...
