episode_id,person_name,age,year_in_text,expected_year,year_diff,context
EP-000001478,大村智,47,2015,1982,33,場所での地道な土壌採取が、人類の健康に計り知れない貢献をもたらした瞬間でした。この功績により、大村は2015年にノーベル生理学・医学賞を受賞しています。
EP-000002289,エルトン・ジョン,40,2019,1987,32,電話をかけ、回復への道を歩み始めた。この決断により、彼はその後30年以上にわたって音楽活動を継続し、2019年には引退ツアーで世界各地を回ることになった。
EP-000004955,ベル,29,1876,1908,32,あなたと同じ29歳のとき、ベルは聴覚障害の妻メイベルとの愛が、人生最大の発明を生み出した。1876年3月10日、実験室で酸をこぼして火傷を負った彼が「ワトソン君
EP-000001611,大村智,53,2015,1988,27,る決断を支持しました。その結果、失明の危機から救われた人々は数百万人に及びます。この業績により、彼は2015年にノーベル生理学・医学賞を受賞することになります。
EP-2026010220024,タイガー・ウッズ,21,2019,1996,23,その後15回のメジャー制覇で「史上最高のゴルファー」と呼ばれるように。スキャンダルや怪我を乗り越え、2019年に復活優勝を果たした姿は、世界中に感動を与えました
EP-000003596,紫式部,40,1000,1018,18,て仕えながら、54帖にも及ぶ壮大な物語を紡ぎ出していたのだ。当時の女性に許されていた仮名文字だけで、1000年後の現代まで読み継がれる世界最古の長編小説を創造し
EP-000001464,伊坂幸太郎,46,2000,2017,17,あなたと同じ46歳のとき、伊坂幸太郎は作家デビュー15周年を迎えていました。2000年に『オーデュボンの祈り』で鮮烈なデビューを果たしてから、『重力ピエロ』『ゴ
EP-000005890,佐藤健太郎,39,2011,2028,17,あなたと同じ39歳のとき、佐藤健太郎は2011年、東日本大震災で研究室が被災し15年間の研究データを全て失った。絶望の中で彼が選んだのは研究復帰では
EP-3947C4DE,アインシュタイン,26,1921,1905,16,ら変革しました。この年の業績によりアインシュタインは物理学の世界に衝撃を与え、後にノーベル物理学賞（1921年）を受賞する基盤を築いたのです。
EP-000001437,役所広司,55,2024,2011,13,くても諦めず、一つ一つの役に真摯に向き合い続けることの大切さを教えてくれます。この時期の役所は、後に2024年のカンヌ国際映画祭で日本人初の男優賞を受賞する実力
EP-2026010220032,本田宗一郎,42,1961,1948,13,ースへの参戦を宣言。「技術で世界一になる」—周囲の反対を押し切り、1959年に初出場を果たしました。1961年には125cc・250ccクラスでワンツーフィニッ
EP-000001471,北里柴三郎,57,1923,1910,13,あなたと同じ57歳のとき、北里柴三郎は関東大震災の混乱の中、医療支援に奔走していました。1923年9月1日、震災発生直後、彼は自らが創設した北里研究所と附属病院
EP-000001508,華岡青洲,32,1804,1792,12,実験台となることを志願します。この献身的な協力により、青洲は後に世界初の全身麻酔による乳癌摘出手術(1804年)を成功させる基礎を築きました。32歳という若さで
EP-000001080,井深大,75,1971,1983,12,可能性がある」と確信したことでした。周囲からは「技術者が何を」と冷ややかな目で見られましたが、井深は1971年に『幼稚園では遅すぎる』を出版。この本は100万部
EP-000005266,永野,32,2019,2031,12,あなたと同じ32歳のとき、永野は2019年、ニンニンジャーでの知名度がピークを過ぎ、テレビ出演が激減していた。芸能界引退も考えた彼は、最後の挑
EP-000007972,永守重信,46,2001,1990,11,あなたと同じ46歳のとき、永守重信は2001年、業績好調だった自社を敢えて危機に晒す決断をした。当時売上高2000億円の安定企業だったが、「このま
EP-2026010220032,本田宗一郎,42,1959,1948,11,954年、世界最高峰のオートバイレースへの参戦を宣言。「技術で世界一になる」—周囲の反対を押し切り、1959年に初出場を果たしました。1961年には125cc・
EP-000001730,北里柴三郎,50,1914,1903,11,を得て帰国したものの、東京大学医学部の派閥争いにより、国立の研究所設立は認められませんでした。しかし1914年(50歳)、福澤諭吉の支援で設立した私立伝染病研究
