age,current_count,target,gap,difficulty,priority_score
0,6,365,359,1.5,538.5
2,6,365,359,1.5,538.5
4,7,365,358,1.5,537.0
1,7,365,358,1.5,537.0
8,7,365,358,1.5,537.0
3,7,365,358,1.5,537.0
7,9,365,356,1.5,534.0
6,10,365,355,1.5,532.5
9,10,365,355,1.5,532.5
5,13,365,352,1.5,528.0
78,6,365,359,1.4,502.59999999999997
77,8,365,357,1.4,499.79999999999995
79,9,365,356,1.4,498.4
76,13,365,352,1.4,492.79999999999995
74,13,365,352,1.4,492.79999999999995
73,16,365,349,1.4,488.59999999999997
71,19,365,346,1.4,484.4
80,21,365,344,1.4,481.59999999999997
72,24,365,341,1.4,477.4
75,33,365,332,1.4,464.79999999999995
10,8,365,357,1.3,464.1
13,9,365,356,1.3,462.8
12,10,365,355,1.3,461.5
11,12,365,353,1.3,458.90000000000003
16,24,365,341,1.3,443.3
14,27,365,338,1.3,439.40000000000003
17,35,365,330,1.3,429.0
70,61,365,304,1.4,425.59999999999997
15,40,365,325,1.3,422.5
19,47,365,318,1.3,413.40000000000003
18,51,365,314,1.3,408.2
67,30,365,335,1.0,335.0
69,35,365,330,1.0,330.0
68,40,365,325,1.0,325.0
66,40,365,325,1.0,325.0
64,40,365,325,1.0,325.0
53,44,365,321,1.0,321.0
49,47,365,318,1.0,318.0
59,50,365,315,1.0,315.0
63,50,365,315,1.0,315.0
61,51,365,314,1.0,314.0
57,54,365,311,1.0,311.0
62,55,365,310,1.0,310.0
54,55,365,310,1.0,310.0
51,56,365,309,1.0,309.0
56,61,365,304,1.0,304.0
46,70,365,295,1.0,295.0
37,74,365,291,1.0,291.0
21,75,365,290,1.0,290.0
34,79,365,286,1.0,286.0
23,84,365,281,1.0,281.0
36,84,365,281,1.0,281.0
39,86,365,279,1.0,279.0
47,87,365,278,1.0,278.0
41,88,365,277,1.0,277.0
44,98,365,267,1.0,267.0
43,101,365,264,1.0,264.0
65,102,365,263,1.0,263.0
58,103,365,262,1.0,262.0
52,118,365,247,1.0,247.0
31,118,365,247,1.0,247.0
33,121,365,244,1.0,244.0
29,125,365,240,1.0,240.0
22,131,365,234,1.0,234.0
27,146,365,219,1.0,219.0
20,161,365,204,1.0,204.0
60,166,365,199,1.0,199.0
24,196,365,169,1.0,169.0
48,204,365,161,1.0,161.0
26,217,365,148,1.0,148.0
32,289,365,76,1.0,76.0
42,292,365,73,1.0,73.0
38,303,365,62,1.0,62.0
55,313,365,52,1.0,52.0
28,352,365,13,1.0,13.0
25,510,365,0,1.0,0.0
30,435,365,0,1.0,0.0
35,838,365,0,1.0,0.0
50,466,365,0,1.0,0.0
45,708,365,0,1.0,0.0
40,706,365,0,1.0,0.0
