person_name,category,age,achievement,year
カラヤン,音楽,35,ベルリン・フィル首席指揮者就任,1955
カラヤン,音楽,60,ベルリン・フィル芸術監督として黄金期,1968
カラヤン,音楽,75,デジタル録音への先駆的取り組み,1983
小澤征爾,音楽,28,ラヴィニア音楽祭音楽監督就任,1964
小澤征爾,音楽,38,ボストン交響楽団音楽監督就任,1973
小澤征爾,音楽,67,ウィーン国立歌劇場音楽監督就任,2002
佐渡裕,音楽,34,ブザンソン国際指揮者コンクール優勝,1989
佐渡裕,音楽,54,ベルリン・フィル定期公演デビュー,2011
辻井伸行,音楽,20,ヴァン・クライバーン国際ピアノコンクール優勝,2009
辻井伸行,音楽,30,カーネギーホール公演,2018
内田光子,音楽,48,クリーヴランド管弦楽団芸術パートナー,1996
内田光子,音楽,73,グラミー賞受賞,2022
五嶋みどり,音楽,14,タングルウッド音楽祭での伝説的演奏,1986
五嶋みどり,音楽,25,国連ピース・メッセンジャー就任,1995
諏訪内晶子,音楽,18,チャイコフスキー国際コンクール優勝,1990
庄司紗矢香,音楽,16,パガニーニ国際コンクール優勝,1999
藤田真央,音楽,20,チャイコフスキー国際コンクール第2位,2019
グレン・グールド,音楽,22,ゴールドベルク変奏曲録音,1955
グレン・グールド,音楽,32,コンサート活動引退宣言,1964
ホロヴィッツ,音楽,83,モスクワ歴史的帰還コンサート,1986
マリア・カラス,音楽,24,ヴェローナ・アレーナデビュー,1947
マリア・カラス,音楽,35,メトロポリタン歌劇場との確執,1958
パヴァロッティ,音楽,26,スカラ座デビュー,1961
パヴァロッティ,音楽,55,三大テノール・コンサート,1990
ドミンゴ,音楽,50,三大テノール・コンサート,1990
ドミンゴ,音楽,75,オペラ・バリトン転向,2015
キャスリーン・バトル,音楽,35,メトロポリタン歌劇場スター,1983
ジェシー・ノーマン,音楽,44,フランス革命200周年記念コンサート,1989
アルゲリッチ,音楽,24,ショパン国際ピアノコンクール優勝,1965
アルゲリッチ,音楽,60,別府アルゲリッチ音楽祭創設,2001
ポリーニ,音楽,18,ショパン国際ピアノコンクール優勝,1960
ポリーニ,音楽,50,ベートーヴェン・ソナタ全集完成,1992
