person_name,category,age,achievement,year
ヘルベルト・フォン・カラヤン,音楽,47,ベルリン・フィル終身首席指揮者,1955
ヘルベルト・フォン・カラヤン,音楽,75,デジタル録音の先駆者,1983
レナード・バーンスタイン,音楽,40,ニューヨーク・フィル音楽監督,1958
レナード・バーンスタイン,音楽,71,ベルリンの壁崩壊記念演奏会,1989
カルロス・クライバー,音楽,45,伝説的なばらの騎士上演,1979
カルロス・クライバー,音楽,59,最後のウィーン・フィル公演,1994
クラウディオ・アバド,音楽,56,ベルリン・フィル首席指揮者就任,1989
アルトゥーロ・トスカニーニ,音楽,60,NBC交響楽団創設,1937
ヴィルヘルム・フルトヴェングラー,音楽,40,ベルリン・フィル終身指揮者,1922
ゲオルク・ショルティ,音楽,48,シカゴ交響楽団音楽監督就任,1969
コリン・デイヴィス,音楽,45,BBC交響楽団首席指揮者,1971
ズービン・メータ,音楽,26,ロサンゼルス・フィル音楽監督,1962
小澤征爾,音楽,38,ボストン交響楽団音楽監督就任,1973
小澤征爾,音楽,67,ウィーン国立歌劇場音楽監督,2002
リッカルド・ムーティ,音楽,39,フィラデルフィア管弦楽団音楽監督,1980
サー・サイモン・ラトル,音楽,44,ベルリン・フィル首席指揮者,1999
グスターボ・ドゥダメル,音楽,26,ロサンゼルス・フィル音楽監督,2009
マリス・ヤンソンス,音楽,49,オスロ・フィル音楽監督,1992
ピエール・ブーレーズ,音楽,46,ニューヨーク・フィル音楽監督,1971
ニコラウス・アーノンクール,音楽,24,ウィーン・コンツェントゥス・ムジクス創設,1953
ジョン・エリオット・ガーディナー,音楽,33,イングリッシュ・バロック・ソロイスツ創設,1978
エサ＝ペッカ・サロネン,音楽,34,ロサンゼルス・フィル音楽監督,1992
アンドリス・ネルソンス,音楽,35,ボストン交響楽団音楽監督,2014
キリル・ペトレンコ,音楽,47,ベルリン・フィル首席指揮者,2019
ヤニック・ネゼ＝セガン,音楽,35,フィラデルフィア管弦楽団音楽監督,2012
クリスティアン・ティーレマン,音楽,46,バイロイト音楽祭デビュー,2000
マルタ・アルゲリッチ,音楽,24,ショパン国際ピアノコンクール優勝,1965
マルタ・アルゲリッチ,音楽,60,別府アルゲリッチ音楽祭創設,2001
ヴラディーミル・ホロヴィッツ,音楽,83,モスクワ歴史的帰還コンサート,1986
アルトゥール・ルービンシュタイン,音楽,89,最後の公開演奏,1976
スヴャトスラフ・リヒテル,音楽,45,アメリカデビュー,1960
グレン・グールド,音楽,22,ゴールドベルク変奏曲録音,1955
グレン・グールド,音楽,32,コンサート活動引退,1964
アルフレート・ブレンデル,音楽,77,引退コンサート,2008
マウリツィオ・ポリーニ,音楽,18,ショパン国際ピアノコンクール優勝,1960
クリスティアン・ツィメルマン,音楽,19,ショパン国際ピアノコンクール優勝,1975
内田光子,音楽,73,グラミー賞受賞,2022
アンドラーシュ・シフ,音楽,27,バッハ全曲演奏開始,1981
エフゲニー・キーシン,音楽,12,カーネギーホールデビュー,1990
ラン・ラン,音楽,17,ラヴィニア音楽祭代役デビュー,1999
ユジャ・ワン,音楽,22,ベルリン・フィルとデビュー,2009
ダニール・トリフォノフ,音楽,20,チャイコフスキー国際コンクール優勝,2011
ヤッシャ・ハイフェッツ,音楽,16,カーネギーホールデビュー,1917
ヤッシャ・ハイフェッツ,音楽,70,最後のリサイタル,1972
ダヴィッド・オイストラフ,音楽,27,イザイ国際コンクール優勝,1937
ユーディ・メニューイン,音楽,13,ベルリン・フィルデビュー,1929
イツァーク・パールマン,音楽,50,シンドラーのリスト演奏,1993
アンネ＝ゾフィー・ムター,音楽,13,カラヤンに見出される,1976
ヒラリー・ハーン,音楽,16,ソニー・クラシカルと契約,1996
ギドン・クレーメル,音楽,27,チャイコフスキー国際コンクール優勝,1970
アイザック・スターン,音楽,40,カーネギーホール救済運動,1960
ミドリ,音楽,14,タングルウッドの伝説的演奏,1986
チョン・キョンファ,音楽,22,レヴァントリット国際コンクール優勝,1967
ジョシュア・ベル,音楽,14,フィラデルフィア管弦楽団デビュー,1981
パブロ・カザルス,音楽,36,バッハ無伴奏チェロ組曲録音開始,1936
パブロ・カザルス,音楽,81,ケネディ大統領晩餐会で演奏,1961
ムスティスラフ・ロストロポーヴィチ,音楽,47,西側亡命,1974
ジャクリーヌ・デュ・プレ,音楽,20,エルガー協奏曲伝説的録音,1965
ヨーヨー・マ,音楽,7,ケネディ大統領の前で演奏,1962
ヨーヨー・マ,音楽,44,シルクロード・プロジェクト開始,1998
アンドレス・セゴビア,音楽,24,パリデビュー,1924
アンドレス・セゴビア,音楽,90,最後の公演,1987
ジャン＝ピエール・ランパル,音楽,30,ソリストとして独立,1952
マリア・カラス,音楽,24,ヴェローナ・アレーナデビュー,1947
マリア・カラス,音楽,35,メトロポリタン歌劇場確執,1958
ルチアーノ・パヴァロッティ,音楽,26,スカラ座デビュー,1961
ルチアーノ・パヴァロッティ,音楽,55,三大テノール・コンサート,1990
プラシド・ドミンゴ,音楽,50,三大テノール・コンサート,1990
プラシド・ドミンゴ,音楽,75,バリトン転向,2015
エンリコ・カルーソー,音楽,30,メトロポリタン歌劇場デビュー,1903
ジョーン・サザーランド,音楽,33,ランメルモールのルチア復活上演,1959
レナータ・テバルディ,音楽,30,メトロポリタン歌劇場デビュー,1955
ジェシー・ノーマン,音楽,44,フランス革命200周年記念コンサート,1989
モンセラート・カバリェ,音楽,52,バルセロナ（フレディ・マーキュリー共演）,1987
ビルギット・ニルソン,音楽,41,バイロイト音楽祭イゾルデ,1959
チェチーリア・バルトリ,音楽,24,モーツァルトアリア集大ヒット,1990
ディートリヒ・フィッシャー＝ディースカウ,音楽,26,シューベルト歌曲全集録音開始,1951
ブリン・ターフェル,音楽,28,グラミー賞受賞,1996
ヨナス・カウフマン,音楽,37,メトロポリタン歌劇場ローエングリン,2006
