person_name,category,person_type,sub_category,birth_year,description
ボブ・サップ,スポーツ,REAL,K-1/格闘技,1973,「野獣」の異名。K-1 PRIDE参戦で日本格闘技界を席巻
ピーター・アーツ,スポーツ,REAL,K-1,1970,K-1 GP 3度優勝。「最強の名を欲しいままにしたファイター」
ボビー・オロゴン,スポーツ,REAL,格闘技,1973,格闘家・タレント。バラエティでも人気を博す
アーネスト・ホースト,スポーツ,REAL,K-1,1965,K-1 GP 4度優勝。「ミスターK-1」の称号
セーム・シュルト,スポーツ,REAL,K-1,1973,K-1 GP 3度優勝。211cmの長身でヘビー級を制圧
アンディ・フグ,スポーツ,REAL,K-1,1964,「青い目のサムライ」。K-1で人気を博した空手家
マーク・ハント,スポーツ,REAL,K-1/MMA,1974,K-1 GP優勝後UFCでも活躍したヘビー級ファイター
ミルコ・クロコップ,スポーツ,REAL,K-1/MMA,1974,PRIDEとK-1で活躍。「左ハイキック」で恐れられた
エメリヤーエンコ・ヒョードル,スポーツ,REAL,MMA,1976,PRIDEヘビー級王者。「60億分の1の男」
アントニオ猪木,スポーツ,REAL,プロレス,1943,新日本プロレス創設者。異種格闘技戦の先駆者
ジャイアント馬場,スポーツ,REAL,プロレス,1938,全日本プロレス創設者。209cmの巨体でプロレス界を牽引
力道山,スポーツ,REAL,プロレス,1924,日本プロレスの父。戦後日本に希望を与えた国民的英雄
ハルク・ホーガン,スポーツ,REAL,プロレス,1953,WWF/WWEのスーパースター。世界で最も有名なプロレスラー
ザ・ロック(ドウェイン・ジョンソン),スポーツ,REAL,プロレス,1972,WWE王座を制しハリウッドスターへ転身
ジョン・シナ,スポーツ,REAL,プロレス,1977,WWEチャンピオン16回。プロレス界のトップスター
コナー・マクレガー,スポーツ,REAL,MMA,1988,UFC 2階級制覇。MMAを世界的スポーツに押し上げた
ジョルジュ・サンピエール,スポーツ,REAL,MMA,1981,UFCウェルター級史上最高のファイター
アンデウソン・シウバ,スポーツ,REAL,MMA,1975,UFCミドル級最長王座防衛記録。「スパイダー」
カビブ・ヌルマゴメドフ,スポーツ,REAL,MMA,1988,UFCライト級王者。29戦無敗で引退
魔裟斗,スポーツ,REAL,K-1,1979,K-1 WORLD MAX 2度優勝。日本格闘技界のスター
